Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1038239453913111,756.993,224.992,1000,-12.7199,0.0408222,-2.43007,0.0450616,-13.1312,0.119685
1038242871913428,756.993,224.992,1000,-12.7389,0.0364291,-2.37937,0.0474962,-13.1399,0.117078
1038247701911086,756.993,224.992,980,-12.7035,0.0425823,-2.31988,0.0388318,-13.1033,0.118059
1038251119913562,756.993,224.992,980,-12.7018,0.0441048,-2.32739,0.036688,-13.0731,0.105524
1038255949911329,756.993,224.992,960,-12.6982,0.0419892,-2.29553,0.035873,-13.0837,0.111669
1038259367912666,756.993,224.992,960,-12.7117,0.0387862,-2.26838,0.0392413,-13.0954,0.125291
1038264197912808,756.993,224.992,940,-12.725,0.0389226,-2.25424,0.0462098,-13.0633,0.122484
1038267615910473,756.993,224.992,940,-12.7054,0.0373658,-2.2933,0.0454284,-13.0698,0.120534
1038272445913291,756.993,224.992,920,-12.7486,0.0386723,-2.21414,0.0513036,-12.9503,0.111779
1038275863911891,756.993,224.992,920,-12.7358,0.0395442,-2.2444,0.0439257,-12.9731,0.0996388
1038280693912418,756.993,224.992,900,-12.7205,0.0429765,-2.21017,0.0388632,-12.9804,0.103407
1038284111912902,756.993,224.992,900,-12.725,0.0373559,-2.20234,0.0520376,-12.9503,0.113419
1038288941913501,756.993,224.992,880,-12.7601,0.0429203,-2.15753,0.0471135,-13.0069,0.108887
1038292359910542,756.993,224.992,880,-12.7863,0.0421004,-2.201,0.0407992,-12.9618,0.104673
1038297189911872,756.993,224.992,860,-12.7591,0.0455026,-2.15823,0.0495996,-12.9438,0.110915
1038300607913353,756.993,224.992,860,-12.7531,0.0385621,-2.20662,0.0475231,-12.917,0.104576
1038305437911143,756.993,224.992,840,-12.8012,0.0419562,-2.07853,0.0460468,-12.9206,0.109647
1038308855913751,756.993,224.992,840,-12.7814,0.0491028,-2.0607,0.0404981,-12.9083,0.0988569
1038313685911506,756.993,224.992,820,-12.7804,0.0408664,-2.06133,0.0398156,-12.8923,0.0997426
1038317103911546,756.993,224.992,820,-12.8545,0.042713,-1.98598,0.0517351,-12.8411,0.0989203
1038321933911521,756.993,224.992,800,-12.855,0.0395383,-1.92056,0.0469472,-12.8606,0.098705
1038325351912090,756.993,224.992,800,-12.8945,0.0397497,-1.99287,0.0430471,-12.8834,0.105522
1038330181910995,756.993,224.992,780,-12.8891,0.0650352,-1.89224,0.0461611,-12.929,0.109775
1038333599912716,756.993,224.992,780,-12.8815,0.0394106,-1.90946,0.0520056,-12.8826,0.118179
1038338429912751,756.993,224.992,760,-12.9191,0.0405417,-1.9025,0.0472221,-12.9233,0.105951
1038341847913535,756.993,224.992,760,-12.9112,0.044548,-1.92829,0.0441237,-12.8845,0.112659
1038346677911926,756.993,224.992,740,-12.9461,0.0400156,-1.87944,0.0558992,-12.8742,0.10815
1038350095913706,756.993,224.992,740,-12.9477,0.0388396,-1.90298,0.0414378,-12.8592,0.109933
1038354925911305,756.993,224.992,720,-13.0117,0.0332782,-1.8818,0.0441087,-12.8456,0.110671
1038358343911429,756.993,224.992,720,-12.9928,0.0401401,-1.90603,0.0469613,-12.8203,0.11
1038363173913024,756.993,224.992,700,-13.0438,0.0380591,-1.8551,0.0429312,-12.7998,0.0967552
1038366591912548,756.993,224.992,700,-13.039,0.0370035,-1.85889,0.0424901,-12.8639,0.107873
1038371421911056,756.993,224.992,680,-13.0508,0.0363656,-1.86551,0.0507037,-12.9242,0.103603
1038374839910520,756.993,224.992,680,-13.053,0.0380883,-1.85967,0.0400329,-12.9296,0.107334
1038379669911698,756.993,224.992,660,-13.1218,0.0554845,-1.87249,0.0422719,-12.8457,0.0971768
1038383087912686,756.993,224.992,660,-13.0561,0.0630499,-1.85147,0.0487676,-12.8348,0.102485
1038387917913755,756.993,224.992,640,-13.0842,0.0395089,-1.80122,0.0434205,-12.8797,0.0978785
1038391335913400,756.993,224.992,640,-12.9904,0.0393938,-1.77061,0.0436968,-12.7926,0.0948455
1038396165911253,756.993,224.992,620,-13.0378,0.0502948,-1.76499,0.0447376,-12.8535,0.106598
1038399583911821,756.993,224.992,620,-13.059,0.0249349,-1.75208,0.0374642,-12.8688,0.0891607
