Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
3699792036801168,333.995,0,300,2576.12,1.48007,2499.76,1.16176,-0.0124211,0.015814
3699801056801100,333.995,19.9953,300,2572.36,1.63156,2497.31,1.11229,-0.0122237,0.0163592
3699810076800757,333.995,40,300,2568.06,1.18327,2496.41,0.693569,-0.0105,0.0158031
3699819096798193,333.995,59.9953,300,2563.59,1.17007,2496.99,0.678608,-0.0144439,0.0161564
3699828116800249,333.995,80,300,2559.47,2.15623,2499,1.54,-0.0114827,0.0158642
3699837136799125,333.995,99.9953,300,2556.55,1.56721,2502.39,1.18833,-0.0103955,0.0143923
3699846156799454,333.995,120,300,2554.72,0.64616,2506.27,0.676326,-0.0121078,0.0152217
3699855176801150,333.995,139.995,300,2554.03,2.09885,2510.29,1.63608,-0.0141349,0.0155323
3699864196799846,333.995,160,300,2554.84,1.19823,2514.2,1.3692,-0.0129447,0.0154702
3699873216798818,333.995,179.995,300,2557.35,0.824381,2518.23,0.603392,-0.0138974,0.0161249
3699882236800455,333.995,200,300,2561.05,0.947413,2521.19,0.724683,-0.0124369,0.0150482
3699891256798407,333.995,219.995,300,2565.56,0.868078,2522.74,0.574135,-0.0132523,0.0156485
3699900276798903,333.995,240,300,2570.39,0.905728,2522.71,0.625436,-0.0130005,0.016725
3699909296800539,333.995,259.995,300,2574.82,0.552311,2520.84,0.467897,-0.0117245,0.0161768
3699918316799080,333.995,280,300,2578.39,1.09829,2517.54,0.854105,-0.0133839,0.0150989
3699927336798064,333.995,299.995,300,2580.4,1.17301,2513.35,0.885653,-0.0111222,0.0150956
3699936356799964,333.995,320,300,2581.19,0.544772,2509.13,0.406867,-0.0132494,0.0160572
3699945376801288,333.995,339.995,300,2580.43,0.824976,2504.76,0.684418,-0.0154324,0.0161546
3699954396798089,333.995,360,300,2577.74,0.944202,2500.67,0.740703,-0.0121636,0.0152878
3699986076798511,333.995,0,355,2578.31,0.699207,2498.26,0.568528,-0.0135784,0.016501
3699995096800603,333.995,19.9953,355,2573.27,0.891039,2497.16,0.797545,-0.00952577,0.0146671
3700004116799455,333.995,40,355,2568.89,0.741874,2496.11,0.51644,-0.0111794,0.0141127
3700013136800648,333.995,59.9953,355,2564.17,0.729216,2496.43,0.503764,-0.0118561,0.0159346
3700022156800004,333.995,80,355,2559.87,0.981455,2498.56,0.764256,-0.0134368,0.0158519
3700031176800740,333.995,99.9953,355,2556.53,0.79784,2501.73,0.727717,-0.0128717,0.0155562
3700040196798800,333.995,120,355,2554.38,0.527059,2505.72,0.599309,-0.0118589,0.0159141
3700049216801217,333.995,139.995,355,2553.67,1.0778,2510.04,1.01326,-0.0115614,0.0161569
3700058236800189,333.995,160,355,2554.79,1.04962,2514.21,1.06521,-0.0128002,0.0160044
3700067256799449,333.995,179.995,355,2557.37,0.736735,2518.42,0.600001,-0.0119262,0.0159116
3700076276800137,333.995,200,355,2561.1,0.712781,2521.55,0.606324,-0.0109935,0.0160165
3700085296798174,333.995,219.995,355,2565.78,0.757648,2523.28,0.458515,-0.0133038,0.0154038
3700094316800506,333.995,240,355,2570.72,0.74295,2522.94,0.565466,-0.011899,0.0152177
3700103336798746,333.995,259.995,355,2575.2,0.557655,2521.39,0.424847,-0.0130434,0.0155641
3700112356800946,333.995,280,355,2578.48,1.07985,2517.81,0.591512,-0.0121279,0.0155251
3700121376799955,333.995,299.995,355,2580.79,0.759066,2513.49,0.509525,-0.0103855,0.0149146
3700130396799863,333.995,320,355,2581.69,0.563895,2509.22,0.408941,-0.013288,0.0163634
3700139416800263,333.995,339.995,355,2580.83,0.695671,2504.9,0.64648,-0.0112867,0.0156631
3700148436799799,333.995,360,355,2578.02,0.696008,2500.61,0.595148,-0.0110092,0.0160486
3700180116798769,333.995,0,410,2578.19,0.798306,2498.46,0.663017,-0.011992,0.0148037
3700189136800454,333.995,19.9953,410,2573.97,0.829045,2496.24,0.66738,-0.0109763,0.0152289
3700198156799534,333.995,40,410,2569.18,0.821941,2495.69,0.612354,-0.010942,0.0148346
3700207176799322,333.995,59.9953,410,2564.25,0.769117,2496.06,0.57681,-0.0135241,0.0154304
3700216196800298,333.995,80,410,2559.62,0.964655,2498.12,0.679135,-0.0118175,0.0159541
