Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
343496063467540,0,0,575,-12.1263,0.0430521,-1.97758,0.0448722,-13.733,0.109118
343505695468499,0,89.993,575,-11.774,0.0387714,-1.91272,0.0407451,-13.409,0.107408
343515327469867,0,179.995,575,-12.1066,0.0429344,-1.98624,0.0595128,-13.094,0.0696582
343524959471043,0,269.998,575,-12.4867,0.0402059,-1.90357,0.0548978,-13.4144,0.0947859
343580505470421,756.993,0,575,-11.9185,0.0436804,-1.98766,0.0490301,-13.8667,0.114451
343584925470862,756.993,9.99298,575,-11.8851,0.0388642,-1.92436,0.0433954,-13.7032,0.0873382
343589345470439,756.993,19.9953,575,-11.9263,0.0444639,-1.92913,0.0418236,-13.6934,0.130857
343593765469452,756.993,29.9977,575,-11.9368,0.0402106,-1.92165,0.039946,-13.7189,0.118444
343598185471453,756.993,40,575,-11.9403,0.0415065,-1.90189,0.074041,-13.8125,0.136317
343602605467970,756.993,49.993,575,-11.8713,0.0425531,-1.78245,0.0466584,-13.73,0.0891145
343607025470835,756.993,59.9953,575,-11.7946,0.0388615,-1.77406,0.0384795,-13.7313,0.103227
343611445467856,756.993,69.9977,575,-11.778,0.0453046,-1.75976,0.051192,-13.6977,0.10368
343615865471298,756.993,80,575,-11.6349,0.0468883,-1.72903,0.0553635,-13.6178,0.10659
343620285468427,756.993,89.993,575,-11.5877,0.0483578,-1.73341,0.0460514,-13.5569,0.12382
343624705467536,756.993,99.9953,575,-11.5845,0.0431767,-1.73455,0.0466256,-13.4556,0.104764
343629125467389,756.993,109.998,575,-11.6618,0.0421255,-1.69292,0.0445493,-13.3033,0.0843552
343633545470914,756.993,120,575,-11.7762,0.046261,-1.69127,0.0460165,-13.3019,0.139017
343637965471068,756.993,129.993,575,-11.8017,0.039794,-1.7356,0.0396175,-13.2236,0.106024
343642385468749,756.993,139.995,575,-11.9158,0.0515276,-1.82384,0.0683181,-13.2157,0.0872943
343646805470366,756.993,149.998,575,-11.927,0.037372,-1.91824,0.0490962,-13.3182,0.123463
343651225468419,756.993,160,575,-11.9499,0.0441765,-1.94772,0.0506269,-13.2942,0.0961554
343655645470408,756.993,169.993,575,-11.9118,0.0406473,-1.90934,0.0444646,-13.2129,0.0850474
343660065468086,756.993,179.995,575,-11.9369,0.0473555,-1.99175,0.0459483,-13.2245,0.107992
343664485468986,756.993,189.998,575,-12.0467,0.0400805,-1.99062,0.0749479,-13.1265,0.108218
343668905470594,756.993,200,575,-12.1496,0.039109,-2.0207,0.0471462,-13.0906,0.0753571
343673325469946,756.993,209.993,575,-12.2543,0.0474069,-1.99385,0.0460168,-13.1603,0.107284
343677745468877,756.993,219.995,575,-12.3192,0.0420007,-2.04137,0.0464607,-13.2735,0.124825
343682165469861,756.993,229.998,575,-12.3223,0.0441299,-2.08736,0.0387093,-13.3129,0.0862388
343686585471446,756.993,240,575,-12.3343,0.0520327,-2.19918,0.0449073,-13.465,0.114949
343691005467593,756.993,249.993,575,-12.2533,0.0371659,-2.15963,0.0626111,-13.5319,0.102226
343695425470725,756.993,259.995,575,-12.1902,0.0438994,-2.10199,0.0386181,-13.4909,0.137715
343699845467353,756.993,269.998,575,-12.2052,0.0390747,-2.1324,0.036434,-13.4611,0.123334
343704265467389,756.993,280,575,-12.2112,0.0478251,-2.08255,0.0462621,-13.3956,0.111276
343708685469813,756.993,289.993,575,-12.2759,0.0460683,-2.11523,0.0516304,-13.4475,0.124259
343713107467306,756.993,299.995,575,-12.3094,0.0444992,-2.09819,0.0413236,-13.5868,0.130558
343717527469754,756.993,309.998,575,-12.3456,0.0390619,-2.08613,0.0484275,-13.6599,0.100968
343721947470546,756.993,320,575,-12.2511,0.0431327,-2.10882,0.0626319,-13.7653,0.0806179
343726367469142,756.993,329.993,575,-12.1797,0.0453931,-2.06242,0.0334257,-13.9277,0.132147
343730787468860,756.993,339.995,575,-12.0806,0.0385979,-2.01369,0.0472816,-13.9035,0.104868
343735207469189,756.993,349.998,575,-11.9849,0.0373124,-2.00728,0.0383257,-13.9432,0.101622
343739627468857,756.993,360,575,-11.9272,0.0408905,-1.97047,0.066946,-13.8107,0.120753
343743045469920,756.993,360,575,-11.8619,0.0415408,-1.98657,0.044343,-13.7493,0.0837177
343747465470693,756.993,349.998,575,-11.9457,0.0443844,-1.96356,0.0526486,-13.967,0.131548
343751885467662,756.993,339.995,575,-12.097,0.0393774,-1.98392,0.048906,-13.9076,0.0885822
343756305468783,756.993,329.993,575,-12.2287,0.040906,-2.01703,0.0517497,-13.8552,0.0855918
343760725467612,756.993,320,575,-12.361,0.0479084,-2.00507,0.0374406,-13.711,0.0849879
343765145470113,756.993,309.998,575,-12.3578,0.0371564,-2.07276,0.0405159,-13.6491,0.133353
343769565468246,756.993,299.995,575,-12.3456,0.0391458,-2.02635,0.04497,-13.5179,0.115125
343773985471071,756.993,289.993,575,-12.2775,0.0418468,-2.07166,0.036947,-13.3928,0.131349
343778405467488,756.993,280,575,-12.2098,0.0430231,-2.0486,0.0594876,-13.424,0.0876516
343782825468429,756.993,269.998,575,-12.1374,0.0440595,-2.08298,0.0567528,-13.3873,0.114306
343787245468974,756.993,259.995,575,-12.1846,0.0455476,-2.13442,0.0381243,-13.4598,0.0960765
343791665467823,756.993,249.993,575,-12.2344,0.0412171,-2.1336,0.0527448,-13.4551,0.0942162
343796085470786,756.993,240,575,-12.2816,0.0475247,-2.13675,0.0339782,-13.3864,0.0987283
343800505468661,756.993,229.998,575,-12.2837,0.04512,-2.15599,0.0439886,-13.2772,0.125665
343804925467496,756.993,219.995,575,-12.276,0.0419626,-2.1084,0.0449446,-13.1861,0.106103
343809345471228,756.993,209.993,575,-12.2148,0.0472567,-1.97139,0.0438009,-13.0636,0.0902019
343813765468971,756.993,200,575,-12.1071,0.0475366,-1.98381,0.0470874,-13.086,0.0823372
343818185470878,756.993,189.998,575,-12.0306,0.0365435,-2.00195,0.0570152,-13.1132,0.131444
343822605468609,756.993,179.995,575,-11.9591,0.0409598,-1.98065,0.038552,-13.0982,0.114928
343827025470336,756.993,169.993,575,-11.911,0.0472724,-1.95483,0.0439204,-13.1622,0.0864624
343831445469496,756.993,160,575,-11.8779,0.0423944,-1.92473,0.0514046,-13.1494,0.10274
343835865468150,756.993,149.998,575,-11.8988,0.0458003,-1.8633,0.0626759,-13.1112,0.101233
343840285469650,756.993,139.995,575,-11.8586,0.0433226,-1.87368,0.0438729,-13.1443,0.101765
343844705468725,756.993,129.993,575,-11.7698,0.0447094,-1.8653,0.0377691,-13.1059,0.0857199
343849125468976,756.993,120,575,-11.6876,0.0487804,-1.81492,0.0383105,-13.1548,0.103592
