Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
960764569394416,756.993,269.998,1000,-12.0455,0.041898,-2.27184,0.0352885,-13.1158,0.0969594
960767987395314,756.993,269.998,1000,-12.065,0.0375479,-2.28723,0.0396024,-13.1098,0.109079
960772617395686,756.993,269.998,990,-12.0436,0.0403297,-2.34171,0.0511032,-13.1215,0.10882
960776035394346,756.993,269.998,990,-12.057,0.0428552,-2.32324,0.0424848,-13.0921,0.115523
960780665396414,756.993,269.998,980,-12.039,0.0390597,-2.2961,0.0407834,-13.0483,0.102858
960784083395181,756.993,269.998,980,-12.0649,0.0382973,-2.33069,0.0471795,-13.129,0.100056
