Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
256553799592835,756.993,0,900,-9.12546,0.0348124,-3.11413,0.0558738,-10.1396,0.0487036
256556817592245,756.993,4.99649,900,-9.16849,0.0380355,-3.10995,0.0389499,-10.1545,0.0516542
256559835591787,756.993,9.99298,900,-9.18734,0.042501,-3.16064,0.0502673,-10.2376,0.0462908
256562853592146,756.993,14.9988,900,-9.16621,0.0420369,-3.17611,0.0624366,-10.4617,0.0417789
256565871590716,756.993,19.9953,900,-9.12878,0.0434875,-3.14371,0.0478826,-10.5903,0.0526328
256568889591626,756.993,24.9918,900,-8.93587,0.0357226,-3.15454,0.049265,-10.6656,0.0448877
256571907591697,756.993,29.9977,900,-8.84807,0.0408294,-3.12296,0.0472742,-10.5824,0.0605946
256574925590147,756.993,34.9942,900,-8.82204,0.0329454,-3.10374,0.0340108,-10.5439,0.0481503
256577943592701,756.993,40,900,-8.79095,0.0344065,-3.09784,0.0514299,-10.547,0.0483199
256580961590732,756.993,44.9965,900,-8.7879,0.0299579,-3.13673,0.0393607,-10.5317,0.0593795
256583979592578,756.993,49.993,900,-8.80523,0.0397285,-3.06928,0.043591,-10.5405,0.0493351
256586997590524,756.993,54.9988,900,-8.80681,0.0376736,-3.08168,0.037845,-10.469,0.0570202
256590015592971,756.993,59.9953,900,-8.79342,0.0376252,-3.04364,0.0429922,-10.5164,0.0600659
256593033590713,756.993,64.9918,900,-8.85889,0.0365984,-3.03519,0.0445392,-10.5059,0.0424443
256596051592979,756.993,69.9977,900,-8.85519,0.034314,-3.08499,0.0686643,-10.5993,0.0381308
256599069591070,756.993,74.9942,900,-8.89207,0.0351357,-2.93058,0.0494175,-10.6998,0.049819
256602087591848,756.993,80,900,-8.91585,0.0352193,-2.94789,0.0509284,-10.8297,0.0429673
256605105592794,756.993,84.9965,900,-8.89288,0.0350374,-2.91021,0.0547959,-10.8679,0.0560554
256608123592541,756.993,89.993,900,-8.85824,0.0364785,-2.8907,0.0451687,-11.0667,0.0481452
