Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
1132759408059384,30,0,250,2567.9,1.47701,2500.16,1.1939
1132762428058890,30,19.9953,250,2571.88,2.52039,2499.11,1.06407
1132765448057556,30,40,250,2575.9,4.0272,2497.23,2.25435
1132768468059126,30,59.9953,250,2579.29,3.54921,2494.94,3.24787
1132771488058584,30,80,250,2581.45,6.16355,2492.09,6.67308
1132774508057634,30,99.9953,250,2582.78,4.22514,2488.58,3.70257
1132777528060392,30,120,250,2582.52,13.8243,2485.58,9.00397
1132780548060606,30,139.995,250,2582.36,8.16884,2481.51,5.62334
1132783568059788,30,160,250,2580.82,5.39712,2478.56,4.24061
1132786588059342,30,179.995,250,2577.76,2.03429,2476.38,1.30331
1132789608058008,30,200,250,2574.74,5.1604,2475.62,1.46493
1132792628059506,30,219.995,250,2571.2,5.77395,2475.87,2.09698
1132795648059996,30,240,250,2567.68,4.40395,2477.41,2.07657
1132798668059082,30,259.995,250,2564.46,2.81637,2479.78,2.25092
1132801688060136,30,280,250,2561.63,3.99645,2483.36,2.51223
1132804708059534,30,299.995,250,2559.36,4.24951,2488.14,2.646
1132807728059772,30,320,250,2559.51,2.17738,2493.59,1.82028
1132810748059818,30,339.995,250,2562.43,1.75563,2498.65,1.48298
1132813768057680,30,360,250,2566.73,1.31756,2500.58,1.78173
1132839452058046,62.9982,0,250,2562.55,4.38359,2501.29,1.3333
1132842472057792,62.9982,19.9953,250,2567.1,2.20864,2499.67,0.635404
1132845492060418,62.9982,40,250,2570.94,3.477,2498.63,1.93413
1132848512058904,62.9982,59.9953,250,2574.1,3.92211,2496.66,2.34319
1132851532057186,62.9982,80,250,2576.63,6.82212,2493.27,6.67498
1132854552060556,62.9982,99.9953,250,2578.04,4.39711,2490.05,4.43929
1132857572060218,62.9982,120,250,2577.39,16.4962,2486.83,12.2014
1132860592059712,62.9982,139.995,250,2577.94,10.9123,2482.66,9.36285
1132863612060358,62.9982,160,250,2576.21,11.3293,2479.85,11.6613
1132866632058460,62.9982,179.995,250,2573.03,17.24,2476.74,25.4265
1132869652058338,62.9982,200,250,2570.06,5.58582,2477.25,6.6826
1132872672058216,62.9982,219.995,250,2566.76,6.85504,2477.55,3.37836
1132875692059895,62.9982,240,250,2563.35,5.07433,2479.09,2.50007
1132878712058609,62.9982,259.995,250,2559.82,3.37991,2481.05,2.80847
1132881732058547,62.9982,280,250,2556.99,3.64084,2485.03,6.08045
1132884752058125,62.9982,299.995,250,2555.02,3.5249,2489.7,4.55971
1132887772057475,62.9982,320,250,2555.54,2.75738,2495.04,2.64741
1132890792057581,62.9982,339.995,250,2558.08,3.66374,2499.35,2.37603
1132893812059943,62.9982,360,250,2562.42,2.60733,2501.31,1.71897
1132919496060620,95.9963,0,250,2563.3,1.13134,2500.57,0.928046
1132922516057726,95.9963,19.9953,250,2567.71,2.15127,2498.78,0.673209
1132925536059129,95.9963,40,250,2571.82,2.75485,2497.37,1.59594
1132928556060039,95.9963,59.9953,250,2575.04,2.42022,2495.49,1.58334
1132931576059425,95.9963,80,250,2577.61,5.63703,2491.99,6.3951
1132934596058139,95.9963,99.9953,250,2579.03,3.77697,2488.87,3.48604
1132937616057645,95.9963,120,250,2578.42,12.4181,2485.68,10.3448
1132940636058471,95.9963,139.995,250,2578.71,5.20538,2482.08,5.28526
1132943656057797,95.9963,160,250,2577.01,5.00744,2479.12,3.85952
1132946676058431,95.9963,179.995,250,2574.08,2.14784,2477.1,1.45405
1132949696057721,95.9963,200,250,2570.87,5.08321,2476.38,1.79009
1132952716057383,95.9963,219.995,250,2567.36,4.15841,2476.58,2.30628
1132955736057429,95.9963,240,250,2563.93,2.57263,2478.08,1.47904
1132958756058615,95.9963,259.995,250,2560.39,2.73444,2480.21,2.98348
1132961776058553,95.9963,280,250,2557.49,2.53664,2483.87,1.0662
1132964796058635,95.9963,299.995,250,2555.34,2.38067,2488.84,0.829309
1132967816060241,95.9963,320,250,2555.96,1.68536,2494.47,1.31284
1132970836059243,95.9963,339.995,250,2558.85,1.2852,2499.03,1.35656
1132973856059553,95.9963,360,250,2563.46,1.07485,2500.96,1.59894
1132999538060154,128.995,0,250,2561.54,0.983991,2502.37,0.699534
1133002558058088,128.995,19.9953,250,2565.77,2.13854,2500.7,1.03371
1133005578058230,128.995,40,250,2569.95,1.91035,2499.28,0.873928
1133008598058804,128.995,59.9953,250,2573.21,1.77196,2497.33,1.43748
1133011618059738,128.995,80,250,2575.85,5.44242,2493.83,5.40395
1133014638058116,128.995,99.9953,250,2576.94,4.26917,2490.61,4.99799
1133017658057646,128.995,120,250,2576.75,9.8193,2487.47,12.4509
1133020678057728,128.995,139.995,250,2576.82,4.50946,2484.07,4.90043
1133023698057990,128.995,160,250,2574.99,3.60375,2480.77,3.37741
1133026718057316,128.995,179.995,250,2572.31,2.46796,2478.88,2.95914
1133029738057518,128.995,200,250,2569.2,3.95363,2478.06,2.37759
1133032758058668,128.995,219.995,250,2565.47,3.67946,2478.55,2.29061
1133035778060575,128.995,240,250,2562.23,2.84755,2480.05,1.83596
1133038798060837,128.995,259.995,250,2559.17,1.6163,2482.28,1.27404
1133041818058555,128.995,280,250,2556.02,2.15789,2485.44,1.07531
1133044838060413,128.995,299.995,250,2553.98,1.83358,2490.28,0.795616
1133047858058491,128.995,320,250,2554.22,1.76204,2495.69,1.19458
1133050878060721,128.995,339.995,250,2556.8,1.10181,2500.33,0.954783
1133053898060131,128.995,360,250,2561.27,1.1197,2502.49,1.1044
1133079580060468,161.993,0,250,2562.71,1.06701,2504.77,0.592016
1133082600059602,161.993,19.9953,250,2567.93,4.58677,2504.35,2.43681
1133085620059672,161.993,40,250,2572.06,1.4906,2502.22,1.05236
1133088640058290,161.993,59.9953,250,2575.06,2.0259,2499.9,1.40888
1133091660059296,161.993,80,250,2577.35,2.70915,2496.86,2.65291
1133094680059366,161.993,99.9953,250,2578.37,2.2078,2493.78,2.8294
1133097700058188,161.993,120,250,2578.7,5.63708,2490.49,8.48091
1133100720059506,161.993,139.995,250,2577.97,3.03423,2486.81,2.80173
1133103740058280,161.993,160,250,2576.21,2.25557,2484.05,1.77036
1133106760059514,161.993,179.995,250,2573.79,1.4286,2482.19,1.55338
1133109780058864,161.993,200,250,2570.4,4.40179,2481.09,1.84466
1133112800058286,161.993,219.995,250,2566.75,4.00493,2481.36,2.49559
1133115820059052,161.993,240,250,2563.46,3.17194,2483.02,2.08653
1133118840059974,161.993,259.995,250,2560.36,1.99985,2485.36,1.01868
1133121860058928,161.993,280,250,2557.51,1.25812,2488.86,0.790366
1133124880060006,161.993,299.995,250,2555.76,1.1465,2493.41,0.616438
1133127900059200,161.993,320,250,2556.29,0.959382,2498.6,0.957112
1133130920060734,161.993,339.995,250,2558.81,2.10696,2502.68,1.84799
1133133940058944,161.993,360,250,2563.04,0.644546,2504.71,0.783095
1133159622057433,195,0,250,2569.56,1.11932,2506.5,0.983658
1133162642058103,195,19.9953,250,2574.69,5.08827,2506.08,1.75231
1133165662058317,195,40,250,2578.37,1.31717,2504.15,0.941434
1133168682060283,195,59.9953,250,2581.67,1.7214,2502.28,1.34547
1133171702057917,195,80,250,2583.86,3.8048,2499.3,3.77536
1133174722059691,195,99.9953,250,2585.06,2.99491,2495.98,2.76872
1133177742059293,195,120,250,2585.33,3.28448,2492.71,6.95072
1133180762060551,195,139.995,250,2584.62,2.80658,2489.14,2.94327
1133183782057777,195,160,250,2582.95,2.08036,2486.46,1.58348
1133186802059911,195,179.995,250,2580.4,1.92569,2484.43,1.46858
1133189822058350,195,200,250,2577.2,3.59906,2483.56,1.5443
1133192842057652,195,219.995,250,2573.59,3.77011,2483.88,1.8787
1133195862058058,195,240,250,2570.07,2.01281,2485.15,1.49744
1133198882057720,195,259.995,250,2566.96,1.2729,2487.5,1.81811
1133201902059002,195,280,250,2563.97,0.828546,2491.15,0.993346
