Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
259756888079210,0,0,575,-11.2523,0.0425292,-2.29842,0.059063,-14.2116,0.0526238
259766520082636,0,89.993,575,-9.46019,0.038955,-2.25255,0.0532502,-13.2613,0.14148
259776152078405,0,179.995,575,-10.3966,0.0430768,-2.29569,0.0486746,-11.5108,0.149669
259785784080499,0,269.998,575,-12.1281,0.0400734,-2.32102,0.048688,-12.3446,0.15006
259841338081172,756.993,0,575,-10.5076,0.0418444,-1.48104,0.0499052,-14.1636,0.0475366
259845758081455,756.993,9.99298,575,-10.2164,0.0352464,-1.43738,0.048561,-13.7473,0.132504
259850178078858,756.993,19.9953,575,-10.0475,0.0459554,-1.41146,0.0524226,-13.5816,0.0955292
259854598078781,756.993,29.9977,575,-10.0084,0.0408977,-1.40487,0.0541508,-13.2781,0.130802
259859018080000,756.993,40,575,-10.1051,0.0455136,-1.47264,0.0471309,-13.0179,0.0582475
259863438079959,756.993,49.993,575,-10.3375,0.0475689,-1.41475,0.0578625,-12.7333,0.0543406
259867858080350,756.993,59.9953,575,-10.8513,0.0362541,-1.42101,0.0430222,-12.6256,0.0928173
259872278080357,756.993,69.9977,575,-11.4514,0.04753,-1.51624,0.0543726,-13.0594,0.0893162
259876698079648,756.993,80,575,-11.736,0.0447066,-1.53188,0.0496583,-13.9103,0.0697558
259881118081952,756.993,89.993,575,-11.4985,0.0371952,-1.55366,0.0413759,-14.9614,0.1223
259885538080920,756.993,99.9953,575,-10.6202,0.0433998,-1.67895,0.0514089,-15.9183,0.101279
259889958081473,756.993,109.998,575,-9.38609,0.0397235,-1.89906,0.0500215,-16.1794,0.0868925
259894378078341,756.993,120,575,-8.16734,0.0418178,-2.17871,0.0600184,-15.6363,0.13037
259898798079961,756.993,129.993,575,-7.43499,0.043225,-2.50908,0.0463567,-14.3716,0.0596791
259903218081017,756.993,139.995,575,-7.41996,0.0546603,-2.79888,0.0489504,-12.9956,0.0811478
259907638079938,756.993,149.998,575,-7.96553,0.0444622,-3.03588,0.0480854,-11.8043,0.110417
259912058079266,756.993,160,575,-8.82732,0.0418994,-3.27862,0.044083,-11.1718,0.0898339
259916478079350,756.993,169.993,575,-9.60774,0.041689,-3.47773,0.0596432,-10.9812,0.0619669
259920898079240,756.993,179.995,575,-10.2702,0.0400024,-3.57933,0.0546153,-10.8809,0.12389
259925318081150,756.993,189.998,575,-10.8518,0.0332351,-3.51473,0.0409262,-10.9475,0.0998204
259929738081992,756.993,200,575,-11.3394,0.0409668,-3.48004,0.0472888,-11.1138,0.099047
259934158078730,756.993,209.993,575,-11.7168,0.0431538,-3.28915,0.0491546,-11.5184,0.113287
259938578079944,756.993,219.995,575,-11.9603,0.0437224,-3.16045,0.0441572,-11.9066,0.0557527
