Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
333779767130229,0,0,575,-12.2434,0.0495095,-1.93527,0.0449597,-13.5944,0.119251
333789399132833,0,89.993,575,-12.0702,0.0399369,-1.90477,0.0589361,-13.5618,0.119403
333799031130624,0,179.995,575,-12.1655,0.0407253,-1.94275,0.0501022,-13.4854,0.113559
333808663132110,0,269.998,575,-12.2389,0.0485382,-1.86343,0.0442944,-13.4836,0.0828212
333864211133384,756.993,0,575,-11.9524,0.0440248,-1.98732,0.0387342,-13.5548,0.115849
333868631133415,756.993,9.99298,575,-12.0045,0.0468912,-1.99408,0.0432939,-13.5511,0.0844489
333873051130408,756.993,19.9953,575,-12.0002,0.0421007,-2.04073,0.0627816,-13.5649,0.0842473
333877471130318,756.993,29.9977,575,-12.0083,0.0422195,-1.943,0.0506748,-13.6023,0.0437573
333881891132233,756.993,40,575,-11.9946,0.0463135,-1.94159,0.0497644,-13.5574,0.107621
333886311132082,756.993,49.993,575,-11.9927,0.0390049,-1.92936,0.0562255,-13.5631,0.0664668
333890731129965,756.993,59.9953,575,-11.985,0.0442851,-1.94038,0.0501556,-13.5816,0.0838201
333895151132647,756.993,69.9977,575,-12.0067,0.041707,-1.91199,0.0444625,-13.6045,0.0853048
333899571131117,756.993,80,575,-11.9558,0.0478225,-1.92901,0.0381341,-13.7292,0.144938
333903991129995,756.993,89.993,575,-11.9849,0.0503485,-1.93244,0.039711,-13.6546,0.104975
333908411130614,756.993,99.9953,575,-11.9653,0.0430363,-1.94313,0.0436547,-13.6821,0.0890466
333912831132996,756.993,109.998,575,-11.956,0.0416868,-1.92961,0.0420377,-13.6756,0.0655651
333917251130049,756.993,120,575,-11.8953,0.0418732,-1.95666,0.0468532,-13.6193,0.0783119
333921671131076,756.993,129.993,575,-11.8837,0.0561286,-2.02647,0.043483,-13.6251,0.120286
333926091131394,756.993,139.995,575,-11.8994,0.0540595,-2.05589,0.0484368,-13.6403,0.104922
333930511131712,756.993,149.998,575,-11.9364,0.0374606,-1.99551,0.0456325,-13.4521,0.0712303
333934931129474,756.993,160,575,-11.9474,0.0425638,-2.07954,0.035928,-13.4909,0.0891501
333939351129961,756.993,169.993,575,-11.9799,0.0426921,-2.02725,0.0407923,-13.4437,0.0836802
333943771132451,756.993,179.995,575,-12.0585,0.047489,-2.0414,0.0439181,-13.4396,0.0797029
333948191129771,756.993,189.998,575,-12.0233,0.040642,-2.09385,0.0460386,-13.4815,0.120974
333952611131072,756.993,200,575,-12.0355,0.0402302,-2.05122,0.0379317,-13.4324,0.0562452
333957031133187,756.993,209.993,575,-12.0518,0.0446944,-2.04436,0.0597723,-13.516,0.0759215
333961451133599,756.993,219.995,575,-12.0474,0.0418195,-2.01032,0.0336252,-13.5021,0.102925
333965871132547,756.993,229.998,575,-12.0436,0.0438301,-1.98474,0.0441146,-13.5456,0.0841989
333970291133331,756.993,240,575,-12.0459,0.0444758,-2.01,0.049351,-13.5461,0.0652554
333974711130876,756.993,249.993,575,-12.0633,0.0486122,-2.01728,0.0443234,-13.5888,0.0977729
333979131129811,756.993,259.995,575,-12.0746,0.0479913,-2.01418,0.039475,-13.5027,0.0751478
333983551133176,756.993,269.998,575,-12.0685,0.0454694,-2.08017,0.0416446,-13.5764,0.11704
333987971133072,756.993,280,575,-12.1036,0.0435261,-2.01548,0.0400717,-13.584,0.116396
333992391129404,756.993,289.993,575,-12.0884,0.0476141,-2.01504,0.0519274,-13.5912,0.0626014
