Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1361065001361655,0,0,0,1.59445e-305,0,-1.50131e-304,0,-7.91785e-305,0
1361066105361117,0,0,0,1.5964e-305,0,-1.50156e-304,0,-7.91742e-305,0
1361067209358826,0,0,0,1.59802e-305,0,-1.50162e-304,0,-7.91343e-305,0
1361068313361168,0,0,0,1.59872e-305,0,-1.50103e-304,0,-7.91182e-305,0
1361069417360485,0,0,0,1.61167e-305,0,-1.50845e-304,0,-7.95581e-305,0
1361070521361303,0,0,0,1.62804e-305,0,-1.5142e-304,0,-7.98555e-305,0
1361071625360224,0,0,0,1.62937e-305,0,-1.51443e-304,0,-7.98983e-305,0
1361072729358930,0,0,0,1.63226e-305,0,-1.51497e-304,0,-7.98876e-305,0
1361073833360419,0,0,0,1.62801e-305,0,-1.51523e-304,0,-7.99043e-305,0
1361074937360757,0,0,0,1.60876e-305,0,-1.50575e-304,0,-7.9403e-305,0
1361076041361503,0,0,0,1.603e-305,0,-1.50196e-304,0,-7.9204e-305,0
1361077145360964,0,0,0,1.60296e-305,0,-1.50232e-304,0,-7.92259e-305,0
1361078249360174,0,0,0,1.60298e-305,0,-1.50215e-304,0,-7.92055e-305,0
1361079353360091,0,0,0,1.60234e-305,0,-1.50177e-304,0,-7.91918e-305,0
1361080457358413,0,0,0,1.6014e-305,0,-1.50128e-304,0,-7.91747e-305,0
1361081561359266,0,0,0,1.60079e-305,0,-1.5006e-304,0,-7.91385e-305,0
1361082665361236,0,0,0,1.59637e-305,0,-1.50003e-304,0,-7.91035e-305,0
1361083769361633,0,0,0,1.60061e-305,0,-1.50013e-304,0,-7.91424e-305,0
1361084873361191,0,0,0,1.60008e-305,0,-1.50013e-304,0,-7.91453e-305,0
1361085977359992,0,0,0,1.60028e-305,0,-1.5009e-304,0,-7.92292e-305,0
1361087081361638,0,0,0,1.60073e-305,0,-1.50167e-304,0,-7.92442e-305,0
1361088185361159,0,0,0,1.60096e-305,0,-1.50119e-304,0,-7.92222e-305,0
1361089289358737,0,0,0,1.60069e-305,0,-1.5018e-304,0,-7.9231e-305,0
1361090393361546,0,0,0,1.59829e-305,0,-1.50173e-304,0,-7.92238e-305,0
1361091497359640,0,0,0,1.60186e-305,0,-1.50191e-304,0,-7.91902e-305,0
1361092601358945,0,0,0,1.62171e-305,0,-1.51071e-304,0,-7.96526e-305,0
1361093705361107,0,0,0,1.62827e-305,0,-1.51492e-304,0,-7.9913e-305,0
1361094809361384,0,0,0,1.62772e-305,0,-1.51487e-304,0,-7.99217e-305,0
1361095913358614,0,0,0,1.6236e-305,0,-1.51334e-304,0,-7.98413e-305,0
1361097017361256,0,0,0,1.61822e-305,0,-1.51098e-304,0,-7.97071e-305,0
1361098121361797,0,0,0,1.59395e-305,0,-1.49939e-304,0,-7.90644e-305,0
1361099225360011,0,0,0,1.59006e-305,0,-1.4984e-304,0,-7.89257e-305,0
1361100329360432,0,0,0,1.59354e-305,0,-1.49728e-304,0,-7.89631e-305,0
1361101433361490,0,0,0,1.59247e-305,0,-1.49887e-304,0,-7.90621e-305,0
1361102537359691,0,0,0,1.60257e-305,0,-1.50122e-304,0,-7.92438e-305,0
1361103641360245,0,0,0,1.60044e-305,0,-1.50177e-304,0,-7.92837e-305,0
1361104745358506,0,0,0,1.60086e-305,0,-1.50119e-304,0,-7.92696e-305,0
1361105849360764,0,0,0,1.60257e-305,0,-1.50208e-304,0,-7.93255e-305,0
1361106953360045,0,0,0,1.60056e-305,0,-1.50232e-304,0,-7.92947e-305,0
