Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
353661639469977,0,0,575,-12.1621,0.0396472,-2.00738,0.0514911,-13.5359,0.108843
353671271469434,0,89.993,575,-12.086,0.0449093,-2.01005,0.0494019,-13.4828,0.0902518
353680903468326,0,179.995,575,-12.0978,0.0444626,-2.00438,0.045616,-13.4703,0.128486
353690535470091,0,269.998,575,-12.1503,0.0478939,-2.08375,0.0380526,-13.4656,0.108228
353746079468516,756.993,0,575,-12.0272,0.0533514,-2.11901,0.0362659,-13.5732,0.0948628
353750499469576,756.993,9.99298,575,-12.0011,0.0425058,-2.1047,0.0435716,-13.5883,0.0985917
353754919468729,756.993,19.9953,575,-11.9846,0.0405353,-2.04332,0.047287,-13.5876,0.0900275
353759339470618,756.993,29.9977,575,-12.0386,0.0410157,-2.04043,0.0420093,-13.6337,0.121192
353763759470827,756.993,40,575,-11.9999,0.0404105,-2.05137,0.0497216,-13.4953,0.101437
353768179467700,756.993,49.993,575,-12.09,0.0490508,-2.05456,0.0392496,-13.523,0.108314
353772599470501,756.993,59.9953,575,-12.1112,0.041024,-1.97852,0.0479291,-13.5869,0.130347
353777019469655,756.993,69.9977,575,-12.0891,0.0464537,-2.03147,0.0469989,-13.6532,0.116808
353781439468747,756.993,80,575,-12.0939,0.0477731,-2.01212,0.0513836,-13.6817,0.0913024
353785859471045,756.993,89.993,575,-12.0485,0.0402467,-1.96628,0.0407558,-13.7311,0.128004
353790279469250,756.993,99.9953,575,-12.0681,0.0399142,-1.9977,0.0391015,-13.7133,0.110038
353794699467335,756.993,109.998,575,-12.0364,0.0435381,-1.94419,0.044342,-13.7203,0.0775125
353799119470520,756.993,120,575,-11.9955,0.0446104,-1.97976,0.0438931,-13.6855,0.0751517
353803539470501,756.993,129.993,575,-11.9181,0.0499089,-2.02357,0.0511345,-13.599,0.0953402
353807959468946,756.993,139.995,575,-11.9021,0.0499234,-2.01121,0.0401466,-13.5341,0.0990562
353812379468103,756.993,149.998,575,-11.9474,0.0401683,-2.03313,0.0485008,-13.5813,0.113319
353816799468546,756.993,160,575,-11.9852,0.0424674,-2.02719,0.0498849,-13.5458,0.128215
353821219468235,756.993,169.993,575,-12.0076,0.0463822,-2.02098,0.0357013,-13.5852,0.0875629
353825639467323,756.993,179.995,575,-12.0221,0.0402791,-2.06334,0.0481203,-13.5819,0.120532
353830059467503,756.993,189.998,575,-12.0289,0.0385101,-2.07298,0.0421265,-13.4879,0.0841685
353834479468452,756.993,200,575,-12.0755,0.0395511,-2.05424,0.0515234,-13.5167,0.0967766
353838899469843,756.993,209.993,575,-12.0402,0.0350846,-2.05108,0.0387966,-13.5659,0.105227
353843319469256,756.993,219.995,575,-11.9984,0.0448192,-1.98802,0.0415526,-13.5265,0.0989741
353847739467720,756.993,229.998,575,-11.9932,0.0439217,-1.98993,0.0433919,-13.5276,0.0899934
353852159469556,756.993,240,575,-12.0237,0.0441507,-2.03117,0.0426104,-13.6037,0.118942
353856579469616,756.993,249.993,575,-12.0311,0.042448,-2.03657,0.0404524,-13.6542,0.099092
353860999467264,756.993,259.995,575,-12.0111,0.0391392,-2.0269,0.0502108,-13.6135,0.106714
353865419471069,756.993,269.998,575,-11.9738,0.0398608,-2.04141,0.0410725,-13.6053,0.103187
353869839469725,756.993,280,575,-11.9605,0.0414005,-2.01716,0.0497603,-13.6166,0.106679
353874259468249,756.993,289.993,575,-12.0076,0.0428721,-2.02853,0.0539993,-13.6159,0.0821136
353878679467721,756.993,299.995,575,-12.0498,0.0427365,-2.08744,0.0476629,-13.5764,0.0995647
353883099467457,756.993,309.998,575,-12.01,0.044728,-2.13019,0.0534731,-13.5851,0.0951165
353887519471477,756.993,320,575,-12.0086,0.0472766,-2.09715,0.0425705,-13.5948,0.0838697
353891939467745,756.993,329.993,575,-11.9569,0.0491156,-2.08168,0.0476995,-13.6029,0.101418
353896359471429,756.993,339.995,575,-11.9693,0.0392687,-2.15951,0.059176,-13.5773,0.0982505
353900779468537,756.993,349.998,575,-11.9826,0.0406817,-2.04443,0.0424138,-13.5249,0.101921
353905199468549,756.993,360,575,-12.0214,0.0448458,-2.04721,0.0428553,-13.5739,0.103745
353908617467827,756.993,360,575,-11.9883,0.0472833,-2.08365,0.0400619,-13.5343,0.081435
353913037469531,756.993,349.998,575,-11.9834,0.0389838,-2.06647,0.0423721,-13.5802,0.0732261
353917457468571,756.993,339.995,575,-12.0128,0.0433906,-2.07128,0.0517818,-13.6411,0.106705
353921877470156,756.993,329.993,575,-12.0171,0.0408309,-2.05287,0.0495242,-13.6533,0.121416
353926297469172,756.993,320,575,-12.0247,0.0417351,-2.09224,0.0481177,-13.5797,0.104142
353930717467744,756.993,309.998,575,-12.0334,0.0491233,-2.09061,0.0419542,-13.6221,0.092123
353935137470288,756.993,299.995,575,-11.9949,0.0505036,-2.07452,0.0487628,-13.5719,0.0911414
353939557468323,756.993,289.993,575,-12.0056,0.0407099,-2.07668,0.0411874,-13.6273,0.121589
353943977468183,756.993,280,575,-11.9729,0.0393262,-2.08438,0.0369898,-13.6388,0.0857892
353948397468451,756.993,269.998,575,-11.971,0.046269,-2.0587,0.0424022,-13.6558,0.124185
353952817468719,756.993,259.995,575,-11.9894,0.0382045,-2.03583,0.0467262,-13.6839,0.128202
353957237471303,756.993,249.993,575,-11.9947,0.0432522,-2.04456,0.0435771,-13.6284,0.111701
353961657470815,756.993,240,575,-12.0232,0.0431712,-2.09971,0.0432248,-13.5548,0.105349
353966077469787,756.993,229.998,575,-12.0419,0.0458863,-2.14387,0.0548884,-13.522,0.120264
353970497467631,756.993,219.995,575,-12.0485,0.0432305,-2.07899,0.0553954,-13.5863,0.128263
353974917471067,756.993,209.993,575,-12.0374,0.0437579,-2.09596,0.0377579,-13.5689,0.127196
353979337468275,756.993,200,575,-11.9794,0.0480029,-2.06135,0.040578,-13.5532,0.0973213
353983757467978,756.993,189.998,575,-12.0001,0.0463528,-2.12318,0.0412765,-13.5655,0.111089
353988177468331,756.993,179.995,575,-11.953,0.0478702,-2.0911,0.0470761,-13.6054,0.128726
353992597467723,756.993,169.993,575,-11.9709,0.0449637,-2.07586,0.0466604,-13.5598,0.0799971
353997017469911,756.993,160,575,-11.9842,0.0405193,-2.09698,0.0517335,-13.6489,0.123203
354001437469506,756.993,149.998,575,-11.9403,0.0414014,-2.0176,0.0441549,-13.6672,0.0642336
354005857467386,756.993,139.995,575,-11.9824,0.0393628,-2.09572,0.0421302,-13.6351,0.10031
354010277471110,756.993,129.993,575,-11.8996,0.0461276,-2.09684,0.0459356,-13.697,0.139589
354014697468066,756.993,120,575,-11.9497,0.0512087,-2.02206,0.0464551,-13.7519,0.131137
354019117470686,756.993,109.998,575,-12.0018,0.0429924,-1.96665,0.0497297,-13.7104,0.103725
354023537470102,756.993,99.9953,575,-12.0952,0.0543061,-2.03073,0.041297,-13.6954,0.127552
354027957468978,756.993,89.993,575,-12.0923,0.0453646,-2.03439,0.0490582,-13.6531,0.096015
354032377468010,756.993,80,575,-12.1622,0.0504554,-2.00828,0.0561729,-13.6637,0.117622
354036797467330,756.993,69.9977,575,-12.1083,0.046389,-1.99903,0.0408131,-13.6114,0.0753607
354041217469146,756.993,59.9953,575,-12.0925,0.0422035,-2.02505,0.0440318,-13.6338,0.111817
354045637468850,756.993,49.993,575,-12.0819,0.0367047,-2.02225,0.0441785,-13.549,0.0961696
354050057471482,756.993,40,575,-12.0681,0.0389201,-2.02879,0.0501811,-13.5289,0.0765151
354054477468131,756.993,29.9977,575,-12.0286,0.0493031,-1.98837,0.055043,-13.5394,0.103286
354058897471355,756.993,19.9953,575,-12.0404,0.0418522,-2.03829,0.0432508,-13.534,0.125319
354063317470871,756.993,9.99298,575,-12.0201,0.0423246,-2.00015,0.0448828,-13.501,0.0957213
354067737467736,756.993,0,575,-12.0019,0.036924,-2.00211,0.0503101,-13.5405,0.107118
354071155468317,756.993,0,575,-12.013,0.0398678,-2.04986,0.0461578,-13.4842,0.0949796
354075575469659,756.993,9.99298,575,-11.9893,0.0397561,-2.07047,0.0408382,-13.4937,0.10612
354079995468145,756.993,19.9953,575,-11.9977,0.0457984,-2.00033,0.0467955,-13.4595,0.0704546
354084415469704,756.993,29.9977,575,-12.0592,0.0388237,-2.04656,0.0469539,-13.5067,0.11126
354088835468412,756.993,40,575,-12.0669,0.0437428,-2.01974,0.0402744,-13.4663,0.0977757
354093255470676,756.993,49.993,575,-12.059,0.0391407,-2.00597,0.0435296,-13.5274,0.120378
354097675469568,756.993,59.9953,575,-12.1178,0.039573,-1.99132,0.0436916,-13.5062,0.0990837
354102095470344,756.993,69.9977,575,-12.0784,0.0354128,-1.97146,0.0423124,-13.571,0.0832132
354106515471120,756.993,80,575,-12.1091,0.038435,-2.02077,0.0476613,-13.6537,0.0924917
354110935467648,756.993,89.993,575,-12.0808,0.0438512,-2.03567,0.0396707,-13.6985,0.0943987
354115355469324,756.993,99.9953,575,-12.0608,0.0407579,-2.03597,0.0414599,-13.6579,0.0545192
354119775469427,756.993,109.998,575,-12.0478,0.044088,-1.99866,0.0513788,-13.7034,0.0798549
354124195467587,756.993,120,575,-11.9563,0.04091,-2.03327,0.0517924,-13.7421,0.111571
354128615471316,756.993,129.993,575,-11.9373,0.0398046,-2.02507,0.0434438,-13.7187,0.127331
354133035468491,756.993,139.995,575,-11.9092,0.0379631,-2.03186,0.053161,-13.6532,0.100454
354137455471439,756.993,149.998,575,-11.9072,0.0438381,-2.06453,0.0522335,-13.5764,0.110705
354141875470319,756.993,160,575,-11.9376,0.0405696,-2.02193,0.0362653,-13.5146,0.0789109
354146295467915,756.993,169.993,575,-12.0278,0.0462772,-2.07275,0.0458771,-13.5132,0.117906
354150715469435,756.993,179.995,575,-12.0297,0.0400359,-2.03266,0.0521164,-13.5475,0.115153
354155135469863,756.993,189.998,575,-12.0267,0.0482866,-2.14246,0.0538792,-13.5946,0.124464
354159555468779,756.993,200,575,-12.0477,0.0513982,-2.05011,0.0407581,-13.6404,0.124179
354163975470071,756.993,209.993,575,-12.0394,0.0370966,-2.07792,0.0464004,-13.6041,0.0871996
