Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
615899161568183,237.998,0,250,33.2013,0.893374,-33.6274,0.664089
615902181568757,237.998,19.9953,250,36.4868,9.24789,-36.1001,4.64185
615905201566271,237.998,40,250,37.889,1.94092,-37.9971,1.29239
615908221568142,237.998,59.9953,250,40.4278,1.42083,-40.36,1.19574
615911241566448,237.998,80,250,42.8364,1.76086,-42.8399,2.7856
615914261567718,237.998,99.9953,250,45.4343,2.3613,-45.2901,4.92361
615917281567272,237.998,120,250,47.3324,2.78862,-46.9757,10.2615
615920301567126,237.998,139.995,250,48.7747,2.33394,-48.38,3.78246
615923321566908,237.998,160,250,49.4904,3.97943,-49.0677,4.10515
615926341567530,237.998,179.995,250,48.9606,3.04091,-48.8628,1.87509
615929361566532,237.998,200,250,48.3108,7.18783,-47.6137,3.19674
615932381566086,237.998,219.995,250,45.8371,2.93912,-45.9392,1.8295
615935401568376,237.998,240,250,43.549,1.91402,-43.5702,2.00898
615938421566226,237.998,259.995,250,41.0289,2.97521,-40.7668,4.20296
615941441566392,237.998,280,250,37.923,1.71139,-38.0992,1.92642
615944461567962,237.998,299.995,250,35.0869,1.24537,-35.2114,0.845555
615947481566232,237.998,320,250,32.8267,0.980056,-32.9682,0.783454
615950501566254,237.998,339.995,250,31.8934,0.843972,-32.1228,0.787984
615953521566864,237.998,360,250,32.5848,0.617423,-32.685,0.474108
615979199568343,290,0,250,26.2602,1.55349,-26.916,1.13816
615982219566949,290,19.9953,250,28.4155,3.62461,-28.3226,1.89081
615985239565999,290,40,250,30.7785,1.20461,-30.7595,0.997133
615988259566261,290,59.9953,250,33.561,2.16373,-33.1115,1.4413
615991279567603,290,80,250,35.887,2.19197,-35.6528,1.96092
615994299566065,290,99.9953,250,38.4014,4.79575,-37.7406,5.16805
615997319567443,290,120,250,40.3906,7.40428,-39.4027,8.70014
616000339568701,290,139.995,250,41.5271,5.78545,-40.7089,4.03936
616003359567440,290,160,250,42.1994,7.5197,-41.2298,4.24037
616006379569022,290,179.995,250,41.2795,2.20863,-41.149,1.60813
616009399566884,290,200,250,40.5348,6.58162,-39.8079,3.27792
616012419567542,290,219.995,250,38.293,4.35199,-38.0485,2.4349
616015439569136,290,240,250,35.8365,2.11525,-35.7235,1.86693
616018459568438,290,259.995,250,33.5471,3.6531,-33.1273,3.59216
616021479567848,290,280,250,30.6123,3.40453,-30.4498,3.0499
616024499566742,290,299.995,250,28.1712,3.32411,-28.0106,2.3442
616027519569116,290,320,250,26.0198,2.23807,-26.0325,1.77933
616030539565922,290,339.995,250,25.3166,2.7394,-25.4508,1.48594
616033559566676,290,360,250,26.3795,1.83973,-26.4101,1.15509
616059235567202,341.993,0,250,23.5106,1.43313,-24.3544,1.17922
616062255567812,341.993,19.9953,250,25.7634,6.35606,-25.7439,3.41301
616065275568374,341.993,40,250,28.1956,2.18787,-28.0998,1.57156
616068295568648,341.993,59.9953,250,31.0027,2.6676,-30.3895,2.0559
616071315568454,341.993,80,250,33.3986,4.12655,-32.8606,3.2116
616074335569160,341.993,99.9953,250,35.9109,8.04437,-34.8292,4.38956
616077355566290,341.993,120,250,38.3951,11.0914,-36.4303,6.60437
616080375569216,341.993,139.995,250,39.4259,9.09237,-38.1038,4.23724
616083395567030,341.993,160,250,39.0903,8.65565,-39.0354,4.46147
