Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
102611027858009,0,0,0,-19.1783,0.0339864,-2.10688,0.0466619,-7.23834,0.0550259
102615029857249,0,0,0,-19.1945,0.0319624,-2.12718,0.0559498,-7.23341,0.0591185
102619031859862,0,0,0,-19.1593,0.0339728,-2.125,0.0419837,-7.2389,0.0488493
102623033859822,0,0,0,-19.1374,0.0364175,-2.1022,0.0450968,-7.26353,0.0663161
102627035857394,0,0,0,-19.1308,0.0525157,-2.12118,0.0423495,-7.23569,0.0561197
102631037859286,0,0,0,-19.1344,0.043521,-2.13524,0.0515406,-7.23293,0.0613197
102635039858395,0,0,0,-19.1836,0.0390599,-2.06281,0.0491487,-7.21128,0.0536134
102639041860035,0,0,0,-19.1642,0.0382764,-2.05254,0.0382919,-7.2042,0.0437275
102643043857883,0,0,0,-19.1542,0.0369175,-2.12643,0.0539624,-7.20003,0.0563332
102647045858419,0,0,0,-19.183,0.0394071,-2.10982,0.0482821,-7.21474,0.0607146
102651047857900,0,0,0,-19.162,0.0471048,-2.09165,0.048925,-7.24577,0.0510876
102655049858652,0,0,0,-19.1374,0.0313231,-2.08373,0.0613515,-7.24628,0.0506619
102659051858468,0,0,0,-19.1377,0.0377407,-2.0792,0.0574187,-7.28039,0.0517372
102663053859029,0,0,0,-19.0824,0.0378567,-2.12305,0.0436223,-7.24659,0.057809
102667055856721,0,0,0,-19.1239,0.0393321,-2.17693,0.0446051,-7.22431,0.0491458
102671057859297,0,0,0,-19.154,0.0459966,-2.13087,0.0533472,-7.20335,0.0580465
102675059858261,0,0,0,-19.1736,0.0374252,-2.17635,0.0485183,-7.25706,0.052114
102679061860058,0,0,0,-19.155,0.0438079,-2.13301,0.0470083,-7.25101,0.0588726
102683063859154,0,0,0,-19.1208,0.0487864,-2.1208,0.0587442,-7.2232,0.0562983
102687065857854,0,0,0,-19.1176,0.0382384,-2.13886,0.055195,-7.2801,0.0575511
102691067858487,0,0,0,-19.1336,0.0366652,-2.11768,0.0579124,-7.29256,0.052371
102695069856743,0,0,0,-19.1306,0.0438357,-2.13117,0.0511785,-7.30808,0.0534162
102699071858131,0,0,0,-19.168,0.0440938,-2.18886,0.05461,-7.30162,0.0487526
102703073858487,0,0,0,-19.1467,0.0471617,-2.19015,0.0501676,-7.30022,0.0518768
102707075856864,0,0,0,-19.1203,0.0458184,-2.18419,0.0457531,-7.34909,0.0650763
102711077859104,0,0,0,-19.0959,0.0435728,-2.18753,0.060366,-7.35031,0.0527252
