Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
2847122540064178,410,189.998,200,108.97,0.181104,105.744,0.283794,-356.35,0.228617
2847123544062063,410,189.998,200,108.888,0.172873,105.656,0.278308,-356.276,0.327617
2847124546063123,410,189.998,200,109.081,0.210445,105.534,0.214018,-356.084,0.410362
2847125548063775,410,189.998,200,108.946,0.192155,105.411,0.230672,-355.937,0.293826
2847126550063659,410,189.998,200,108.762,0.21331,105.53,0.215659,-356.081,0.248512
2847127554064196,410,189.998,200,108.922,0.249771,105.548,0.239467,-356.32,0.362781
2847128558065164,410,189.998,200,108.966,0.184749,105.332,0.245054,-356.175,0.396588
2847129560062660,410,189.998,200,108.9,0.197011,105.196,0.224761,-355.925,0.214164
2847130562064824,410,189.998,200,108.947,0.238728,105.209,0.249583,-355.854,0.304686
2847131564062404,410,189.998,200,108.851,0.200878,105.125,0.25038,-355.741,0.232928
