Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1888757545184937,756.993,360,575,-10.0169,0.0422088,-1.93915,0.0417641,-11.9487,0.0825087
1888761973184959,756.993,349.998,575,-10.075,0.0333388,-1.92429,0.0427946,-12.0572,0.0567395
1888766399186484,756.993,339.995,575,-10.1382,0.0342163,-1.86634,0.0467332,-12.1581,0.0471124
1888770825185585,756.993,329.993,575,-10.3419,0.0430534,-1.60412,0.0455624,-12.3547,0.0503739
1888775251186606,756.993,320,575,-10.8158,0.0424481,-1.35454,0.0437016,-12.325,0.0711165
1888779677185670,756.993,309.998,575,-10.9893,0.0382585,-1.61336,0.0474728,-11.5624,0.0509136
1888784103186499,756.993,299.995,575,-10.6391,0.0401037,-1.90649,0.0448013,-11.3051,0.0532684
1888788529186932,756.993,289.993,575,-10.4885,0.0389598,-2.05495,0.0391382,-11.4304,0.0432361
1888792955185181,756.993,280,575,-10.4602,0.0386777,-2.18806,0.0605623,-11.5854,0.0519267
1888797381184569,756.993,269.998,575,-10.4692,0.0380763,-2.33464,0.0475878,-11.6418,0.0443921
1888801807184486,756.993,259.995,575,-10.615,0.0369989,-2.34732,0.0534384,-11.6187,0.063014
1888806233186359,756.993,249.993,575,-10.6479,0.0375017,-2.44261,0.0413741,-11.4885,0.0533558
1888810659184212,756.993,240,575,-10.6415,0.0330742,-2.53004,0.0452627,-11.3901,0.0563548
1888815085184584,756.993,229.998,575,-10.6167,0.0365643,-2.56731,0.0461874,-11.2319,0.0506768
1888819511183853,756.993,219.995,575,-10.5575,0.0358163,-2.68161,0.0369534,-11.1351,0.0504921
1888823937185414,756.993,209.993,575,-10.4755,0.0355214,-2.71445,0.0481517,-11.048,0.0559835
1888828363185931,756.993,200,575,-10.368,0.0375324,-2.79118,0.0470491,-10.947,0.0571412
1888832789185727,756.993,189.998,575,-10.1925,0.0443119,-2.80313,0.0481941,-10.8525,0.0460889
1888837215185008,756.993,179.995,575,-9.97777,0.0416815,-2.81313,0.0557802,-10.846,0.0391571
1888841641186017,756.993,169.993,575,-9.75185,0.04689,-2.786,0.0484642,-10.8012,0.045042
1888846067184230,756.993,160,575,-9.43937,0.0373835,-2.70065,0.0450516,-10.9348,0.0552018
1888850493184602,756.993,149.998,575,-9.13235,0.0380896,-2.6215,0.0603337,-11.1878,0.0480792
1888854921187145,756.993,139.995,575,-8.96957,0.0354337,-2.54556,0.0417626,-11.6254,0.0457223
1888859347184134,756.993,129.993,575,-8.9789,0.0479684,-2.42653,0.0437369,-12.2006,0.0555212
1888863773186787,756.993,120,575,-9.2443,0.0446373,-2.2829,0.0503078,-12.6468,0.0634856
1888868199186728,756.993,109.998,575,-9.75275,0.0407625,-2.21529,0.0489506,-12.8868,0.0594291
1888872625185972,756.993,99.9953,575,-10.2578,0.0362711,-2.13911,0.0496815,-12.7805,0.0438951
1888877051186669,756.993,89.993,575,-10.5638,0.0353588,-2.09104,0.0507877,-12.3389,0.0441867
1888881477185554,756.993,80,575,-10.6965,0.0373714,-2.01938,0.0420605,-11.9384,0.048799
1888885903184979,756.993,69.9977,575,-10.539,0.0396231,-2.0572,0.0599215,-11.5881,0.0542896
1888890329186407,756.993,59.9953,575,-10.3022,0.037772,-2.06284,0.0509059,-11.4496,0.0530855
1888894755184056,756.993,49.993,575,-10.0944,0.0343473,-2.03113,0.0572478,-11.4517,0.0801374
1888899181186829,756.993,40,575,-9.97776,0.0322172,-2.0723,0.0464423,-11.6158,0.0421288
1888903607186314,756.993,29.9977,575,-9.92423,0.041119,-2.01879,0.0517181,-11.7338,0.0536982
1888908033184646,756.993,19.9953,575,-9.89403,0.0383404,-2.00401,0.0605438,-11.802,0.0448832
1888912459185427,756.993,9.99298,575,-9.95917,0.0363997,-1.95757,0.0490586,-11.8905,0.0556938
1888916885185992,756.993,0,575,-9.99482,0.0464805,-1.96742,0.0419332,-11.9958,0.0733529
