Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
263421635680248,0,0,575,-10.449,0.0413134,-2.67632,0.0451468,-12.2428,0.110324
263431267677963,0,89.993,575,-11.6941,0.0395562,-2.59558,0.0489005,-12.9288,0.0936676
263440899679816,0,179.995,575,-11.0308,0.0420962,-2.5957,0.0477543,-14.1845,0.0524562
263450531678995,0,269.998,575,-9.88528,0.0485203,-2.58168,0.046697,-13.3971,0.1407
263506083677559,756.993,0,575,-10.7926,0.0450059,-3.22594,0.0462217,-12.3665,0.0662952
263510503678709,756.993,9.99298,575,-10.9696,0.0417814,-3.17882,0.0456691,-12.4333,0.150619
263514923677518,756.993,19.9953,575,-11.097,0.036771,-3.13905,0.0458789,-12.7648,0.0941179
263519343678882,756.993,29.9977,575,-11.1797,0.0439349,-3.12848,0.049478,-12.9599,0.0522397
263523763679899,756.993,40,575,-11.1834,0.0364415,-3.14814,0.0425435,-13.2017,0.11198
263528183680280,756.993,49.993,575,-11.0094,0.0434427,-3.04045,0.0403516,-13.4331,0.0995377
263532603679329,756.993,59.9953,575,-10.6506,0.0422426,-3.09114,0.0490187,-13.5,0.135792
263537023681138,756.993,69.9977,575,-10.2051,0.0377406,-3.05084,0.0433549,-13.2729,0.107724
263541443680846,756.993,80,575,-9.98441,0.0388442,-3.05223,0.0571326,-12.634,0.116361
263545863679920,756.993,89.993,575,-10.1425,0.034558,-3.05827,0.0482399,-11.8346,0.15953
263550283680973,756.993,99.9953,575,-10.6734,0.0427444,-2.99794,0.0482143,-11.3319,0.107079
263554703679889,756.993,109.998,575,-11.5078,0.0447516,-2.87789,0.0621168,-11.0181,0.191566
263559123681530,756.993,120,575,-12.3514,0.0417641,-2.6531,0.0511243,-11.4051,0.188
263563543680891,756.993,129.993,575,-12.8443,0.0450501,-2.40223,0.0474577,-12.2382,0.163734
263567963678764,756.993,139.995,575,-12.9604,0.0387161,-2.35502,0.0467991,-13.2893,0.130169
263572383678905,756.993,149.998,575,-12.595,0.0425677,-2.10116,0.0507598,-14.0499,0.127227
263576803680329,756.993,160,575,-12.0461,0.0433357,-1.94811,0.056829,-14.3857,0.157983
263581223680986,756.993,169.993,575,-11.4638,0.0473105,-1.80797,0.0423622,-14.5941,0.130093
263585643680084,756.993,179.995,575,-11.0022,0.0410996,-1.85532,0.0460957,-14.6746,0.135006
263590063680404,756.993,189.998,575,-10.6044,0.0412674,-1.77429,0.0469502,-14.7448,0.0490395
263594483680701,756.993,200,575,-10.2546,0.0384513,-1.82537,0.0458171,-14.4997,0.139093
263598903681897,756.993,209.993,575,-10.0394,0.036742,-1.91416,0.0570271,-14.3022,0.142559
263603323680899,756.993,219.995,575,-9.83992,0.0429979,-2.04743,0.0654357,-13.9445,0.158802
263607743679588,756.993,229.998,575,-9.71865,0.0430061,-2.1528,0.0625191,-13.796,0.0715694
263612163681792,756.993,240,575,-9.65265,0.0433117,-2.21113,0.0503434,-13.5838,0.0851509
263616583678378,756.993,249.993,575,-9.74932,0.0462387,-2.3341,0.0487403,-13.1076,0.165301
263621003680932,756.993,259.995,575,-9.86708,0.0396204,-2.50885,0.0504803,-13.0988,0.116008
263625423678098,756.993,269.998,575,-10.0104,0.0427682,-2.63082,0.0470432,-13.0642,0.148569
263629843677795,756.993,280,575,-10.0104,0.0384277,-2.81282,0.0461125,-13.011,0.190018
263634263677660,756.993,289.993,575,-9.92804,0.0422029,-2.81059,0.0529627,-13.1227,0.114068
263638683679698,756.993,299.995,575,-9.90469,0.0446198,-2.82438,0.041517,-12.8515,0.170153
263643103677955,756.993,309.998,575,-9.93549,0.0506798,-2.91418,0.0453235,-12.7511,0.130992
263647523681445,756.993,320,575,-10.0323,0.0444964,-3.00612,0.0569359,-12.6594,0.12777
263651943678803,756.993,329.993,575,-10.1247,0.0434346,-3.03025,0.0554588,-12.5428,0.107769
263656363681561,756.993,339.995,575,-10.2924,0.0439597,-3.13231,0.0467428,-12.3736,0.142663
263660783678522,756.993,349.998,575,-10.5368,0.0484973,-3.12223,0.0547476,-12.3543,0.135864
263665203678508,756.993,360,575,-10.8305,0.0442633,-3.201,0.0527415,-12.5115,0.105792
263668631678415,756.993,360,575,-10.8672,0.0431437,-3.16011,0.058994,-12.472,0.127312
263673051680543,756.993,349.998,575,-10.5877,0.0444904,-3.16412,0.0503805,-12.3436,0.144267
263677471678759,756.993,339.995,575,-10.3064,0.0433285,-3.19781,0.0437557,-12.3568,0.064803
263681891678321,756.993,329.993,575,-10.1244,0.0406364,-3.13044,0.0589645,-12.52,0.114568
263686311680306,756.993,320,575,-10.0189,0.0355893,-3.0365,0.0633375,-12.6424,0.102497
263690731678546,756.993,309.998,575,-9.92465,0.0415875,-2.9811,0.0580109,-12.6133,0.156764
263695151680880,756.993,299.995,575,-9.86728,0.046626,-2.911,0.0589468,-12.768,0.146527
263699571680369,756.993,289.993,575,-9.91006,0.0464291,-2.78557,0.0482783,-13.0673,0.14954
263703991677866,756.993,280,575,-9.96872,0.0408473,-2.67242,0.0521632,-13.1922,0.0514491
263708411681915,756.993,269.998,575,-9.94793,0.0382555,-2.61662,0.0512492,-13.0296,0.140392
263712831680060,756.993,259.995,575,-9.80097,0.0404352,-2.49129,0.0517666,-13.0421,0.132415
263717251681433,756.993,249.993,575,-9.66354,0.0439455,-2.33961,0.0418959,-13.3071,0.0829122
263721671680574,756.993,240,575,-9.61651,0.0424283,-2.20501,0.0501384,-13.5113,0.129628
263726091677735,756.993,229.998,575,-9.70526,0.0406071,-2.07859,0.0617371,-13.8106,0.0524248
263730511681340,756.993,219.995,575,-9.81708,0.0436667,-2.00215,0.049493,-14.0147,0.129853
263734931681393,756.993,209.993,575,-10.0015,0.041628,-1.8361,0.0499713,-14.3197,0.0841453
263739351680774,756.993,200,575,-10.2463,0.042266,-1.76995,0.0452412,-14.547,0.0835114
263743771680992,756.993,189.998,575,-10.5588,0.0431969,-1.74454,0.0432056,-14.6343,0.120609
263748191680116,756.993,179.995,575,-10.9432,0.0446369,-1.74851,0.0483691,-14.6396,0.160574
263752611681735,756.993,169.993,575,-11.4241,0.0494053,-1.78818,0.051649,-14.7105,0.111867
263757031677727,756.993,160,575,-11.9367,0.050332,-1.91064,0.0595492,-14.5258,0.1045
263761451678650,756.993,149.998,575,-12.53,0.0412157,-2.04519,0.0521797,-14.0949,0.0914899
263765871678066,756.993,139.995,575,-12.8473,0.0472515,-2.23421,0.0512241,-13.355,0.0637209
263770291681610,756.993,129.993,575,-12.895,0.0424013,-2.45509,0.047875,-12.3424,0.106417
263774711678446,756.993,120,575,-12.3573,0.0439779,-2.65568,0.0443804,-11.4725,0.114927
263779131681102,756.993,109.998,575,-11.4992,0.0397022,-2.83697,0.0506748,-11.0463,0.120452
263783551680170,756.993,99.9953,575,-10.643,0.0441193,-2.9075,0.0495184,-11.2276,0.144702
263787971679838,756.993,89.993,575,-10.0994,0.0428181,-2.98794,0.0445217,-11.9432,0.0533509
263792391678438,756.993,80,575,-9.88463,0.0415082,-3.02604,0.0559802,-12.7067,0.0810069
263796811677698,756.993,69.9977,575,-10.1155,0.0435575,-3.02666,0.0504383,-13.3903,0.0584489
263801231680822,756.993,59.9953,575,-10.5796,0.0478458,-3.04369,0.0445835,-13.6359,0.109631
263805651681654,756.993,49.993,575,-10.96,0.0463653,-3.0668,0.0481809,-13.4662,0.106197
263810071677698,756.993,40,575,-11.142,0.046025,-3.04776,0.0631469,-13.1242,0.143801
263814491680750,756.993,29.9977,575,-11.1673,0.0395202,-3.08924,0.0477584,-12.9132,0.145933
263818911677898,756.993,19.9953,575,-11.1134,0.0521749,-3.13943,0.049125,-12.7725,0.098302
263823331681514,756.993,9.99298,575,-11.0044,0.0404802,-3.14557,0.0472731,-12.5688,0.0928025
263827751678242,756.993,0,575,-10.7884,0.0385866,-3.17706,0.0468701,-12.3702,0.0575267
263831179677801,756.993,0,575,-10.8218,0.0510676,-3.17382,0.0493357,-12.3912,0.0419949
263835599681597,756.993,9.99298,575,-10.999,0.0408464,-3.10736,0.0498,-12.5635,0.112313
263840019680689,756.993,19.9953,575,-11.1081,0.0441101,-3.16643,0.0451499,-12.7885,0.125252
263844439678941,756.993,29.9977,575,-11.136,0.0383372,-3.19387,0.0492188,-13.0447,0.0646589
263848859681814,756.993,40,575,-11.151,0.0434065,-3.22125,0.0553861,-13.1838,0.134234
263853279679562,756.993,49.993,575,-10.9559,0.0403618,-3.15056,0.0450592,-13.5574,0.0629733
263857699680622,756.993,59.9953,575,-10.5575,0.0462246,-3.16718,0.0523226,-13.624,0.0793485
263862119678250,756.993,69.9977,575,-10.1529,0.0512699,-3.15504,0.0368314,-13.3599,0.130966
263866539680210,756.993,80,575,-9.87805,0.0414581,-3.11229,0.0687514,-12.788,0.110569
263870959681462,756.993,89.993,575,-10.0046,0.0486139,-3.07739,0.0520749,-11.8323,0.152156
263875379679092,756.993,99.9953,575,-10.5824,0.039404,-2.95735,0.0592562,-11.2415,0.0912466
263879799681462,756.993,109.998,575,-11.4539,0.0454948,-2.88175,0.0519316,-11.0787,0.135601
263884219679381,756.993,120,575,-12.2821,0.0478161,-2.68769,0.0500966,-11.457,0.117748
