Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
200771118116884,-15,0,1000,-7.94801,0.0377038,-3.34326,0.0572045,-10.3615,0.0682007
200776140116063,-15,19.9953,1000,-8.10296,0.0448498,-3.31333,0.0586459,-10.393,0.0504961
200781162116287,-15,40,1000,-8.26829,0.042755,-3.33011,0.0475688,-10.4993,0.0668808
200786184116054,-15,59.9953,1000,-8.33656,0.048492,-3.30797,0.0512351,-10.606,0.0514946
200791206114682,-15,80,1000,-8.41089,0.0381613,-3.35704,0.0509756,-10.796,0.0419084
200796228116622,-15,99.9953,1000,-8.32326,0.0331592,-3.35291,0.0487219,-10.901,0.0420936
200801250116473,-15,120,1000,-8.25024,0.0357823,-3.40638,0.041679,-11.0677,0.0462601
200806272114561,-15,139.995,1000,-8.11697,0.0380987,-3.32657,0.0502739,-11.1508,0.0779838
200811294115816,-15,160,1000,-7.95265,0.0393133,-3.30088,0.0443778,-11.2432,0.0376784
200811294115816,-15,160,1000,-7.95265,0.0393133,-3.30088,0.0443778,-11.2432,0.0376784
