Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
293968147162573,756.993,164.996,450,-8.32084,0.0532272,-3.60854,0.0566615,-10.3857,0.0493609
293982805163628,756.993,164.996,150,-8.38128,0.0499031,-3.70489,0.0575048,-10.2245,0.0568398
293998065164050,756.993,169.993,450,-8.38466,0.0365444,-3.59126,0.0468062,-10.4058,0.0499816
294012723163305,756.993,169.993,150,-8.41353,0.0391491,-3.69571,0.0500953,-10.3277,0.0595231
294027983163258,756.993,174.999,450,-8.46365,0.0499251,-3.57844,0.0493965,-10.5197,0.0483712
294042641163821,756.993,174.999,150,-8.47423,0.0413291,-3.65496,0.0509887,-10.3838,0.0455682
294057901162899,756.993,179.995,450,-8.49784,0.03503,-3.50248,0.047944,-10.529,0.0600712
294072559163546,756.993,179.995,150,-8.65012,0.0417463,-3.69518,0.0709852,-10.5058,0.05394
294087819163896,756.993,184.992,450,-8.634,0.0333742,-3.52098,0.0639474,-10.5019,0.0493558
294102477161591,756.993,184.992,150,-8.73543,0.0416141,-3.63735,0.0623983,-10.5795,0.0534303
294117737162876,756.993,189.998,450,-8.68227,0.0445446,-3.47977,0.0511292,-10.6743,0.0521454
294132395162731,756.993,189.998,150,-8.85247,0.0342779,-3.55997,0.0514488,-10.6942,0.045846
294147655163453,756.993,194.994,450,-8.73971,0.0427991,-3.43552,0.049421,-10.944,0.057807
294162313164352,756.993,194.994,150,-8.77557,0.0350127,-3.57282,0.0473526,-10.8102,0.0463328
294177573163946,756.993,200,450,-8.50877,0.049481,-3.34573,0.061308,-11.0905,0.0588074
294192231162529,756.993,200,150,-8.65011,0.0476819,-3.54065,0.0580517,-11.1764,0.044829
294207491163346,756.993,204.996,450,-8.26672,0.0453515,-3.30803,0.0530326,-11.1328,0.051406
294222149161353,756.993,204.996,150,-8.39216,0.0529612,-3.44237,0.0618804,-11.4304,0.0520942
294237407163203,756.993,209.993,450,-8.17381,0.0340497,-3.40819,0.0412299,-11.0324,0.0492156
294252065161714,756.993,209.993,150,-8.19793,0.0329153,-3.30924,0.0511288,-11.3654,0.0439026
294267325161536,756.993,214.999,450,-8.21677,0.0335648,-3.40936,0.0465883,-10.8883,0.0450904
294281983163935,756.993,214.999,150,-8.08938,0.0407894,-3.3912,0.0563338,-11.2288,0.0521595
294297243164021,756.993,219.995,450,-8.2527,0.0356139,-3.49822,0.0509178,-10.9698,0.043377
294311901161488,756.993,219.995,150,-8.02972,0.0366512,-3.38441,0.0508271,-11.1147,0.046787
294327161163301,756.993,224.992,450,-8.20088,0.0386462,-3.39926,0.0596737,-11.0424,0.0490191
294341819163864,756.993,224.992,150,-8.03797,0.0431884,-3.38452,0.0494689,-11.1694,0.0421691
294357077164191,756.993,229.998,450,-8.15167,0.0360109,-3.42137,0.0520166,-11.1817,0.0433307
