Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
1197522490012340,30,0,150,2562.94,0.925561,2497.75,0.647649
1197528916027357,30,72,150,2576.37,8.52044,2494.31,1.75595
1197535342012794,30,144,150,2577.97,18.363,2481.02,7.64324
1197541768046818,30,216,150,2565.59,2.36075,2476.78,1.27652
1197548194014375,30,288,150,2556.51,2.53283,2486.11,1.9968
1197554620044500,30,360,150,2564.27,6.72693,2497.45,1.5895
1197580298014082,71.9927,0,150,2558.62,4.70192,2498.27,1.30791
1197586724045863,71.9927,72,150,2572.54,7.08796,2495.62,1.82177
1197593150014008,71.9927,144,150,2574.18,15.5557,2482.75,7.63268
1197599576038900,71.9927,216,150,2562.42,2.74644,2478.18,1.14289
1197606002013381,71.9927,288,150,2553.49,1.26556,2487.81,1.0052
1197612428046722,71.9927,360,150,2560.77,4.85884,2498.55,1.46131
1197638104037216,113.995,0,150,2557.09,3.66424,2498.13,1.1565
1197644530013076,113.995,72,150,2570.08,5.646,2495.26,2.11581
1197650956036361,113.995,144,150,2571.72,9.98496,2482.65,7.49525
1197657382013266,113.995,216,150,2560.25,2.72242,2477.83,0.924173
1197663808036862,113.995,288,150,2551.05,1.09757,2487.13,0.873519
1197670234012051,113.995,360,150,2558.24,3.22168,2498.14,1.29993
1197695910013069,155.996,0,150,2558.25,2.2308,2501.4,1.40892
1197702336030354,155.996,72,150,2570.98,7.59734,2498.8,1.95859
1197708766012044,155.996,144,150,2572.47,5.67553,2485.95,8.29911
1197715192029029,155.996,216,150,2561.71,1.80572,2481.57,1.14728
1197721618011237,155.996,288,150,2552.98,0.841309,2490.96,0.728245
1197728044032206,155.996,360,150,2559.48,1.93533,2501.57,1.09947
1197753720048620,197.998,0,150,2566.09,1.31609,2505.04,1.50387
1197760146012565,197.998,72,150,2578.37,1.96993,2502.54,1.24587
1197766572046433,197.998,144,150,2579.66,2.58717,2489.85,8.05465
1197772998013270,197.998,216,150,2569.31,2.03494,2485.37,1.37075
1197779424030675,197.998,288,150,2560.85,0.773633,2494.82,2.10642
1197785850014191,197.998,360,150,2567.03,2.22609,2505.12,0.998651
1197811526011381,240,0,150,2572.02,1.67563,2504.04,1.26745
1197817952038770,240,72,150,2583.47,3.64057,2501.21,1.40354
1197824378011259,240,144,150,2584.56,6.26736,2488.43,7.43424
1197830804052339,240,216,150,2574.93,10.5349,2484.01,3.7594
1197837230011760,240,288,150,2566.17,1.2862,2493.52,5.56998
1197843656032081,240,360,150,2572.41,7.0904,2504.2,2.29266
1197869332029295,281.993,0,150,2563.35,2.34918,2505.31,1.24492
1197875758011599,281.993,72,150,2574.46,7.10828,2502.81,1.10659
1197882184029988,281.993,144,150,2575.69,10.1254,2491.46,4.86195
1197888610011117,281.993,216,150,2565.89,2.18374,2485.78,0.959449
1197895036038913,281.993,288,150,2557.65,1.10835,2494.98,0.765544
1197901462012686,281.993,360,150,2563.01,3.13076,2505.19,0.732155
1197927138013728,323.995,0,150,2556.78,2.72732,2505.49,1.2392
1197933564027281,323.995,72,150,2567.78,4.85947,2502.99,1.21297
1197939990014205,323.995,144,150,2568.59,12.1128,2491.24,4.16316
1197946416037862,323.995,216,150,2559.65,1.58565,2485.95,0.935769
1197952842013603,323.995,288,150,2551.16,1.21384,2495.16,0.926435
1197959268031259,323.995,360,150,2556.45,3.71332,2505.36,0.674509
1197984944031053,365.996,0,150,2557.27,2.97624,2506.24,1.09599
1197991370012422,365.996,72,150,2568.3,5.45592,2503.94,1.49586
1197997796038455,365.996,144,150,2569.75,8.10818,2492.19,2.00696
1198004222012563,365.996,216,150,2560.31,1.6601,2486.72,0.99917
1198010648046828,365.996,288,150,2552.01,2.03464,2495.95,1.09664
1198017074011936,365.996,360,150,2556.83,5.0212,2506.18,1.07706
1198042750013663,407.998,0,150,2562.66,4.22349,2509.55,2.01171
1198049176028895,407.998,72,150,2573.69,4.62327,2506.83,1.71552
1198055602013720,407.998,144,150,2574.68,9.30349,2495.23,1.91039
1198062028058401,407.998,216,150,2566.52,1.8655,2490.1,0.90984
1198068454014269,407.998,288,150,2557.6,3.22261,2498.33,1.40855
1198074880054762,407.998,360,150,2562.44,4.1135,2509.09,2.35331
1198100558013197,450,0,150,2561.41,4.69743,2508.65,1.91823
1198106984028909,450,72,150,2573.36,2.32498,2506.43,1.52135
1198113410013194,450,144,150,2574.45,4.51857,2494.51,1.61187
1198119836031235,450,216,150,2565.96,4.22041,2489.27,1.42348
1198126262012747,450,288,150,2557.22,6.94868,2497.61,1.95009
1198132688029672,450,360,150,2561.1,5.94857,2508.49,2.64409
1198158364039258,491.993,0,150,2555.71,3.25466,2508.49,1.55588
1198164790011531,491.993,72,150,2567.54,3.53443,2506.37,2.3003
1198171216037659,491.993,144,150,2569.76,4.04684,2494.53,1.73301
1198177642011624,491.993,216,150,2560.55,8.71872,2489.04,1.88344
1198184068029833,491.993,288,150,2552.49,13.1501,2497.41,1.97841
1198190494013325,491.993,360,150,2555.31,4.65975,2508.29,1.9526
