Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
597445684065405,0,0,575,-8.52897,0.0361214,-3.22563,0.0415469,-10.5039,0.0541653
597450104064186,0,9.99298,575,-8.69603,0.0393969,-3.25351,0.0452468,-10.3897,0.0568649
597454524065631,0,19.9953,575,-8.79572,0.038612,-3.28044,0.0643155,-10.4426,0.0560299
597458944064928,0,29.9977,575,-8.93233,0.0371864,-3.25514,0.0470276,-10.38,0.0567816
597463364065101,0,40,575,-9.09127,0.0427574,-3.24539,0.0456857,-10.4019,0.0556363
597467784063726,0,49.993,575,-9.19649,0.0470734,-3.15594,0.0435455,-10.5062,0.0525017
597472204064667,0,59.9953,575,-9.2622,0.0443138,-3.19001,0.0492287,-10.6514,0.0526186
597476624064444,0,69.9977,575,-9.40122,0.0406875,-3.20221,0.0454787,-10.7213,0.0400313
597481044064737,0,80,575,-9.4489,0.0422832,-3.19774,0.0507534,-10.8923,0.0465443
597485464063494,0,89.993,575,-9.54186,0.038453,-3.28072,0.0543457,-10.9587,0.046721
597489884063523,0,99.9953,575,-9.54033,0.0441553,-3.19876,0.0590815,-11.1247,0.0539363
597494304063780,0,109.998,575,-9.52272,0.0435172,-3.2122,0.0618193,-11.2506,0.0505644
597498724062706,0,120,575,-9.4911,0.041025,-3.24918,0.0474976,-11.3687,0.0532662
597503144065051,0,129.993,575,-9.43656,0.0365928,-3.20578,0.048176,-11.5231,0.0580545
597507564062980,0,139.995,575,-9.35148,0.0405977,-3.2876,0.054271,-11.5434,0.0520616
597511984063045,0,149.998,575,-9.27951,0.0408473,-3.24999,0.0531097,-11.6105,0.0471361
597516404064082,0,160,575,-9.18612,0.0371308,-3.26391,0.0418647,-11.7514,0.05619
597520824065911,0,169.993,575,-9.06657,0.0412378,-3.22887,0.0444292,-11.7997,0.0489171
597525244065340,0,179.995,575,-8.96056,0.0325045,-3.23967,0.0458901,-11.8408,0.0633673
597529664064577,0,189.998,575,-8.87292,0.0351231,-3.25123,0.0425756,-11.8578,0.0483993
597534084065566,0,200,575,-8.75849,0.038122,-3.28153,0.0483033,-11.8797,0.0495924
597538504064839,0,209.993,575,-8.62087,0.0405585,-3.22762,0.050765,-11.842,0.0615815
597542924065084,0,219.995,575,-8.51024,0.0388895,-3.18003,0.0535346,-11.7937,0.0466853
597547344065269,0,229.998,575,-8.43781,0.0385207,-3.2227,0.0520067,-11.7348,0.0526471
597551764065634,0,240,575,-8.31681,0.0414153,-3.19262,0.0477726,-11.641,0.0483272
597556184063155,0,249.993,575,-8.27891,0.0400632,-3.16231,0.0537961,-11.5449,0.0647272
597560604066232,0,259.995,575,-8.15045,0.0340369,-3.13204,0.0551155,-11.4956,0.0413016
597565024066057,0,269.998,575,-8.09685,0.0450311,-3.13176,0.0490399,-11.3993,0.0566848
597569444065774,0,280,575,-8.05733,0.0370386,-3.08908,0.0550126,-11.271,0.0589026
597573864065899,0,289.993,575,-8.06922,0.0423967,-3.14123,0.0504978,-11.1689,0.0518217
597578284065820,0,299.995,575,-8.09695,0.0327415,-3.20699,0.0561033,-11.0139,0.0434967
597582704066150,0,309.998,575,-8.11866,0.0359403,-3.17583,0.0485356,-10.949,0.0628459
597587124065171,0,320,575,-8.19366,0.0362703,-3.21048,0.0424088,-10.8108,0.0432534
597591544063700,0,329.993,575,-8.25278,0.0398245,-3.22481,0.0545928,-10.6949,0.061954
597595964065661,0,339.995,575,-8.2986,0.039864,-3.19,0.0508933,-10.6467,0.0444601
597600384064838,0,349.998,575,-8.40944,0.0324843,-3.20587,0.0454856,-10.5564,0.0700416
597604804065059,0,360,575,-8.55479,0.0347546,-3.18456,0.0519745,-10.4589,0.0533126
597632486063499,0,0,575,-8.53161,0.0350418,-3.12238,0.0476043,-10.4645,0.0598227
597688028063506,756.993,0,575,-9.24408,0.0366966,-3.305,0.0516511,-10.4763,0.0564056
597692448065299,756.993,9.99298,575,-9.43534,0.0436487,-3.36747,0.0437791,-10.6248,0.0488342
597696868065664,756.993,19.9953,575,-9.43852,0.0318429,-3.31421,0.052149,-11.0575,0.049805
597701288063749,756.993,29.9977,575,-9.16507,0.0358469,-3.24858,0.0438007,-11.245,0.0434287
597705708063310,756.993,40,575,-8.99893,0.0343956,-3.21453,0.0500652,-11.2216,0.0511683
597710128065643,756.993,49.993,575,-8.78047,0.0357601,-3.14591,0.0593858,-11.2797,0.0415208
597714548064784,756.993,59.9953,575,-8.58833,0.0374584,-3.19989,0.0483665,-11.2121,0.052876
597718968062881,756.993,69.9977,575,-8.46547,0.0373096,-3.19478,0.0532696,-11.0193,0.0491825
597723388065442,756.993,80,575,-8.42463,0.0404803,-3.19821,0.0435622,-10.7256,0.0444796
597727808065159,756.993,89.993,575,-8.51193,0.0397431,-3.25013,0.0500418,-10.4538,0.0460429
597732228065896,756.993,99.9953,575,-8.78882,0.0387126,-3.19941,0.0516348,-10.2439,0.0528571
597736648065445,756.993,109.998,575,-9.15228,0.0431716,-3.23674,0.0509212,-10.1764,0.0484875
597741068066242,756.993,120,575,-9.45564,0.0356203,-3.1662,0.053171,-10.2636,0.0514361
597745488062923,756.993,129.993,575,-9.71955,0.0371563,-3.13195,0.0482353,-10.5207,0.05053
597749908065856,756.993,139.995,575,-9.89402,0.0487812,-3.0974,0.0426738,-10.8441,0.0529623
597754328065502,756.993,149.998,575,-9.94484,0.0542247,-3.02863,0.0444686,-11.0586,0.0515255
597758748064859,756.993,160,575,-10.0448,0.0367815,-2.94175,0.0460309,-11.4102,0.0493811
597763168066112,756.993,169.993,575,-9.80998,0.0452064,-2.8703,0.0471179,-11.9448,0.0539847
597767588066225,756.993,179.995,575,-9.53065,0.036539,-2.9083,0.0404864,-12.0365,0.0460855
597772008065030,756.993,189.998,575,-9.42615,0.0428695,-2.87912,0.0444074,-12.1488,0.0490916
597776428065803,756.993,200,575,-8.9978,0.0442448,-2.88616,0.0484046,-12.6563,0.0457081
597780848065340,756.993,209.993,575,-8.50652,0.0386897,-2.91073,0.0514604,-12.3068,0.0586993
597785268066041,756.993,219.995,575,-8.38267,0.0384702,-2.93037,0.0436671,-12.1805,0.0543052
597789688064006,756.993,229.998,575,-8.15839,0.0401021,-2.97493,0.0451639,-12.2787,0.0441629
597794108066291,756.993,240,575,-7.63217,0.0364109,-3.00614,0.0386783,-12.2519,0.04289
597798528066560,756.993,249.993,575,-7.34667,0.0481512,-3.02695,0.047832,-11.4618,0.0578569
597802948064225,756.993,259.995,575,-7.75598,0.0342194,-3.03517,0.0459971,-10.9425,0.0549943
597807368065250,756.993,269.998,575,-7.96237,0.0353074,-3.09468,0.0531106,-11.0806,0.0486855
597811788062627,756.993,280,575,-7.79688,0.0370961,-3.12536,0.0512949,-11.2146,0.0761857
597816208065332,756.993,289.993,575,-7.46777,0.0395761,-3.14224,0.05244,-10.7682,0.0586806
597820628065445,756.993,299.995,575,-7.78878,0.0405977,-3.20094,0.0541092,-10.1471,0.0502396
597825048063170,756.993,309.998,575,-8.1712,0.0401048,-3.22315,0.0474827,-10.1538,0.0594224
597829468065191,756.993,320,575,-8.31783,0.0333379,-3.33982,0.0491396,-10.2353,0.0496151
