Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1744466365707845,756.993,-34.0647,150,266.494,0.0378646,96.3923,0.0542748,-205.249,0.0427604
1744470791706232,756.993,-24.1279,150,360.245,0.0441425,123.532,0.0581386,-186.246,0.0484577
1744475217706863,756.993,-14.1621,150,474.49,0.039302,161.803,0.0401722,-131.716,0.0603219
1744479643709186,756.993,-4.22532,150,597.1,0.0355617,212.987,0.0520511,-23.4154,0.049734
1744484069706289,756.993,5.74056,150,704.435,0.0401156,277.975,0.0547743,156.124,0.0519716
1744488495706656,756.993,15.7064,150,757.089,0.0467998,353.744,0.0460326,410.326,0.0421042
1744492921707155,756.993,25.614,150,711.826,0.0371628,431.412,0.0381119,708.323,0.0422841
1744497347706094,756.993,35.6382,150,545.224,0.0344222,498.632,0.0472578,990.553,0.046943
1744501773706941,756.993,45.6041,150,279.572,0.0405683,540.051,0.0503564,1181.72,0.0428481
1744506199708460,756.993,55.5117,150,-32.5988,0.0426612,547.509,0.0473207,1241.61,0.0496023
1744510625707651,756.993,65.4776,150,-340.454,0.0372751,519.694,0.0550445,1164.55,0.0494595
1744515051707178,756.993,75.4434,150,-589.283,0.0418304,462.547,0.0512048,968.62,0.053081
1744519477706321,756.993,85.3802,150,-740.729,0.0385062,387.413,0.0625234,693.951,0.0438581
1744523903705980,756.993,95.3752,150,-779.442,0.0481188,308.579,0.048014,402.9,0.0414801
1744528329706443,756.993,105.341,150,-724.902,0.037831,237.565,0.0493389,155.566,0.0427903
1744532755706534,756.993,115.278,150,-617.083,0.0374471,179.565,0.0552242,-21.5186,0.0477648
1744537181706253,756.993,125.302,150,-494.405,0.0441859,135.491,0.0457608,-128.725,0.045087
1744541607709212,756.993,135.21,150,-381.461,0.0401007,104.012,0.0450546,-182.363,0.0440373
1744546033707959,756.993,145.175,150,-286.797,0.0342193,81.6426,0.0459036,-201.668,0.0487932
1744550459706643,756.993,155.229,150,-212.973,0.0365041,65.9622,0.0450103,-200.968,0.0518047
1744554885709166,756.993,165.078,150,-159.647,0.0355015,55.3433,0.0530771,-191.265,0.0506563
1744559311706914,756.993,175.073,150,-120.78,0.0385649,47.7198,0.0519379,-179.123,0.0487986
1744563737708429,756.993,185.097,150,-92.5493,0.0387384,42.2226,0.0547602,-168.122,0.04703
1744563737708429,756.993,195.005,150,-92.5493,0.0387384,42.2226,0.0547602,-168.122,0.04703
