Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1893601555187128,756.993,0,980,-10.2271,0.0313063,-2.13771,0.0364946,-11.9558,0.0500339
1893605981184168,756.993,9.99298,980,-10.143,0.0353304,-2.18377,0.0496633,-11.8739,0.0565108
1893610407185840,756.993,19.9953,980,-10.0751,0.0339289,-2.27124,0.052314,-11.7139,0.0664834
1893614833183864,756.993,29.9977,980,-10.0239,0.0401556,-2.25907,0.0483766,-11.6634,0.0557516
1893619259185104,756.993,40,980,-10.0851,0.0379841,-2.28315,0.040813,-11.4826,0.0493233
1893623685184856,756.993,49.993,980,-10.1538,0.0339403,-2.33523,0.0555051,-11.3709,0.0531457
1893628111184187,756.993,59.9953,980,-10.3501,0.0395053,-2.31211,0.0452293,-11.377,0.0544129
1893632537184972,756.993,69.9977,980,-10.5496,0.0342902,-2.27524,0.0464066,-11.4906,0.0495769
1893636963184400,756.993,69.9943,980,-10.5613,0.0414586,-2.28594,0.0564244,-11.4394,0.0665324
1893666329186172,756.993,89.993,980,-10.7181,0.0339027,-2.07824,0.042732,-12.0751,0.0712882
1893670755186799,756.993,89.9552,980,-10.728,0.0400966,-2.07435,0.0462819,-12.1034,0.0527572
1893704327184423,756.993,109.998,980,-10.1462,0.0394638,-2.01358,0.0531918,-12.6286,0.0516293
1893708753184364,756.993,109.858,980,-10.1219,0.0391632,-2.05066,0.0464517,-12.5704,0.0558321
1893746331186496,756.993,129.993,980,-9.45735,0.0463628,-2.22544,0.0497404,-12.219,0.049814
1893750757185888,756.993,129.79,980,-9.44809,0.037662,-2.26515,0.0650304,-12.1891,0.0559034
1893792341183904,756.993,149.998,980,-9.51063,0.0327233,-2.41147,0.0448475,-11.5353,0.065677
1893796767184317,756.993,160,980,-9.71551,0.0364215,-2.59467,0.0475085,-11.2964,0.0461935
1893801193186552,756.993,169.993,980,-9.95616,0.0471953,-2.68483,0.038396,-11.2536,0.0537026
1893805619184816,756.993,179.995,980,-10.0715,0.036826,-2.69148,0.0509119,-11.2912,0.0624841
1893810045186489,756.993,189.998,980,-10.1805,0.0328121,-2.81595,0.0533599,-11.4105,0.0522283
1893814471187104,756.993,200,980,-10.2072,0.0370982,-2.78188,0.0467092,-11.418,0.0538624
1893818897186640,756.993,209.993,980,-10.2193,0.0386811,-2.7927,0.047608,-11.4685,0.0551547
1893823323183908,756.993,219.995,980,-10.2677,0.0445181,-2.66657,0.0474758,-11.4472,0.0545741
1893827749186048,756.993,229.998,980,-10.266,0.0401227,-2.58745,0.044569,-11.4973,0.0493936
1893832175186556,756.993,240,980,-10.3098,0.0382726,-2.47589,0.0447206,-11.4479,0.0544852
1893836601184784,756.993,249.993,980,-10.3277,0.0401316,-2.36194,0.0428727,-11.5554,0.0523613
1893841027186504,756.993,259.995,980,-10.3886,0.0334353,-2.28768,0.0533706,-11.6089,0.0605697
1893845453186604,756.993,269.998,980,-10.3707,0.0344432,-2.2407,0.0634093,-11.6658,0.0645145
1893849879184088,756.993,280,980,-10.3547,0.0430853,-2.24222,0.049348,-11.6857,0.054583
1893854305186650,756.993,289.993,980,-10.353,0.0349786,-2.26648,0.0555971,-11.6367,0.0467452
1893858731186721,756.993,299.995,980,-10.3351,0.0412427,-2.25996,0.0539439,-11.6696,0.0490606
1893863157186767,756.993,309.998,980,-10.4156,0.0391796,-2.29268,0.0426863,-11.6877,0.0445466
1893867583184269,756.993,320,980,-10.4332,0.0392121,-2.20336,0.0450223,-11.7585,0.0457937
1893872009187207,756.993,329.993,980,-10.4794,0.0390651,-2.07931,0.05761,-11.8526,0.0604995
1893876435183869,756.993,339.995,980,-10.4467,0.0375287,-2.03161,0.0516691,-11.8794,0.0547217
1893880861184346,756.993,349.998,980,-10.3173,0.0380509,-2.1203,0.050688,-11.9248,0.0464527
1893885287185485,756.993,360,980,-10.2366,0.0395016,-2.17864,0.0426262,-11.8693,0.0474001
