Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
958537785394345,756.993,314.994,530,-13.1623,0.0347268,-1.2675,0.046112,-12.6884,0.0958472
958541203396868,756.993,314.994,530,-13.0691,0.0445062,-1.28412,0.0724075,-12.7049,0.101017
958545833395659,756.993,314.994,520,-13.1424,0.0316138,-1.21069,0.0583539,-12.8072,0.0908949
958549251395733,756.993,314.994,520,-13.1307,0.0423617,-1.23238,0.0486487,-12.7888,0.108659
958553881396240,756.993,314.994,510,-13.1237,0.0413001,-1.29102,0.047269,-12.8108,0.118884
958557299395786,756.993,314.994,510,-13.144,0.0368926,-1.29466,0.0530706,-12.7748,0.111455
958561929396881,756.993,314.994,500,-13.18,0.0393545,-1.29153,0.0601281,-12.8557,0.104432
958565347396344,756.993,314.994,500,-13.1485,0.0371372,-1.30124,0.0397773,-12.8818,0.0835891
958569977394401,756.993,314.994,490,-13.205,0.0389364,-1.27842,0.0539302,-12.8674,0.0983733
958573395395327,756.993,314.994,490,-13.1514,0.041618,-1.28081,0.0407202,-12.8409,0.102212
958578025396086,756.993,314.994,480,-13.1575,0.0456921,-1.33789,0.0430613,-12.8552,0.103195
958581443396677,756.993,314.994,480,-13.1614,0.0349066,-1.29628,0.0477745,-12.8991,0.0951257
958586073395887,756.993,314.994,470,-13.1453,0.0373995,-1.39106,0.0472955,-12.9266,0.105703
958589491395327,756.993,314.994,470,-13.1591,0.0433579,-1.32744,0.043532,-12.9297,0.105969
958594121395966,756.993,314.994,460,-13.166,0.0372169,-1.36759,0.0504108,-12.9873,0.102635
958597539395825,756.993,314.994,460,-13.1387,0.0372855,-1.39825,0.0421836,-12.9624,0.10909
958602169395889,756.993,314.994,450,-13.1777,0.0380098,-1.45493,0.042983,-13.07,0.0996511
958605587397408,756.993,314.994,450,-13.153,0.0344863,-1.42556,0.0443305,-13.0898,0.0930623
958610217397202,756.993,314.994,440,-13.1115,0.0370449,-1.4634,0.0464653,-13.0253,0.0926815
958613635397197,756.993,314.994,440,-13.0813,0.0411691,-1.45527,0.0495388,-13.0288,0.103182
958618265394615,756.993,314.994,430,-13.1123,0.0393537,-1.52314,0.0453953,-13.1162,0.108931
958621683395905,756.993,314.994,430,-13.141,0.0391009,-1.47953,0.0486784,-13.0808,0.105592
958626313396588,756.993,314.994,420,-13.1195,0.040989,-1.51689,0.055006,-13.1893,0.104871
958629731395263,756.993,314.994,420,-13.111,0.0349305,-1.56783,0.0509809,-13.1983,0.0900908
958634361394409,756.993,314.994,410,-13.0541,0.0372091,-1.65704,0.053942,-13.1424,0.104876
958637779394330,756.993,314.994,410,-13.1206,0.0382785,-1.64995,0.0495004,-13.1609,0.0943251
958642409395915,756.993,314.994,400,-13.0693,0.0427768,-1.67662,0.0436555,-13.1477,0.110989
958645827395658,756.993,314.994,400,-13.0371,0.0453669,-1.69686,0.0522924,-13.1459,0.102345
958650457395527,756.993,314.994,390,-13.0159,0.037156,-1.77732,0.0537666,-13.1839,0.0914658
958653875396481,756.993,314.994,390,-13.0454,0.0400419,-1.76097,0.0487793,-13.1645,0.106006
958658505395312,756.993,314.994,380,-13.0175,0.048815,-1.79738,0.0641825,-13.1121,0.0918398
958661923395594,756.993,314.994,380,-13.0349,0.0387795,-1.81908,0.0475517,-13.1088,0.116831
958666553396216,756.993,314.994,370,-13.0288,0.034509,-1.86468,0.0465875,-13.1802,0.0909612
958669971396979,756.993,314.994,370,-13.0174,0.0373608,-1.82121,0.0548867,-13.1288,0.105128
958674601394937,756.993,314.994,360,-12.9991,0.0390988,-1.84468,0.0385613,-13.1235,0.0975866
958678019394308,756.993,314.994,360,-13.0055,0.0395974,-1.81488,0.0496234,-13.1333,0.101095
958682649396885,756.993,314.994,350,-12.9526,0.0386117,-1.85095,0.0433218,-13.1674,0.0945102
958686067395092,756.993,314.994,350,-12.94,0.0353685,-1.89751,0.0593436,-13.092,0.103636
958690697396530,756.993,314.994,340,-12.96,0.0412307,-1.92491,0.0362705,-12.99,0.100887
958694115395745,756.993,314.994,340,-12.96,0.0346577,-1.93107,0.0459239,-13.1221,0.10162
