Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
1198272886011841,30,0,150,2561.61,1.19414,2497.08,0.8187
1198280312029557,30,72,150,2574.09,2.11951,2493.97,1.19444
1198287738011141,30,144,150,2574.78,4.68196,2480.79,2.02569
1198295164027236,30,216,150,2564.63,1.19791,2476.41,0.764335
1198302590012588,30,288,150,2555.94,1.38173,2485.81,0.803323
1198310016035500,30,360,150,2562.3,1.25559,2496.96,0.813155
1198336694013926,71.9927,0,150,2559.07,1.35054,2497.82,0.870038
1198344120028773,71.9927,72,150,2571.07,1.89727,2495.51,1.30318
1198351546011689,71.9927,144,150,2572.11,5.05791,2482.8,3.00585
1198358972027317,71.9927,216,150,2561.84,1.19205,2478.03,0.819821
1198366398012980,71.9927,288,150,2553.14,1.33085,2487.41,0.807859
1198373826013817,71.9927,360,150,2559.55,1.15265,2498.1,0.742936
1198400502013682,113.995,0,150,2557.35,1.40013,2497.84,0.738588
1198407928043758,113.995,72,150,2569.28,2.61653,2494.84,1.04854
1198415354012393,113.995,144,150,2570.05,4.27569,2482.26,3.90995
1198422780028945,113.995,216,150,2559.81,0.771746,2477.75,0.662285
1198430206013157,113.995,288,150,2551.09,0.779098,2486.96,0.505309
1198437632027884,113.995,360,150,2557.38,1.01384,2497.85,0.755216
1198464308035610,155.996,0,150,2558.06,0.492413,2501.03,0.551105
1198471734012777,155.996,72,150,2570.39,1.26851,2498.77,0.505667
1198479160027133,155.996,144,150,2571.63,2.00311,2486.19,3.99313
1198486586011921,155.996,216,150,2561.28,0.600566,2481.53,0.317475
1198494012031292,155.996,288,150,2552.73,0.420141,2490.71,0.314324
1198501438011652,155.996,360,150,2558.79,0.480209,2501.31,0.38544
1198528116037118,197.998,0,150,2565.94,0.490184,2504.75,0.402808
1198535542013626,197.998,72,150,2577.93,0.51826,2502.38,0.549744
1198542968044709,197.998,144,150,2579.4,1.05835,2489.93,3.67582
1198550394011593,197.998,216,150,2569,0.604624,2485.24,0.516591
1198557820039065,197.998,288,150,2560.54,0.458694,2494.45,0.422902
1198565246011876,197.998,360,150,2566.7,0.408186,2505.08,0.356465
1198591922012161,240,0,150,2571.46,0.800393,2503.81,0.601317
1198599348028977,240,72,150,2583.39,0.785277,2501.18,0.685119
1198606774014401,240,144,150,2584.61,2.3626,2488.66,3.07291
1198614200034996,240,216,150,2574.3,0.735628,2484.1,0.504036
1198621626012056,240,288,150,2565.91,0.672078,2493.29,0.436399
1198629052037680,240,360,150,2571.96,0.507659,2504.04,0.372616
1198655728028113,281.993,0,150,2562.34,0.792013,2505.03,0.448612
1198663154014269,281.993,72,150,2574.48,0.747684,2502.9,0.56509
1198670580034000,281.993,144,150,2576.01,1.1651,2491.17,0.964432
1198678006013304,281.993,216,150,2565.57,1.09657,2485.69,0.676123
1198685432038244,281.993,288,150,2557.18,0.93044,2494.74,0.573128
1198692858012147,281.993,360,150,2563.12,0.971442,2505.32,0.62495
1198719534013500,323.995,0,150,2556.15,1.13481,2505.23,0.577311
1198726962011745,323.995,72,150,2568.51,1.05981,2503.09,0.816054
1198734388028381,323.995,144,150,2569.97,1.16258,2491.39,1.36167
1198741814014524,323.995,216,150,2559.35,0.966931,2485.84,0.608627
1198749240029444,323.995,288,150,2551.19,1.17202,2495.03,0.598837
1198756666011688,323.995,360,150,2556.96,1.25028,2505.32,0.723245
1198783342011913,365.996,0,150,2557.14,1.49974,2506.52,0.623364
1198790768029749,365.996,72,150,2568.99,1.26914,2503.78,1.02136
1198798194013168,365.996,144,150,2570.49,1.69173,2492.1,1.26538
1198805620030596,365.996,216,150,2559.86,1.17104,2486.65,0.826773
1198813046014196,365.996,288,150,2551.82,1.35738,2495.85,0.662831
1198820472035343,365.996,360,150,2557.47,1.29819,2506.31,0.812152
1198847148051036,407.998,0,150,2561.9,1.47056,2509.16,0.656073
1198854574014176,407.998,72,150,2574.36,1.16054,2506.79,1.07338
1198862000032696,407.998,144,150,2575.9,1.40929,2495.39,1.26006
1198869426012095,407.998,216,150,2566.13,1.19155,2489.94,0.805516
1198876852037551,407.998,288,150,2556.79,1.87654,2497.73,0.662667
1198884278013531,407.998,360,150,2562.37,1.47082,2509.05,1.00037
1198910954011716,450,0,150,2561.06,1.59644,2508.48,0.851591
1198918380037543,450,72,150,2573.4,1.2257,2506.22,0.893596
1198925806011399,450,144,150,2575.08,1.54993,2494.44,1.15533
1198933232029067,450,216,150,2565.28,1.09766,2489.17,0.812441
1198940658012199,450,288,150,2556.38,1.65618,2497.4,0.54559
1198948084029986,450,360,150,2561.38,1.32776,2508.18,1.13917
1198974760029659,491.993,0,150,2554.97,0.993226,2508.26,0.799817
1198982186012215,491.993,72,150,2567.53,1.90732,2506.14,1.32372
1198989612027927,491.993,144,150,2569.17,1.13835,2494.46,1.10729
1198997038013530,491.993,216,150,2559.42,1.02004,2489.08,0.76194
1199004464035398,491.993,288,150,2550.55,2.35967,2497.43,0.41131
1199011890012110,491.993,360,150,2555.79,1.04808,2508.4,0.767454
