Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
4124997595730860,467.998,0,150,0.0165777,0.000221254,0.00132743,0.000234573
4125006725732706,467.998,89.993,150,0.0211973,0.000298393,0.0010367,0.000250027
4125015855733159,467.998,179.995,150,0.021242,0.000646014,-0.00321594,0.000265591
4125024985732557,467.998,269.998,150,0.0163318,0.00035832,-0.00350287,0.000310466
4125034115730778,467.998,360,150,0.016149,0.000407989,0.00109612,0.000387229
4125061293731296,467.998,0,179,0.0166005,0.000355059,0.00129699,0.00033779
4125070423731197,467.998,89.993,179,0.0211135,0.00035579,0.00114119,0.000283447
4125079553731627,467.998,179.995,179,0.0212445,0.000666411,-0.00317853,0.000539434
4125088683731120,467.998,269.998,179,0.0163328,0.00034254,-0.0034955,0.000285165
4125097813730865,467.998,360,179,0.0161898,0.000330008,0.00117036,0.000263092
4125124993731388,467.998,0,208,0.0164945,0.000336177,0.00137812,0.00023774
4125134123731481,467.998,89.993,208,0.0210882,0.000228482,0.00118708,0.000138224
4125143253732703,467.998,179.995,208,0.0212746,0.000615394,-0.00317145,0.000270834
4125152383733564,467.998,269.998,208,0.01634,0.000453528,-0.00344696,0.000448892
4125161513732769,467.998,360,208,0.0160638,0.00042517,0.00120646,0.000393142
4125188693732272,467.998,0,237,0.0162342,0.000315259,0.00149971,0.000294274
4125197823732809,467.998,89.993,237,0.0209871,0.000295724,0.00119041,0.000236161
4125206953733299,467.998,179.995,237,0.0212251,0.000652075,-0.00323012,0.000262512
4125216083732012,467.998,269.998,237,0.0162901,0.000370874,-0.0034866,0.000267045
4125225213731446,467.998,360,237,0.016129,0.000449075,0.00121896,0.000391589
4125252391732539,467.998,0,266,0.0160991,0.000345219,0.00156688,0.000338669
4125261521732993,467.998,89.993,266,0.0210102,0.000402461,0.00115748,0.000301068
4125270651732054,467.998,179.995,266,0.0212823,0.000817327,-0.00321765,0.000371872
4125279781733143,467.998,269.998,266,0.0162447,0.000461296,-0.00351625,0.000283001
4125288911732253,467.998,360,266,0.0161252,0.000478192,0.00123078,0.000399435
4125316093731472,467.998,0,295,0.0160634,0.000394947,0.0015827,0.000343873
4125325227731767,467.998,89.993,295,0.0210569,0.000284895,0.00115924,0.000158917
4125334357733565,467.998,179.995,295,0.021257,0.000762067,-0.00319864,0.000384872
4125343487731414,467.998,269.998,295,0.0162725,0.00039275,-0.00347945,0.000245323
4125352617732948,467.998,360,295,0.0162391,0.00049567,0.00124102,0.000408095
4125379797732930,467.998,0,324,0.0160334,0.000382473,0.00166503,0.000299105
4125388927733203,467.998,89.993,324,0.0211036,0.000301201,0.00114442,0.000192482
4125398057730285,467.998,179.995,324,0.0212668,0.000607324,-0.00327525,0.000465853
4125407187732502,467.998,269.998,324,0.016178,0.000463347,-0.00356838,0.000302017
4125416319730645,467.998,360,324,0.0161698,0.000444949,0.00123422,0.000393076
4125443501748476,467.998,0,353,0.0159353,0.000439174,0.00168261,0.000393879
4125452631730581,467.998,89.993,353,0.021099,0.0006983,0.00119863,0.000203969
4125461761731863,467.998,179.995,353,0.0211196,0.00076487,-0.00320155,0.000453798
4125470891731212,467.998,269.998,353,0.0161753,0.000504185,-0.00362453,0.000220349
4125480021732122,467.998,360,353,0.0161287,0.000566242,0.00121954,0.000459637
4125507201733508,467.998,0,382,0.0158359,0.000471198,0.00163787,0.000467064
4125516331731777,467.998,89.993,382,0.021128,0.000787795,0.00123041,0.000209954
4125525461731859,467.998,179.995,382,0.0210685,0.000797339,-0.00326785,0.000520949
4125534591730620,467.998,269.998,382,0.0161375,0.000586563,-0.00364842,0.000167139
4125543721733234,467.998,360,382,0.0161058,0.000486483,0.00125152,0.000410254
4125570899733331,467.998,0,411,0.0159147,0.000492383,0.00159156,0.00046017
4125580029733257,467.998,89.993,411,0.0211557,0.000881247,0.00129514,0.000196788
4125589159732930,467.998,179.995,411,0.0210172,0.000684905,-0.00327543,0.000462282
4125598289733191,467.998,269.998,411,0.0160108,0.00141004,-0.00366558,0.000235462
4125607419732421,467.998,360,411,0.0160293,0.000549045,0.00116343,0.000448637
