Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
196277343334283,767.998,0,900,-9.14182,0.0431616,-3.35106,0.0510256,-10.3055,0.0531017
196282363333979,767.998,19.9953,900,-9.34993,0.0424939,-3.3203,0.0564098,-11.2818,0.0613924
196287383333663,767.998,40,900,-8.4203,0.0381013,-3.22753,0.052853,-11.5743,0.054476
196292403333359,767.998,59.9953,900,-8.10181,0.043866,-3.14895,0.0522791,-11.2559,0.055533
196297425332431,767.998,80,900,-8.05397,0.0396318,-3.20321,0.0468134,-11.0965,0.0505854
196302447333890,767.998,99.9953,900,-7.92678,0.0356616,-2.95699,0.0508995,-11.2131,0.0498793
196307467331942,767.998,120,900,-7.85271,0.045171,-2.9488,0.0501553,-10.893,0.0567565
196312487333235,767.998,139.995,900,-8.05501,0.0362137,-3.02736,0.0478986,-10.3002,0.0498968
196317507334815,767.998,160,900,-9.13555,0.0413768,-3.24118,0.0489595,-10.2213,0.0502121
196322529333466,767.998,179.995,900,-9.181,0.0431638,-3.40944,0.055935,-11.1922,0.0552743
196327551332406,767.998,200,900,-8.86557,0.0375691,-3.62393,0.0463328,-12.265,0.0586197
196332573333998,767.998,219.995,900,-7.80313,0.0379039,-3.59686,0.0452481,-11.916,0.0458865
196337595334557,767.998,240,900,-7.31308,0.0414135,-3.18036,0.0514858,-11.6322,0.0627899
196342615332573,767.998,259.995,900,-7.19638,0.0392584,-3.48966,0.0465861,-10.8918,0.063554
196347637332029,767.998,280,900,-7.17761,0.0432177,-3.11169,0.0407686,-10.8785,0.0527524
196352659334989,767.998,299.995,900,-7.33837,0.0375608,-3.58525,0.0394741,-10.0847,0.0560811
196357679332813,767.998,320,900,-7.74761,0.0356943,-3.39691,0.0433628,-9.89346,0.0468678
196362699333325,767.998,339.995,900,-8.58362,0.0394075,-3.41608,0.0543736,-9.2289,0.0616376
196367719335037,767.998,360,900,-9.1586,0.049848,-3.33356,0.0505463,-10.1733,0.0663383
196395401333165,767.998,0,900,-9.19942,0.0347805,-3.25963,0.0405062,-10.1904,0.0575402
196401233334122,767.998,0,850,-9.15428,0.032835,-3.26988,0.0565676,-10.2231,0.0586815
196406253331742,767.998,19.9953,850,-9.41145,0.0327612,-3.29968,0.0507542,-11.2252,0.0604265
196411273334282,767.998,40,850,-8.51076,0.0496669,-3.16759,0.0519951,-11.479,0.0627797
196416293331854,767.998,59.9953,850,-8.11272,0.0380309,-3.06308,0.0472231,-11.295,0.0505741
196421315331862,767.998,80,850,-8.06707,0.0398151,-3.11884,0.0665106,-11.0424,0.0550836
196426335331990,767.998,99.9953,850,-7.90546,0.0353278,-2.84078,0.0438229,-11.2476,0.0451067
196431355334350,767.998,120,850,-7.73304,0.0390467,-2.9343,0.0496372,-10.8419,0.0585644
196436375334106,767.998,139.995,850,-7.96451,0.0440572,-3.03318,0.0503224,-10.3132,0.060982
196441395335231,767.998,160,850,-9.07374,0.0383025,-3.22276,0.0528809,-10.2755,0.0555572
196446417332118,767.998,179.995,850,-9.08425,0.0387766,-3.3868,0.0496345,-11.1655,0.0550049
196451437333374,767.998,200,850,-8.72233,0.0414984,-3.59188,0.056334,-12.2659,0.0532506
196456457332627,767.998,219.995,850,-7.78321,0.0397047,-3.53394,0.0522633,-11.8577,0.060642
196461479333798,767.998,240,850,-7.17539,0.0458689,-3.21494,0.0493561,-11.6853,0.0626223
196466499331886,767.998,259.995,850,-7.10801,0.0412536,-3.55914,0.0497942,-10.8051,0.052593
196471519334127,767.998,280,850,-7.12734,0.0445068,-3.1334,0.0591201,-10.9758,0.0465329
196476539331903,767.998,299.995,850,-7.22241,0.0488049,-3.57124,0.0551648,-10.003,0.0551224
196481559332859,767.998,320,850,-7.77059,0.0345374,-3.39273,0.0419548,-9.96777,0.0611712
196486579334967,767.998,339.995,850,-8.57986,0.038871,-3.29156,0.0494741,-9.27514,0.0498438
196491599333667,767.998,360,850,-9.08767,0.0369281,-3.265,0.0584976,-10.2635,0.0533913
196519279334412,767.998,0,850,-9.08016,0.0407365,-3.35127,0.0427665,-10.2428,0.0474069
196525111333472,767.998,0,800,-9.01226,0.0397966,-3.34752,0.0568709,-10.1979,0.052401
196530131333733,767.998,19.9953,800,-9.30962,0.040069,-3.4433,0.0494784,-11.1813,0.0529101
196535151332505,767.998,40,800,-8.3357,0.0465022,-3.34487,0.0533234,-11.4436,0.0593585
196540171333437,767.998,59.9953,800,-7.97512,0.0414933,-3.14267,0.0416331,-11.2582,0.0443649
196545191334741,767.998,80,800,-8.05776,0.0389495,-3.2108,0.0533654,-10.9589,0.0465268
196550211334617,767.998,99.9953,800,-7.87648,0.0363191,-2.99651,0.0444647,-11.2572,0.0599806
196555231332802,767.998,120,800,-7.67929,0.0392211,-3.08783,0.0449311,-10.8439,0.0576139
196560251331766,767.998,139.995,800,-7.9025,0.0416506,-3.0509,0.0592026,-10.2788,0.042965
196565271331798,767.998,160,800,-8.96766,0.0405045,-3.3039,0.054315,-10.1897,0.0461878
196570293331950,767.998,179.995,800,-8.9309,0.0452704,-3.52946,0.0444876,-11.1011,0.0580188
196575313334166,767.998,200,800,-8.68745,0.0419927,-3.6561,0.0491893,-12.0754,0.0488506
196580333334546,767.998,219.995,800,-7.85529,0.040371,-3.57669,0.0497286,-11.7803,0.0613943
196585353335034,767.998,240,800,-7.24361,0.0468515,-3.23667,0.0504607,-11.8649,0.05125
196590373332510,767.998,259.995,800,-7.17811,0.0406664,-3.49037,0.0504317,-10.6516,0.054478
196595395332794,767.998,280,800,-7.20041,0.0419525,-3.19953,0.0524788,-10.9593,0.056497
196600415334986,767.998,299.995,800,-7.23764,0.0449185,-3.49816,0.0569161,-9.78443,0.0595812
196605435333986,767.998,320,800,-7.86914,0.0353334,-3.38247,0.0477938,-9.89779,0.0505219
196610455334306,767.998,339.995,800,-8.563,0.0367363,-3.35278,0.0509795,-9.32046,0.0468544
196615475333595,767.998,360,800,-9.12295,0.036478,-3.32049,0.0519293,-10.2159,0.0639758
196643155334303,767.998,0,800,-9.09419,0.0434783,-3.41569,0.054504,-10.1503,0.0629478
196648987332488,767.998,0,750,-9.09588,0.0358993,-3.31209,0.060443,-10.2832,0.0528316
196654007335064,767.998,19.9953,750,-9.38531,0.0452615,-3.39249,0.0538112,-11.169,0.0517818
196659027332516,767.998,40,750,-8.50669,0.0401999,-3.22956,0.052696,-11.4801,0.0429263
196664049335092,767.998,59.9953,750,-8.08436,0.0436251,-3.18372,0.0666753,-11.3338,0.0551681
196669069334452,767.998,80,750,-8.19158,0.0451048,-3.12611,0.0487945,-11.0828,0.0627743
196674089332480,767.998,99.9953,750,-7.97736,0.0394989,-2.99346,0.0525244,-11.4477,0.0547327
196679109334144,767.998,120,750,-7.68348,0.0386512,-3.12484,0.0558973,-10.9004,0.0571473
196684129333864,767.998,139.995,750,-7.90915,0.0451381,-3.18825,0.0568092,-10.4212,0.0533159
196689149332493,767.998,160,750,-9.00569,0.0477801,-3.32814,0.0478403,-10.2435,0.0496636
196694171334972,767.998,179.995,750,-9.00083,0.0391931,-3.46668,0.046222,-11.1128,0.0542035
196699191333252,767.998,200,750,-8.8056,0.0441606,-3.6597,0.0513968,-12.0635,0.0481871
196704211333597,767.998,219.995,750,-7.98295,0.0392514,-3.59795,0.0478758,-11.7409,0.0519421
196709233333952,767.998,240,750,-7.25594,0.040701,-3.31299,0.0551091,-11.9475,0.0493712
196714255334212,767.998,259.995,750,-7.22205,0.0493006,-3.43656,0.0507736,-10.6892,0.0510184
196719277332731,767.998,280,750,-7.24257,0.0453832,-3.20739,0.0563353,-11.0363,0.0546889
196724299333099,767.998,299.995,750,-7.22022,0.0439251,-3.41788,0.0629285,-9.78182,0.0525178
196729321333383,767.998,320,750,-7.8413,0.0350884,-3.35635,0.0459724,-9.94784,0.0598703
196734343333846,767.998,339.995,750,-8.56763,0.0368475,-3.21255,0.0448864,-9.32972,0.057594
196739365332066,767.998,360,750,-9.11254,0.0445508,-3.33776,0.0521151,-10.2645,0.0537848
