Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
3029067139242220,0,0,0,95.0501,0.19019,93.6668,0.21324,-373.669,0.300008
3029070145245184,0,0,0,94.9644,0.225808,93.5394,0.180313,-373.557,0.363401
3029073149245167,0,0,0,95.0083,0.190905,93.6793,0.257604,-373.869,0.252766
3029076153244969,0,0,0,94.7965,0.215822,93.6737,0.202189,-373.98,0.28108
3029079157243572,0,0,0,94.8968,0.198461,93.5667,0.257098,-373.674,0.347059
3029082159242170,0,0,0,94.9027,0.242678,93.7841,0.253661,-373.595,0.27508
3029085163244133,0,0,0,94.9016,0.196007,93.7353,0.178365,-373.789,0.326389
3029088167244284,0,0,0,94.742,0.203161,93.649,0.235298,-373.517,0.228418
3029091171244015,0,0,0,94.9107,0.244433,93.9341,0.232042,-373.471,0.258413
3029094175243506,0,0,0,94.9474,0.206772,93.8915,0.228663,-373.889,0.293143
3029097179241797,0,0,0,94.8407,0.169072,93.8456,0.303286,-373.77,0.253646
3029100183242392,0,0,0,95.0091,0.229816,93.7326,0.22419,-373.695,0.261226
3029103187245099,0,0,0,95.1671,0.16419,93.6854,0.297103,-373.343,0.220239
3029106191244241,0,0,0,95.0823,0.244051,93.4382,0.240896,-373.527,0.229969
3029109195242076,0,0,0,94.8962,0.220202,93.4957,0.218365,-373.714,0.279353
3029112199242395,0,0,0,94.8521,0.258664,93.476,0.253419,-374.001,0.268031
3029115203244070,0,0,0,94.7847,0.18152,93.5006,0.284048,-374.115,0.22301
3029118207244269,0,0,0,94.5571,0.203628,93.5098,0.214641,-374.09,0.308435
3029121211243256,0,0,0,94.2715,0.193217,93.2892,0.32633,-373.724,0.246835
3029124213243930,0,0,0,94.0482,0.202691,93.5343,0.240718,-373.88,0.230206
