Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1831568802111555,756.993,314.994,980,-9.89091,0.0338643,-2.83562,0.0503008,-11.1241,0.0510981
1831572226111301,756.993,314.994,980,-9.88173,0.0352023,-2.79292,0.0463019,-11.1282,0.0786707
1831578266113620,756.993,314.994,929,-9.87375,0.0297298,-2.79595,0.0509868,-11.0954,0.0546998
1831581690113570,756.993,314.994,929,-9.89019,0.0397013,-2.83421,0.050719,-11.1037,0.061592
1831587730112325,756.993,314.994,878,-9.92414,0.0369565,-2.82877,0.0429679,-11.0341,0.0568673
1831591154112528,756.993,314.994,878,-9.94679,0.0342321,-2.77676,0.0392089,-11.0612,0.0555203
1831597194113622,756.993,314.994,827,-9.95817,0.0310145,-2.6983,0.0462896,-11.0399,0.0547946
1831600618112133,756.993,314.994,827,-9.90342,0.0375606,-2.7083,0.0452695,-11.0049,0.0534993
1831606658110863,756.993,314.994,776,-9.96105,0.0363293,-2.68009,0.0501751,-10.9825,0.0428057
1831610082113262,756.993,314.994,776,-9.98947,0.0352056,-2.65267,0.0556569,-10.9882,0.050059
1831616122113098,756.993,314.994,725,-9.99982,0.0331481,-2.56138,0.0449499,-10.9755,0.0477717
1831619546111201,756.993,314.994,725,-10.046,0.0364207,-2.59746,0.0548506,-10.9993,0.0420285
1831625586113664,756.993,314.994,674,-10.1282,0.0345836,-2.35251,0.0485659,-10.9403,0.0622986
1831629010112728,756.993,314.994,674,-10.1229,0.0336724,-2.31607,0.0516421,-10.9157,0.0424594
1831635050112131,756.993,314.994,623,-10.1603,0.0369682,-2.15992,0.0456407,-11.0473,0.0406608
1831638474113294,756.993,314.994,623,-10.104,0.0363261,-2.18848,0.0509382,-11.1044,0.0489048
1831644514112001,756.993,314.994,572,-10.1829,0.043535,-1.98948,0.0523615,-11.3129,0.0419517
1831647938113621,756.993,314.994,572,-10.2098,0.0331706,-2.02582,0.0483983,-11.2668,0.0437044
1831653978113323,756.993,314.994,521,-10.213,0.0315162,-1.99352,0.0544208,-11.5292,0.049316
1831657402113923,756.993,314.994,521,-10.2378,0.038033,-2.02689,0.0474713,-11.5268,0.0437986
1831663442111718,756.993,314.994,470,-10.2067,0.0386319,-2.10185,0.0425453,-11.7708,0.0479301
1831666866113325,756.993,314.994,470,-10.204,0.0345927,-2.08791,0.0366287,-11.7309,0.0737024
1831672906111738,756.993,314.994,419,-10.1665,0.0425813,-2.35629,0.0547778,-11.7866,0.0553866
1831676330110982,756.993,314.994,419,-10.2049,0.0347843,-2.38132,0.049454,-11.8818,0.0468203
1831682370110546,756.993,314.994,368,-10.0582,0.0370823,-2.66179,0.0587939,-11.8879,0.0509177
1831685794112754,756.993,314.994,368,-10.1027,0.0391705,-2.65123,0.0478863,-11.8998,0.0543376
1831691834113914,756.993,314.994,317,-10.004,0.0389795,-2.8461,0.0571935,-11.8539,0.0493892
1831695258113123,756.993,314.994,317,-9.99084,0.0379163,-2.84294,0.0466177,-11.8639,0.0433339
1831701298110994,756.993,314.994,266,-9.87005,0.0320254,-2.96391,0.0440657,-11.6842,0.0494459
1831704722111835,756.993,314.994,266,-9.86552,0.0403554,-2.97116,0.042439,-11.6808,0.0438953
1831710762112863,756.993,314.994,215,-9.83496,0.0310861,-3.08028,0.0517173,-11.544,0.0461972
1831714186110979,756.993,314.994,215,-9.81884,0.0379219,-2.9969,0.0458231,-11.4993,0.0518317
1831720226113375,756.993,314.994,164,-9.76286,0.0345881,-3.01897,0.049133,-11.3954,0.0490728
1831723650113375,756.993,314.994,164,-9.76707,0.0323614,-2.95815,0.0419043,-11.4125,0.044068
