Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1346059448410997,0,0,0,-203.212,0.211918,-522.319,0.389805,-266.805,0.31305
1346061954410890,0,0,0,-203.218,0.161642,-524.531,1.92166,-267.851,1.00352
1346064458412541,0,0,0,-203.188,0.221035,-525.968,0.414123,-269.063,0.410732
1346066962409572,0,0,0,-203.315,0.179472,-524.91,1.89833,-268.368,1.24574
1346069464410079,0,0,0,-203.387,0.175638,-522.251,0.395393,-267.058,0.318277
1346071966411413,0,0,0,-203.244,0.183432,-522.496,0.369886,-267.083,0.287807
1346074468410108,0,0,0,-203.307,0.187191,-522.682,0.392478,-266.996,0.313654
1346076970409870,0,0,0,-203.449,0.176305,-522.66,0.38123,-266.933,0.303384
1346079472410233,0,0,0,-203.494,0.178715,-523.062,0.430921,-267.049,0.291167
1346081974412599,0,0,0,-203.678,0.157076,-523.3,0.395401,-267.403,0.39458
1346084476411042,0,0,0,-203.618,0.165894,-524.135,1.86495,-267.823,0.720354
1346086978411656,0,0,0,-203.592,0.181523,-526.831,0.427259,-268.918,0.315452
1346089482412336,0,0,0,-203.705,0.172322,-526.653,1.57987,-268.492,0.772149
1346091986409439,0,0,0,-203.732,0.177241,-523.491,0.40445,-267.104,0.318544
1346094488411889,0,0,0,-203.668,0.16233,-523.239,0.432651,-267.063,0.309654
1346096990412384,0,0,0,-203.734,0.15932,-523.212,0.428224,-267.329,0.308051
1346099492409554,0,0,0,-203.83,0.180056,-523.31,0.440961,-267.189,0.315251
1346101994411993,0,0,0,-203.922,0.202978,-523.233,0.403823,-267.161,0.362235
1346104496412283,0,0,0,-203.847,0.177813,-523.53,0.411684,-267.385,0.288988
1346106998411458,0,0,0,-203.879,0.172963,-523.256,1.26153,-267.276,0.761786
1346109500410188,0,0,0,-203.859,0.176404,-526.968,0.283058,-269.018,0.327637
1346112002410887,0,0,0,-203.982,0.238305,-527.27,0.422408,-269.036,0.273655
1346114504411921,0,0,0,-203.732,0.168977,-523.427,0.289678,-266.97,0.294925
1346117006410820,0,0,0,-203.842,0.17282,-523.417,0.299895,-267.123,0.302579
1346119510411871,0,0,0,-203.806,0.193192,-523.239,0.225121,-266.987,0.25303
1346122012412606,0,0,0,-204.071,0.158461,-523.304,0.260954,-266.959,0.254865
1346124514411768,0,0,0,-204.082,0.193834,-523.441,0.287934,-267.338,0.291609
1346127018410119,0,0,0,-204.026,0.215137,-523.392,0.222495,-267.068,0.271908
1346129520410218,0,0,0,-204.131,0.15857,-523.258,0.236857,-267.324,0.289075
1346132022411216,0,0,0,-204.192,0.17841,-527.076,0.254574,-269.208,0.224448
1346134526410168,0,0,0,-204.203,0.170232,-527.35,0.227712,-269.294,0.228781
1346137030412071,0,0,0,-204.309,0.16281,-523.398,0.247663,-267.091,0.223793
1346139532410622,0,0,0,-204.301,0.183216,-523.405,0.244095,-267.275,0.250751
1346142034411212,0,0,0,-204.451,0.187936,-523.331,0.222356,-267.088,0.354675
1346144536410147,0,0,0,-204.414,0.173043,-523.357,0.234752,-267.193,0.336496
1346147040410058,0,0,0,-204.532,0.197039,-523.284,0.213395,-266.85,0.301512
1346149542411872,0,0,0,-204.465,0.187005,-523.622,0.25421,-266.642,0.251556
1346152044412331,0,0,0,-204.477,0.160211,-523.437,0.241907,-266.484,0.29435
1346154548410982,0,0,0,-204.509,0.165536,-526.743,1.18636,-268.872,0.706938
1346157050412293,0,0,0,-204.529,0.163956,-527.424,0.205066,-269.25,0.329184
1346159552411119,0,0,0,-204.516,0.193422,-524.604,1.61485,-267.448,0.847729
1346162056412651,0,0,0,-204.736,0.199207,-523.74,0.235896,-267.419,0.276839
1346164558411477,0,0,0,-204.504,0.208421,-523.54,0.218187,-267.061,0.332326
1346167062410801,0,0,0,-204.673,0.183988,-523.771,0.214744,-267.023,0.320554
1346169566412632,0,0,0,-204.647,0.188017,-523.445,0.310764,-266.907,0.297382
1346172070412243,0,0,0,-204.704,0.15712,-523.904,0.274026,-266.979,0.297627
1346174572409378,0,0,0,-204.481,0.171996,-523.863,0.210909,-267.089,0.319598
1346177074410712,0,0,0,-204.771,0.180532,-526.135,1.62777,-268.221,0.892969
1346179578411512,0,0,0,-204.9,0.20958,-527.381,0.258346,-269.272,0.624894
1346182080410314,0,0,0,-204.985,0.168634,-525.587,1.99864,-268.946,1.07471
1346184582410521,0,0,0,-204.87,0.185784,-523.25,0.219386,-267.635,0.311984
1346187086410672,0,0,0,-205.039,0.175758,-523.073,0.222208,-267.77,0.280712
1346189588411946,0,0,0,-204.951,0.157004,-523.145,0.303883,-267.814,0.264196
1346192092410934,0,0,0,-205.23,0.163834,-523.118,0.302931,-267.678,0.261269
1346194594412412,0,0,0,-205.299,0.174689,-522.977,0.272641,-267.568,0.256838
1346197096409607,0,0,0,-205.222,0.180966,-523.22,0.23937,-267.702,0.293239
1346199598411877,0,0,0,-205.207,0.155138,-524.939,2.03663,-268.747,1.09928
1346202100409792,0,0,0,-205.376,0.190293,-527.611,0.270207,-270.409,0.23826
1346204602412266,0,0,0,-205.267,0.249404,-526.077,1.66574,-269.63,0.967404
1346207104411801,0,0,0,-205.272,0.155982,-523.434,0.195075,-268.138,0.277449
1346209606411887,0,0,0,-205.17,0.148709,-523.172,0.212789,-267.512,0.307211
1346212108412154,0,0,0,-205.491,0.184038,-523.356,0.235232,-267.793,0.257815
1346214610412276,0,0,0,-205.514,0.169451,-523.192,0.208299,-267.641,0.255567
1346217112411547,0,0,0,-205.4,0.195414,-523.174,0.250761,-267.443,0.337224
1346219614411177,0,0,0,-205.386,0.169764,-523.552,0.271584,-267.844,0.279694
1346222116410112,0,0,0,-205.424,0.17667,-524.175,1.33554,-267.937,0.739712
1346224618412346,0,0,0,-205.645,0.178704,-527.611,0.266269,-269.893,0.287081
1346227120412589,0,0,0,-205.572,0.198377,-527.381,0.916077,-269.593,0.566654
1346229622412219,0,0,0,-205.518,0.17938,-522.9,0.262994,-267.614,0.305943
1346232124410902,0,0,0,-205.5,0.220734,-523.265,0.293324,-267.269,0.258113
1346234626410292,0,0,0,-205.625,0.209618,-523.253,0.239915,-267.379,0.339363
1346237128411182,0,0,0,-205.648,0.218755,-523.458,0.237114,-267.801,0.228596
1346239630411317,0,0,0,-205.67,0.163026,-523.391,0.253151,-267.452,0.264872
1346242132410791,0,0,0,-205.711,0.219049,-522.858,0.311616,-267.566,0.238916
1346244634411550,0,0,0,-205.807,0.18777,-522.719,0.25327,-267.388,0.377602
1346247136410772,0,0,0,-205.843,0.18842,-526.644,0.302085,-269.062,0.2784
1346249638411459,0,0,0,-206,0.21155,-526.67,0.238178,-269.277,0.283204
1346252142412522,0,0,0,-205.99,0.192863,-522.511,0.245934,-267.137,0.311138
1346254644411565,0,0,0,-205.999,0.188811,-522.474,0.255311,-266.939,0.223942
1346257146411831,0,0,0,-205.986,0.199008,-523.206,0.23158,-267.367,0.275465
1346259648410814,0,0,0,-205.986,0.202498,-523.62,0.253385,-267.507,0.240001
1346262150411920,0,0,0,-205.835,0.161638,-523.565,0.280314,-267.654,0.297114
1346264652411059,0,0,0,-205.936,0.225849,-523.233,0.245462,-267.107,0.257124
1346267154410233,0,0,0,-205.984,0.202254,-523.308,0.240665,-267.072,0.228318
1346269656410836,0,0,0,-206.093,0.193403,-523.382,0.2551,-266.841,0.275263
1346272158412230,0,0,0,-206.048,0.170345,-523.529,0.28653,-266.944,0.251889
1346274662411913,0,0,0,-206.111,0.207069,-523.701,0.316854,-266.749,0.250519
1346277164417508,0,0,0,-206.099,0.179116,-523.04,0.318215,-266.692,0.334571
1346279666412266,0,0,0,-206.188,0.189258,-523.122,0.277432,-266.636,0.285779
1346282168411213,0,0,0,-206.069,0.214992,-522.649,0.226788,-266.522,0.249116
1346284672411196,0,0,0,-206.126,0.173377,-523.045,0.244888,-266.723,0.2577
1346287174409567,0,0,0,-206.452,0.153443,-523.24,0.258837,-266.388,0.272617
1346289678412694,0,0,0,-206.465,0.189782,-522.915,0.331963,-266.609,0.259529
1346292180409877,0,0,0,-206.6,0.184712,-525.641,1.79629,-268.248,0.879802
1346294684409728,0,0,0,-206.624,0.157858,-526.845,0.212711,-269.329,0.252651
1346297188411019,0,0,0,-206.629,0.191083,-525.041,1.84976,-268.056,1.1138
1346299690412486,0,0,0,-206.452,0.166856,-523.366,0.229595,-267.111,0.282701
1346302194412541,0,0,0,-206.492,0.186285,-523.187,0.214337,-267.008,0.310399
1346304696409304,0,0,0,-206.539,0.174483,-522.237,0.440027,-266.513,0.27654
1346307198412378,0,0,0,-206.562,0.179771,-521.784,0.273722,-266.164,0.29601
1346309700409945,0,0,0,-206.454,0.169625,-522.462,0.378325,-266.813,0.256188
1346312204410708,0,0,0,-206.424,0.216063,-522.732,0.290509,-266.607,0.316981
1346314706409859,0,0,0,-206.49,0.178929,-525.144,2.21003,-267.93,1.06421
1346317208410317,0,0,0,-206.44,0.19907,-527.047,0.241813,-269.03,0.281367
1346319710410739,0,0,0,-206.517,0.198684,-525.809,1.91246,-268.206,1.139
1346322212410838,0,0,0,-206.71,0.205699,-523.187,0.375032,-267.025,0.371796
1346324716412309,0,0,0,-206.845,0.179718,-523.113,0.253646,-267.371,0.287807
1346327220411573,0,0,0,-206.899,0.188476,-522.952,0.286369,-267.398,0.250367
1346329722412487,0,0,0,-206.618,0.21501,-522.468,0.236738,-267.216,0.2335
1346332224412262,0,0,0,-206.953,0.184207,-522.745,0.372544,-266.983,0.295407
1346334726409852,0,0,0,-207.069,0.176035,-522.824,0.408593,-266.973,0.247859
1346337230411324,0,0,0,-207.049,0.197753,-524.18,1.65603,-267.563,0.95885
1346339734412615,0,0,0,-207.053,0.213134,-526.746,0.386635,-268.936,0.30375
1346342236412629,0,0,0,-207.091,0.187998,-526.46,1.06983,-269.05,0.583307
1346344738412128,0,0,0,-207.05,0.187439,-523.02,0.429693,-267.224,0.320946
