Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1883648527184648,756.993,179.995,980,-10.0178,0.0372494,-2.24683,0.0468301,-11.5002,0.0452082
1883651951184679,756.993,179.995,980,-10.0393,0.0376997,-2.2437,0.0432837,-11.5323,0.0646107
1883657991185413,756.993,179.995,929,-10.0664,0.0362226,-2.28355,0.0506793,-11.5826,0.0499697
1883661415183860,756.993,179.995,929,-10.0721,0.0432303,-2.2813,0.0497376,-11.583,0.0385219
1883667455184859,756.993,179.995,878,-10.1035,0.0419568,-2.24965,0.0626439,-11.6466,0.0518867
1883670879186893,756.993,179.995,878,-10.0893,0.0383374,-2.23793,0.0503132,-11.668,0.0564
1883676919184676,756.993,179.995,827,-10.0946,0.0334088,-2.21484,0.0445509,-11.6435,0.0504697
1883680343183843,756.993,179.995,827,-10.1073,0.0369218,-2.17408,0.0610858,-11.6237,0.047047
1883686383184649,756.993,179.995,776,-10.1365,0.0339249,-2.16991,0.0438722,-11.6816,0.0685627
1883689807186528,756.993,179.995,776,-10.1056,0.0381773,-2.21368,0.0608085,-11.6935,0.0539938
1883695847185428,756.993,179.995,725,-10.1589,0.0389599,-2.10574,0.0539098,-11.7929,0.0440197
1883699271185191,756.993,179.995,725,-10.1521,0.0353224,-2.1478,0.0481569,-11.7516,0.0726874
1883705311186945,756.993,179.995,674,-10.1376,0.036282,-2.19755,0.0488263,-11.8178,0.0559994
1883708735186133,756.993,179.995,674,-10.132,0.0310771,-2.12684,0.0450369,-11.8143,0.0453338
1883714775186747,756.993,179.995,623,-10.1649,0.040871,-2.08594,0.0428776,-11.821,0.0462078
1883718199183990,756.993,179.995,623,-10.1605,0.0355938,-2.14914,0.04666,-11.8503,0.0595
1883724239186476,756.993,179.995,572,-10.1325,0.0324816,-2.08651,0.0566189,-11.9128,0.043113
1883727663185099,756.993,179.995,572,-10.147,0.0330152,-2.10186,0.0643724,-11.8684,0.046808
1883733703184873,756.993,179.995,521,-10.1584,0.0342775,-2.12949,0.0463863,-11.9176,0.0550098
1883737127184072,756.993,179.995,521,-10.1544,0.0350103,-2.07492,0.054684,-11.9469,0.0481023
1883743167185575,756.993,179.995,470,-10.1242,0.0397953,-2.05394,0.0441169,-11.9721,0.0523297
1883746591186010,756.993,179.995,470,-10.1416,0.0376772,-2.10939,0.0463763,-11.9789,0.0539959
1883752631184524,756.993,179.995,419,-10.1283,0.0417216,-2.06493,0.048304,-11.9733,0.0442756
1883756055184552,756.993,179.995,419,-10.0525,0.0378263,-2.05861,0.0479858,-11.9887,0.0444817
1883762095183982,756.993,179.995,368,-10.0622,0.0367548,-2.0014,0.0469577,-11.9657,0.0524036
1883765519185516,756.993,179.995,368,-10.0626,0.0384821,-2.04142,0.0536149,-11.9663,0.0462566
1883771559187178,756.993,179.995,317,-10.102,0.0378177,-2.04883,0.044536,-11.9908,0.0536402
1883774983184909,756.993,179.995,317,-10.0835,0.034757,-2.10956,0.0529519,-12.0502,0.0428022
1883781023184928,756.993,179.995,266,-10.0602,0.0364324,-2.05418,0.0408117,-12.1278,0.0562359
1883784447184938,756.993,179.995,266,-10.0779,0.0394962,-2.00646,0.0543642,-12.1219,0.0470149
1883790487186216,756.993,179.995,215,-10.0629,0.0343918,-2.02351,0.0476092,-12.1074,0.0432196
1883793911187067,756.993,179.995,215,-10.1069,0.0347078,-2.03256,0.0518697,-12.0824,0.0416859
1883799951186486,756.993,179.995,164,-10.087,0.0324447,-1.92638,0.056998,-12.0812,0.0419975
1883803375184841,756.993,179.995,164,-10.0809,0.0340575,-1.97747,0.0450047,-12.0956,0.0459487
