Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1887628259186892,756.993,0,150,-10.0364,0.034614,-1.78618,0.0531905,-12.1411,0.0598966
1887632685184262,756.993,9.99298,150,-9.95449,0.0344193,-1.86615,0.0693833,-12.0578,0.0576928
1887637111185040,756.993,19.9953,150,-9.88031,0.0454388,-1.92157,0.0422975,-11.9496,0.058799
1887641537186579,756.993,29.9977,150,-9.82146,0.0317934,-1.91088,0.0428541,-11.8882,0.0457027
1887645963186428,756.993,40,150,-9.86848,0.0330372,-1.89686,0.0491248,-11.8155,0.0604804
1887650389187226,756.993,49.993,150,-9.91078,0.0377964,-1.92946,0.0393051,-11.6973,0.0506192
1887654815184531,756.993,59.9953,150,-10.075,0.0389909,-2.08044,0.0458212,-11.7176,0.0531647
1887659241184200,756.993,69.9977,150,-10.2214,0.0312982,-2.20273,0.0441124,-11.8699,0.04441
1887663667185093,756.993,80,150,-10.2922,0.0342558,-2.36511,0.0549189,-12.1881,0.0523179
1887668093183802,756.993,89.993,150,-10.1489,0.0382827,-2.53929,0.0475647,-12.5961,0.0624347
1887672519184935,756.993,99.9953,150,-9.78812,0.0416217,-2.71075,0.0482219,-12.8135,0.0499435
1887676945184376,756.993,109.998,150,-9.31027,0.0475787,-2.82752,0.0424136,-12.8333,0.0458282
1887681371183901,756.993,120,150,-8.87995,0.0368099,-2.85413,0.0500375,-12.5489,0.0426919
1887685797186582,756.993,129.993,150,-8.63246,0.0382183,-2.91383,0.0553254,-12.0045,0.0396333
1887690223186467,756.993,139.995,150,-8.66226,0.034323,-2.94787,0.0497825,-11.3751,0.0466242
1887694649184073,756.993,149.998,150,-8.93631,0.034528,-2.96112,0.0495609,-10.8947,0.0474631
1887699075186082,756.993,160,150,-9.33383,0.0417803,-2.99543,0.0469362,-10.6466,0.0478591
1887703501184839,756.993,169.993,150,-9.73087,0.0382924,-2.95112,0.0476429,-10.4984,0.0735142
1887707927186307,756.993,179.995,150,-10.019,0.0473634,-2.94838,0.0471693,-10.5066,0.0511204
1887712353186697,756.993,189.998,150,-10.3242,0.0368322,-2.87048,0.0469288,-10.6345,0.0396494
1887716779186798,756.993,192.149,150,-10.3648,0.0396749,-2.86832,0.0468121,-10.633,0.0537653
1887770579186613,756.993,209.993,150,-10.6168,0.0371128,-2.74683,0.0487121,-10.8427,0.0485587
1887775005183846,756.993,211.964,150,-10.6898,0.0388241,-2.75257,0.0413257,-10.9388,0.0462843
1887833011186636,756.993,229.998,150,-10.7878,0.0486051,-2.61369,0.0568257,-11.1497,0.0414398
