Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1804862253253696,756.993,0,980,204.126,0.033802,-70.2853,0.0547023,-162.73,0.0439789
1804866679252009,756.993,9.99298,980,278.783,0.0329197,-88.3875,0.0610837,-148.749,0.0496161
1804871105251173,756.993,19.9953,980,368.534,0.0419925,-113.984,0.0594038,-107.661,0.0527846
1804875531251010,756.993,29.9977,980,465.376,0.0494843,-149.193,0.0486811,-25.1964,0.0526971
1804879957251410,756.993,40,980,551.91,0.0368189,-196.3,0.059796,113.744,0.0515097
1804884383251223,756.993,49.993,980,596.074,0.0404965,-253.913,0.051568,310.18,0.0544648
1804888809252883,756.993,59.9953,980,564.441,0.0419651,-317.366,0.0629682,540.687,0.060646
1804893235254208,756.993,69.9977,980,439.199,0.0428811,-377.985,0.0570857,758.261,0.0461545
1804897661251224,756.993,80,980,234.852,0.0788997,-423.294,0.0571433,906.108,0.070513
1804902087252321,756.993,89.993,980,-6.70065,0.126354,-443.314,0.0416742,951.636,0.0514502
1804906513251761,756.993,99.9953,980,-242.149,0.0551334,-434.452,0.0568811,893.244,0.0531103
1804910939252174,756.993,109.998,980,-435.048,0.0428147,-399.155,0.0614014,745.024,0.0548834
1804915365254252,756.993,120,980,-555.774,0.0451612,-345.126,0.0619655,536.896,0.0576762
1804919791252443,756.993,129.993,980,-591.178,0.0395195,-283.211,0.0622041,314.019,0.0468736
1804924217253488,756.993,139.995,980,-554.313,0.0409374,-223.884,0.0490377,122.523,0.0498051
1804928643252038,756.993,149.998,980,-475.502,0.0368509,-173.328,0.0518187,-15.2882,0.050242
1804933069254236,756.993,160,980,-381.919,0.0366359,-132.578,0.0525987,-100.849,0.0653416
1804937495253278,756.993,169.993,980,-295.565,0.041614,-102.733,0.0467364,-143.495,0.0400043
1804941921252404,756.993,179.995,980,-223.15,0.0358347,-81.1862,0.0499004,-159.125,0.0455716
1804946347253450,756.993,189.998,980,-166.357,0.0383976,-65.7476,0.050717,-159.198,0.0576076
1804950773251307,756.993,189.731,980,-163.007,0.0414607,-64.9228,0.0567026,-158.951,0.0424144
1805003977254237,756.993,209.993,980,-95.1562,0.0392022,-47.5409,0.0459692,-142.786,0.0457317
1805008403251786,756.993,219.995,980,-73.1862,0.0360512,-42.0571,0.0494863,-134.121,0.0482473
1805012829251051,756.993,219.482,980,-72.2637,0.040428,-41.8233,0.0510936,-133.736,0.0479798
1805072441251872,756.993,240,980,-43.2733,0.0338627,-34.8934,0.0537629,-123.274,0.0634486
1805076867252195,756.993,239.502,980,-42.6365,0.0353736,-34.757,0.0439397,-123.149,0.0414588
1805140487254134,756.993,259.995,980,-20.4316,0.0364884,-31.4121,0.0469364,-120.153,0.0437823
1805144913250901,756.993,269.998,980,-9.25807,0.0351003,-30.7355,0.0499333,-119.648,0.0627143
1805149339251844,756.993,280,980,1.76971,0.0538532,-30.8493,0.0584356,-120.131,0.0535204
1805153765251875,756.993,289.993,980,12.916,0.0428034,-31.7006,0.0591327,-120.998,0.049019
1805158191251527,756.993,299.995,980,24.6563,0.0346852,-33.3487,0.0506636,-123.396,0.0553803
1805162617253783,756.993,309.998,980,37.8248,0.0427853,-35.7381,0.0452593,-127.684,0.0406893
1805167043253579,756.993,320,980,54.0365,0.0341474,-38.8435,0.0473041,-134.278,0.0561913
1805171469252163,756.993,329.993,980,76.1602,0.0336287,-43.3688,0.0579244,-143.31,0.0472647
1805175895252368,756.993,339.995,980,106.711,0.0341398,-49.5938,0.0518595,-153.287,0.043416
1805180321254168,756.993,349.998,980,149.067,0.0387537,-58.3161,0.0449062,-161.469,0.0466916
1805184747251156,756.993,360,980,207.765,0.0411734,-71.1631,0.0506187,-162.294,0.041192
