Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1362945737616306,0,0,0,75.2351,0.207743,-761.836,0.391648,-404.366,0.291188
1362946841616547,0,0,0,75.076,0.227303,-761.206,0.318354,-404.103,0.22493
1362947943614456,0,0,0,75.205,0.160273,-760.865,0.345985,-404.056,0.206723
1362949047616845,0,0,0,75.3413,0.249089,-761.821,0.802858,-404.26,0.327726
1362950151616019,0,0,0,75.1801,0.252909,-761.18,0.972831,-404.202,0.519675
1362951255613920,0,0,0,75.4381,0.293726,-762.729,1.28043,-405.338,0.615095
1362952359615290,0,0,0,76.0924,0.20669,-765.108,0.407953,-406.264,0.254446
1362953463616251,0,0,0,75.1256,1.3718,-760.702,6.1501,-404.164,3.34806
1362954567616313,0,0,0,72.7224,0.212006,-750.108,0.496676,-398.237,0.276845
1362955669614077,0,0,0,72.7664,0.176119,-750.811,0.385737,-398.741,0.255787
1362956771615118,0,0,0,72.9937,0.230277,-752.061,0.306574,-399.497,0.252746
1362957873615895,0,0,0,73.0292,0.23502,-752.077,0.320144,-399.697,0.267025
1362958975616227,0,0,0,72.9199,0.203903,-752.261,0.266653,-399.547,0.264683
1362960077615348,0,0,0,72.9691,0.214725,-751.998,0.311368,-399.153,0.23387
1362961179614049,0,0,0,72.878,0.227942,-751.822,0.310931,-399.379,0.236068
1362962283613762,0,0,0,72.5897,0.181103,-751.3,0.368813,-399.209,0.247446
