Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
123735885068668,500,0,900,-9.4758,0.0318364,-3.2502,0.0549367,-10.0669,0.0548168
123739903068959,500,4.99649,900,-9.51905,0.039093,-3.27471,0.045892,-10.1386,0.0502483
123743921068831,500,9.99298,900,-9.53483,0.0386308,-3.27484,0.0506026,-10.2491,0.047517
123747939070778,500,14.9988,900,-9.52766,0.0547752,-3.2157,0.0612335,-10.3384,0.0496592
123751957069306,500,19.9953,900,-9.57094,0.037495,-3.28127,0.050229,-10.4438,0.0490326
123755975070065,500,24.9918,900,-9.51967,0.0367942,-3.29326,0.0456387,-10.5319,0.0463308
123759993068857,500,29.9977,900,-9.48571,0.0500132,-3.28362,0.053471,-10.5982,0.0526046
123764011070421,500,34.9942,900,-9.49312,0.0371301,-3.27748,0.0517897,-10.5468,0.0572432
123768029068936,500,40,900,-9.45968,0.0360291,-3.32037,0.0509303,-10.636,0.0522585
123772047068388,500,44.9965,900,-9.37634,0.0384025,-3.23904,0.0446925,-10.6786,0.0417044
123776065068943,500,49.993,900,-9.39819,0.036943,-3.24409,0.0578764,-10.7236,0.0452015
123780083067639,500,54.9988,900,-9.41559,0.0342319,-3.26993,0.041511,-10.7431,0.0494101
123784101070126,500,59.9953,900,-9.35684,0.0409358,-3.24447,0.0536681,-10.819,0.0559105
123788119069662,500,64.9918,900,-9.36363,0.0391139,-3.16441,0.045475,-10.9027,0.0530666
123792137069761,500,69.9977,900,-9.36293,0.0371748,-3.14401,0.0495156,-10.8651,0.0496501
123796155070233,500,74.9942,900,-9.34174,0.0366059,-3.15002,0.0460316,-10.906,0.0438131
123800173068449,500,80,900,-9.28233,0.0446862,-3.13184,0.0532036,-10.9282,0.045976
123804191069988,500,84.9965,900,-9.25007,0.0355001,-3.15378,0.0491901,-10.9998,0.0499547
123808209069740,500,89.993,900,-9.18091,0.0378325,-3.04022,0.0449682,-10.9669,0.0581716
123812227069467,500,94.9988,900,-9.1834,0.0403757,-3.10829,0.0524147,-11.004,0.0458752
123816245068499,500,99.9953,900,-9.09484,0.0337032,-3.07598,0.0498592,-11.0649,0.0502529
123820263069882,500,104.992,900,-9.05872,0.0280836,-3.10572,0.0548029,-11.0437,0.0564251
123824281069190,500,109.998,900,-9.03049,0.0320921,-3.11376,0.0449571,-11.0453,0.0529561
123828299067525,500,114.994,900,-9.01044,0.0334211,-3.08406,0.0459979,-11.0062,0.0455595
123832317069065,500,120,900,-8.98214,0.0342564,-3.04437,0.0507504,-11.0123,0.0472683
123836335069921,500,124.996,900,-8.95976,0.0363991,-3.08998,0.0513744,-10.9841,0.0484371
123840353068028,500,129.993,900,-8.98962,0.0333102,-3.06325,0.0432139,-10.9019,0.0576831
123844371068116,500,134.999,900,-8.98404,0.0471109,-3.03003,0.0435514,-10.8377,0.0484862
123848389069895,500,139.995,900,-9.05643,0.0487849,-3.06497,0.0451409,-10.7849,0.0509964
123852407069863,500,144.992,900,-9.13753,0.0437311,-3.13615,0.043618,-10.7599,0.0528958
123856425068582,500,149.998,900,-9.20455,0.0324717,-3.14113,0.0453024,-10.7875,0.0494215
123860443068430,500,154.994,900,-9.25751,0.0411295,-3.25006,0.04347,-10.8087,0.0506465
123864461069825,500,160,900,-9.31283,0.0398179,-3.24152,0.0478901,-10.7866,0.0469529
123868479069289,500,164.996,900,-9.33413,0.0369442,-3.31155,0.0491956,-10.8762,0.0552714
123872497069761,500,169.993,900,-9.39075,0.038261,-3.36408,0.0436228,-10.9792,0.0464212
123876515067496,500,174.999,900,-9.38828,0.031786,-3.31183,0.0514963,-11.0631,0.0382786
123880533069792,500,179.995,900,-9.36111,0.0339844,-3.36485,0.0464718,-11.2027,0.0527526
123884551068343,500,184.992,900,-9.36111,0.0388907,-3.36964,0.0534412,-11.3297,0.0520535
123888569070783,500,189.998,900,-9.25472,0.0396886,-3.3786,0.0449709,-11.4637,0.0588901
123892587069466,500,194.994,900,-9.15843,0.0369832,-3.43757,0.0489503,-11.5529,0.0399057
123896605070250,500,200,900,-9.04001,0.0496232,-3.40563,0.0493157,-11.7014,0.0593933
123900623068033,500,204.996,900,-8.9097,0.0392489,-3.38561,0.0440578,-11.7181,0.0634036
123904641069405,500,209.993,900,-8.76383,0.0364363,-3.36881,0.0485287,-11.7723,0.0646704
123908659070789,500,214.999,900,-8.63912,0.0350595,-3.37786,0.0471508,-11.7465,0.0501039
123912677069088,500,219.995,900,-8.4892,0.0372441,-3.34142,0.0476123,-11.6645,0.0432279
123916695067556,500,224.992,900,-8.3857,0.0381089,-3.32406,0.0512778,-11.6768,0.0535829
123920713068243,500,229.998,900,-8.20715,0.0407448,-3.30442,0.0561356,-11.5856,0.052036
123924731069219,500,234.994,900,-8.12296,0.0380825,-3.30761,0.0485045,-11.4919,0.0466887
123928749070206,500,240,900,-8.04978,0.0354985,-3.218,0.0484763,-11.4035,0.0493808
123932767068362,500,244.996,900,-8.01268,0.0349701,-3.23178,0.0454272,-11.3186,0.0555147
123936785068510,500,249.993,900,-7.94106,0.0385546,-3.18697,0.041352,-11.2027,0.0569647
123940803070613,500,254.999,900,-7.89685,0.0402206,-3.19495,0.0411503,-11.0355,0.0450852
123944821068421,500,259.995,900,-7.84646,0.0314289,-3.21602,0.0443029,-10.9069,0.0602295
123948839068784,500,264.992,900,-7.87287,0.038791,-3.12124,0.0536435,-10.7933,0.0506604
123952857068464,500,269.998,900,-7.91074,0.0412539,-3.14747,0.0397632,-10.6722,0.0558113
123956875069847,500,274.994,900,-7.90366,0.0398632,-3.12284,0.0497065,-10.55,0.0527757
123960893069755,500,280,900,-7.94325,0.0417818,-3.21774,0.0462847,-10.4981,0.050852
123964911070730,500,284.996,900,-8.03023,0.0391068,-3.17034,0.0466677,-10.4103,0.0503108
123968929069510,500,289.993,900,-8.0158,0.0433347,-3.21224,0.0561743,-10.3017,0.0438831
123972947069562,500,294.999,900,-8.1147,0.0387,-3.13625,0.067657,-10.196,0.0461722
123976965068389,500,299.995,900,-8.21597,0.0388488,-3.13595,0.0547013,-10.034,0.0454942
123980983068837,500,304.992,900,-8.2623,0.0364243,-3.17275,0.0435586,-9.97943,0.0525894
123985001070256,500,309.998,900,-8.39685,0.0329566,-3.22815,0.0389523,-9.92463,0.0500983
123989019068292,500,314.994,900,-8.46886,0.0352543,-3.23056,0.0481329,-9.86335,0.0522908
123993037070191,500,320,900,-8.58411,0.0323258,-3.16462,0.0418128,-9.86007,0.0642649
123997055069775,500,324.996,900,-8.74147,0.0391407,-3.14586,0.0495254,-9.75304,0.0494215
124001073070174,500,329.993,900,-8.8897,0.0413402,-3.09181,0.0485232,-9.78334,0.047197
124005091069686,500,334.999,900,-9.02711,0.0329145,-3.14422,0.0533444,-9.75561,0.0535956
124009109070794,500,339.995,900,-9.15023,0.0335018,-3.15095,0.0513367,-9.75108,0.04699
124013127068745,500,344.992,900,-9.2911,0.0320339,-3.12787,0.0506384,-9.75638,0.0556563
124017145069421,500,349.998,900,-9.36047,0.0435483,-3.12249,0.0477664,-9.83591,0.0408517
124021163068872,500,354.994,900,-9.4104,0.036174,-3.13581,0.0389091,-9.95103,0.0512083
124025181068684,500,360,900,-9.49129,0.0377828,-3.12504,0.0477124,-10.0568,0.0477314
124052863069296,500,0,850,-9.51612,0.0344088,-3.1368,0.0387578,-10.0826,0.0448745
