Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1818750322113859,756.993,0,575,-13.619,0.0391515,-2.00709,0.0383637,-11.995,0.0456916
1818754748113748,756.993,9.99298,575,-13.7971,0.0409421,-1.96185,0.045362,-12.5836,0.0477518
1818759174110529,756.993,19.9953,575,-13.7999,0.038206,-1.91268,0.0577312,-13.3309,0.0437631
1818763600113405,756.993,29.9977,575,-13.7626,0.0366101,-1.76724,0.0406925,-14.1005,0.0455939
1818768026110691,756.993,40,575,-13.554,0.0405543,-1.74774,0.0511063,-15.0602,0.0441547
1818772452113628,756.993,49.993,575,-13.0114,0.0376357,-1.62094,0.0495546,-16.0825,0.0486008
1818776878113960,756.993,59.9953,575,-12.1666,0.0366147,-1.50802,0.0491224,-16.9482,0.0412879
1818781304112349,756.993,69.9977,575,-10.9725,0.0364574,-1.381,0.0472474,-17.5318,0.044092
1818785730112718,756.993,80,575,-9.58457,0.0354104,-1.30364,0.0652701,-17.6807,0.0449033
1818790156113687,756.993,82.4662,575,-9.18947,0.0367589,-1.28778,0.0566062,-17.5803,0.0485491
1818822122110887,756.993,99.9953,575,-7.26448,0.0338817,-1.33075,0.0514272,-16.4265,0.0557054
1818826548113754,756.993,109.998,575,-6.58685,0.0416119,-1.44783,0.0455503,-15.4975,0.0434118
1818830974110513,756.993,120,575,-6.20673,0.0321756,-1.56393,0.0418903,-14.5038,0.0424448
1818835400113476,756.993,129.993,575,-6.13293,0.041979,-1.70566,0.0465699,-13.5338,0.058838
1818839826112610,756.993,139.995,575,-6.21749,0.0362203,-1.85911,0.044718,-12.7754,0.0440394
1818844252113653,756.993,149.998,575,-6.44024,0.0346377,-1.9651,0.0408573,-12.0646,0.0449593
1818848678113184,756.993,160,575,-6.63293,0.0346713,-2.03837,0.041411,-11.5608,0.0470422
1818853104112127,756.993,169.993,575,-6.93134,0.0443672,-2.18328,0.0388172,-11.0831,0.0631747
1818857530111477,756.993,179.995,575,-7.17779,0.0498738,-2.15158,0.0447342,-10.6122,0.101778
1818861956111848,756.993,189.998,575,-7.49527,0.0388487,-2.23559,0.0456458,-10.2766,0.0513175
1818866382111967,756.993,200,575,-7.82989,0.0337851,-2.20196,0.0422563,-9.95774,0.0514661
1818870808111006,756.993,209.993,575,-8.14344,0.0357345,-2.25485,0.0470253,-9.74728,0.0382308
1818875234110573,756.993,219.995,575,-8.4897,0.0396841,-2.31205,0.0458668,-9.52002,0.0511908
1818879660112455,756.993,229.998,575,-8.85338,0.0409969,-2.35764,0.0589872,-9.29895,0.0482791
1818884086112418,756.993,240,575,-9.30976,0.0318042,-2.33486,0.0547594,-9.1587,0.0430187
1818888512113077,756.993,249.993,575,-9.68961,0.0313185,-2.29983,0.0480962,-8.98831,0.0930853
1818892938113772,756.993,259.995,575,-10.1578,0.0373991,-2.35026,0.0426028,-8.95891,0.0483345
1818897364113087,756.993,269.998,575,-10.5873,0.0409565,-2.30245,0.0418979,-8.94759,0.0661678
1818901790111334,756.993,280,575,-11.0668,0.0426298,-2.23923,0.0512893,-8.95877,0.0502722
1818906216113001,756.993,289.993,575,-11.5321,0.0381384,-2.19639,0.0525662,-9.0637,0.0738474
1818910642112627,756.993,299.995,575,-12.1108,0.0449294,-1.99815,0.0377369,-9.05745,0.0585518
1818915068113767,756.993,309.998,575,-12.8749,0.0371346,-1.77111,0.0546889,-9.49276,0.0594924
1818919494110645,756.993,320,575,-13.071,0.0316138,-1.5086,0.0503848,-10.5987,0.0533674
1818923922112670,756.993,329.993,575,-12.9265,0.0360499,-1.73605,0.04355,-11.0157,0.047941
1818928348113748,756.993,339.995,575,-13.1017,0.0396505,-1.93371,0.0545316,-11.1821,0.0481791
1818932774111756,756.993,349.998,575,-13.3765,0.0343299,-2.05446,0.0430103,-11.5424,0.0545918
1818937200112870,756.993,360,575,-13.6033,0.0384347,-2.05419,0.0610803,-11.979,0.0651122
