Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
3689141969444583,-15,0,300,2573.3,1.29556,2508.63,1.09915,-0.014996,0.0166031
3689150989443879,-15,19.9953,300,2569.37,1.08659,2506.29,0.889977,-0.0111637,0.0155316
3689160009444268,-15,40,300,2564.82,0.954633,2505.4,0.489852,-0.0139976,0.0168398
3689169029443420,-15,59.9953,300,2560.31,0.889867,2506.19,0.473244,-0.0121164,0.015412
3689178049443664,-15,80,300,2556.31,0.897806,2508.53,0.725658,-0.0127315,0.0159427
3689187069443872,-15,99.9953,300,2552.92,0.829727,2512.01,0.708202,-0.0134969,0.0152906
3689196089442665,-15,120,300,2550.83,1.22717,2516.41,1.40552,-0.0145526,0.0162634
3689205109442489,-15,139.995,300,2550.21,2.23915,2520.67,1.45442,-0.0135412,0.0166198
3689214129442781,-15,160,300,2551.15,2.8449,2524.7,1.20781,-0.0147343,0.0167578
3689223149445125,-15,179.995,300,2553.71,1.3884,2528.26,0.931869,-0.0138931,0.0161766
3689232169442586,-15,200,300,2557.67,0.621866,2531.26,0.576011,-0.0122309,0.0158946
3689241191445547,-15,219.995,300,2562.37,1.26508,2532.86,0.566114,-0.0118389,0.0164983
3689250211445011,-15,240,300,2567.24,1.12118,2532.7,0.585475,-0.0129561,0.0154775
3689259231443323,-15,259.995,300,2571.64,0.810745,2530.56,0.750609,-0.0142236,0.0162496
3689268251445236,-15,280,300,2574.96,0.705854,2527.16,0.671256,-0.0126829,0.0164181
3689277271445876,-15,299.995,300,2577.03,0.738153,2522.94,0.508811,-0.0120935,0.0148004
3689286291445664,-15,320,300,2577.63,1.21663,2518.53,0.438103,-0.0123281,0.0159577
3689295311442692,-15,339.995,300,2576.92,0.865354,2514.15,0.525894,-0.0132408,0.0184057
3689304331442493,-15,360,300,2574.58,0.886019,2510.11,0.524911,-0.0127158,0.0157238
3689336011445411,-15,0,355,2574.91,0.813382,2507.94,0.642988,-0.0130477,0.0167513
3689345033445804,-15,19.9953,355,2569.89,1.81144,2506.79,1.46929,-0.0129347,0.0177463
3689354053443300,-15,40,355,2565.43,0.957674,2505.98,0.97295,-0.0144696,0.0189303
3689363073444504,-15,59.9953,355,2560.85,0.832523,2506.55,0.517127,-0.0129476,0.0174834
3689372093445769,-15,80,355,2556.28,0.741792,2508.33,0.587771,-0.0141578,0.0164606
