Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
173096549159548,0,0,575,-12.2232,0.0347666,-2.40614,0.0515457,-11.1426,0.0449549
173106183160400,0,89.993,575,-9.79546,0.0346889,-2.26714,0.047559,-13.3839,0.0944185
173115817156740,0,179.995,575,-7.3859,0.0372625,-2.2872,0.0497173,-10.9452,0.0565982
173125449160614,0,269.998,575,-9.96627,0.0347935,-2.37254,0.056958,-8.52461,0.0487202
173181007158356,756.993,0,575,-12.5232,0.044963,-2.86891,0.0479166,-10.4678,0.0485856
173185427159374,756.993,9.99298,575,-12.8304,0.0382587,-2.87266,0.0517743,-11.0152,0.0480327
173189847160836,756.993,19.9953,575,-13.0703,0.0347609,-2.72684,0.0482694,-11.7019,0.0621203
173194267157882,756.993,29.9977,575,-13.156,0.0414479,-2.59439,0.061879,-12.5785,0.0482028
173198687158017,756.993,40,575,-13.0849,0.0430585,-2.54128,0.0522143,-13.6431,0.0649743
173203107158611,756.993,49.993,575,-12.5553,0.0403306,-2.38536,0.0560286,-14.7602,0.0537459
173207527159121,756.993,59.9953,575,-11.4345,0.0372312,-2.23239,0.043347,-15.7791,0.0509725
173211947158023,756.993,69.9977,575,-9.93382,0.0401682,-1.99968,0.0495212,-16.1755,0.0550811
173216367159409,756.993,80,575,-8.46807,0.043586,-1.88818,0.0502066,-15.6629,0.051932
173220787159343,756.993,89.993,575,-7.38903,0.0427254,-1.80191,0.046392,-14.567,0.0483984
173225207158076,756.993,99.9953,575,-7.05872,0.0416987,-1.84236,0.0548395,-13.1664,0.0776746
173229627156390,756.993,109.998,575,-7.28899,0.0452362,-1.86341,0.0626126,-12.0952,0.0533628
173234047156960,756.993,120,575,-7.7404,0.0371199,-1.93498,0.047785,-11.5008,0.0658324
173238467157734,756.993,129.993,575,-8.18236,0.0322187,-1.96984,0.051753,-11.4263,0.0601163
173242887160380,756.993,139.995,575,-8.35654,0.0416531,-1.95821,0.0503584,-11.4875,0.0553374
173247307160038,756.993,149.998,575,-8.29356,0.0393425,-1.91178,0.0505346,-11.6121,0.0469016
173251727156647,756.993,160,575,-8.12992,0.0385949,-1.91243,0.0436386,-11.5329,0.0987476
173256147159113,756.993,169.993,575,-7.95136,0.0382713,-1.86619,0.0588657,-11.3361,0.061084
173260567158927,756.993,179.995,575,-7.87462,0.0351155,-1.90833,0.0394008,-10.9979,0.0479596
173264987160361,756.993,189.998,575,-7.90874,0.0406947,-1.89897,0.0505861,-10.7169,0.0441564
173269407158501,756.993,200,575,-7.8787,0.0363791,-1.97524,0.0495923,-10.4226,0.0896047
173273827159252,756.993,209.993,575,-7.9968,0.0359802,-2.06477,0.063177,-10.1522,0.0441667
173278247159965,756.993,219.995,575,-8.13872,0.0458014,-2.14154,0.0587304,-9.85163,0.0491721
173282667158075,756.993,229.998,575,-8.29549,0.0473949,-2.23526,0.0508541,-9.63872,0.0480089
173287087160156,756.993,240,575,-8.48692,0.0462241,-2.34119,0.0465914,-9.31706,0.0604714
173291507158783,756.993,249.993,575,-8.8347,0.037914,-2.47356,0.0497036,-9.0603,0.0483215
173295927160660,756.993,259.995,575,-9.23385,0.0416513,-2.51326,0.0446983,-8.88607,0.0440334
173300347156466,756.993,269.998,575,-9.65053,0.0344621,-2.6254,0.0522405,-8.82103,0.0480209
173304767159400,756.993,280,575,-10.0048,0.0382563,-2.70874,0.0524484,-8.91695,0.0495143
173309187158626,756.993,289.993,575,-10.2646,0.0385345,-2.80511,0.0437195,-9.02334,0.0540203
173313607157743,756.993,299.995,575,-10.5206,0.0375012,-2.76263,0.0445736,-9.13941,0.0449751
173318027158049,756.993,309.998,575,-10.8215,0.0384107,-2.80863,0.0449091,-9.23571,0.0500997
173322447156519,756.993,320,575,-11.1384,0.0391397,-2.81466,0.0514223,-9.29433,0.052297
173326867159009,756.993,329.993,575,-11.4365,0.0372572,-2.92861,0.0628113,-9.46645,0.0537031
173331287159998,756.993,339.995,575,-11.7539,0.0453989,-2.86977,0.0466929,-9.66272,0.0605776
173335707158241,756.993,349.998,575,-12.1762,0.0404033,-2.88927,0.0421988,-9.939,0.0903017
173340127157874,756.993,360,575,-12.5495,0.0431572,-2.824,0.0489626,-10.3993,0.0425452
173343555160730,756.993,360,575,-12.5564,0.0392611,-2.8509,0.0559207,-10.3824,0.0642225
173347975160255,756.993,349.998,575,-12.1634,0.0371065,-2.92997,0.0499593,-9.95055,0.0538603
173352395158570,756.993,339.995,575,-11.7353,0.0417682,-2.94314,0.0560453,-9.68125,0.0475286
173356815157735,756.993,329.993,575,-11.4038,0.0334634,-2.95808,0.0617009,-9.45394,0.0488597
173361235159541,756.993,320,575,-11.1239,0.0355044,-2.91453,0.0633856,-9.31802,0.0459194
173365655158131,756.993,309.998,575,-10.8656,0.0434667,-2.80649,0.0451654,-9.18633,0.0538254
173370075160549,756.993,299.995,575,-10.536,0.046126,-2.78011,0.053531,-9.08989,0.0479342
173374495158418,756.993,289.993,575,-10.2783,0.0426432,-2.69268,0.0551315,-9.05069,0.0499547
173378915157512,756.993,280,575,-9.99688,0.0360573,-2.69197,0.0529202,-8.94997,0.052811
173383335158130,756.993,269.998,575,-9.60607,0.0386992,-2.62126,0.0528827,-8.8486,0.0647907
173387755158208,756.993,259.995,575,-9.19883,0.0369175,-2.59093,0.0490706,-8.88609,0.0482683
173392175156593,756.993,249.993,575,-8.83165,0.0415379,-2.51983,0.045911,-9.02228,0.0568186
173396595159503,756.993,240,575,-8.49282,0.0387154,-2.40021,0.0435253,-9.30165,0.0657589
173401015160493,756.993,229.998,575,-8.26457,0.0385545,-2.35942,0.0467974,-9.51354,0.0428669
173405435158591,756.993,219.995,575,-8.12368,0.0359937,-2.21369,0.0451477,-9.81882,0.0725849
173409855157504,756.993,209.993,575,-7.97024,0.0404791,-2.08194,0.0503987,-10.0953,0.0520711
173414275160019,756.993,200,575,-7.87784,0.0317381,-2.05828,0.047126,-10.4261,0.085744
173418695158848,756.993,189.998,575,-7.83552,0.0444314,-1.94563,0.0475226,-10.7435,0.0588065
173423115158398,756.993,179.995,575,-7.85188,0.0354564,-1.95934,0.0512977,-11.0131,0.0429978
173427535158631,756.993,169.993,575,-7.92422,0.0404386,-1.91711,0.0421939,-11.3059,0.0516242
173431955159250,756.993,160,575,-8.08635,0.048282,-1.8884,0.0482771,-11.4952,0.0471132
173436375160335,756.993,149.998,575,-8.26724,0.0332553,-1.92374,0.0431955,-11.5879,0.0602804
173440795159813,756.993,139.995,575,-8.37615,0.0424474,-1.92562,0.0515834,-11.4804,0.0833144
173445215160347,756.993,129.993,575,-8.15175,0.042289,-1.9873,0.0490391,-11.3756,0.0631376
173449635158072,756.993,120,575,-7.73503,0.0415691,-1.97448,0.0465795,-11.4653,0.0643705
173454055160394,756.993,109.998,575,-7.19431,0.0407388,-1.89015,0.0482106,-12.0576,0.0631542
173458475159850,756.993,99.9953,575,-7.04326,0.0356346,-1.84518,0.0505839,-13.0785,0.0515281
173462895158837,756.993,89.993,575,-7.45988,0.0396705,-1.86944,0.04717,-14.4691,0.0667966
