Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
2823633346762163,50,179.995,250,2583.62,0.477761,2488.32,0.410394
2823641350761925,50,179.995,250,2583.72,0.526131,2488.4,0.424834
2823649352762234,50,179.995,250,2583.67,0.54413,2488.4,0.516116
2823657354763432,50,179.995,250,2583.68,0.631707,2488.39,0.588693
2823665358762198,50,179.995,250,2583.72,1.15112,2488.4,1.30811
2823673362761564,50,179.995,250,2583.66,1.43928,2488.37,1.4197
2823681366761614,50,179.995,250,2583.66,0.825459,2488.39,0.774738
2823689370763392,50,179.995,250,2583.46,8.90298,2488.5,2.40961
2823697372763425,50,179.995,250,2583.59,10.0468,2488.49,3.39925
2823705376762335,50,179.995,250,2583.5,9.86194,2488.57,3.19898
2823713380762697,50,179.995,250,2583.61,9.66397,2488.66,4.15623
2823721382763858,50,179.995,250,2583.58,9.70506,2488.71,3.00406
2823729386761988,50,179.995,250,2583.64,12.3703,2488.8,4.07862
2823737388763534,50,179.995,250,2583.5,11.772,2488.82,3.56982
2823745392763848,50,179.995,250,2583.57,10.5484,2488.74,4.31541
2823753396761798,50,179.995,250,2583.55,7.29352,2488.69,2.70554
2823761398764183,50,179.995,250,2583.63,10.6677,2488.66,4.11486
2823769402761173,50,179.995,250,2583.57,7.73733,2488.42,2.73719
2823777406763707,50,179.995,250,2583.5,8.93556,2488.4,3.95071
2823785410761513,50,179.995,250,2583.55,16.317,2488.5,3.75655
2823793414762295,50,179.995,250,2583.56,13.3167,2488.5,4.25189
2823801418761373,50,179.995,250,2583.46,6.37199,2488.31,3.67632
2823809420762102,50,179.995,250,2582.39,9.07373,2493.51,3.69302
2823817424762308,50,179.995,250,2569.68,13.3102,2502.38,3.4674
2823825428762802,50,179.995,250,2559.41,28.9515,2503.8,7.41275
2823833432763597,50,179.995,250,2565.26,16.8837,2507.55,4.79613
2823841436761391,50,179.995,250,2574.54,28.7534,2508.71,3.96581
2823849440763769,50,179.995,250,2572.14,47.8237,2509.68,6.04048
2823857444762679,50,179.995,250,2443.06,68.3788,1475.16,410.421
2823865446764296,50,179.995,250,2573.67,33.5324,802.897,40.806
2823873450762078,50,179.995,250,2484.79,27.9555,899.229,28.0421
2823881454761732,50,179.995,250,2397.42,43.425,882.761,49.5716
2823889456761321,50,179.995,250,2328.09,199.494,1090.52,199.279
2823897460764899,50,179.995,250,2243.95,38.5256,1114.48,56.7547
2823905462764032,50,179.995,250,2652.52,163.089,2800.88,158.934
2823913466764346,50,179.995,250,2648.7,6.88182,2863.35,4.19737
2823921470763677,50,179.995,250,2646.85,7.64581,2858.2,4.70048
2823929474761531,50,179.995,250,2576.59,152.725,2552.63,368.988
2823937478763129,50,179.995,250,2627.14,88.162,2242.66,86.498
2823945482763959,50,179.995,250,2668.98,68.3236,2021.1,112.695
2823953486764333,50,179.995,250,2727.81,37.4185,1897.01,32.9294
2823961490762235,50,179.995,250,1437.96,72.1045,2195.1,53.1306
2823969492761320,50,179.995,250,1523.12,24.3061,2251.17,15.9326
2823977496763974,50,179.995,250,1957.86,41.823,2436.27,15.5213
2823985500764324,50,179.995,250,2023.66,13.8036,2447.38,6.83779
2823993504762934,50,179.995,250,3458.21,75.4295,2247.4,12.4077
2824001506764383,50,179.995,250,3410.43,15.2102,2235.65,4.01953
2824009510764121,50,179.995,250,3410.07,17.4847,2233,4.7488
2824017516764392,50,179.995,250,2510.92,180.384,2473.15,172.506
2824025520763434,50,179.995,250,2571.76,9.28287,2525.68,7.06797
2824033524764589,50,179.995,250,2603.79,70.0543,2524.68,11.9907
2824041528762815,50,179.995,250,2602.4,36.4358,2499.82,15.021
2824049534762738,50,179.995,250,2569.03,29.9839,2507.38,13.5082
2824057538762752,50,179.995,250,2593.42,30.4917,2520.72,5.45282
2824065542764266,50,179.995,250,2583.49,30.481,2526.11,6.78858
2824073546762756,50,179.995,250,2568.46,15.0222,2532.02,4.41742
2824081548764157,50,179.995,250,2569.98,6.89184,2514.59,16.3784
2824089552764207,50,179.995,250,2584.18,3.79973,2485.55,4.32463
2824097558762990,50,179.995,250,2585.74,1.67981,2488.11,1.70319
2824105562763988,50,179.995,250,2585.73,0.775122,2488.02,0.583264
2824113566762358,50,179.995,250,2585.71,0.717482,2487.86,0.535793
2824121568761875,50,179.995,250,2585.77,0.785184,2487.86,0.570653
2824129570761944,50,179.995,250,2585.83,1.03998,2487.85,1.07649
2824137572764162,50,179.995,250,2585.92,0.995006,2487.88,1.02171
2824145574761651,50,179.995,250,2585.91,1.08906,2487.87,1.15527
2824153576762116,50,179.995,250,2585.89,0.582061,2487.81,0.591534
2824161578761285,50,179.995,250,2585.8,0.501272,2487.7,0.413136
2824169580761270,50,179.995,250,2585.79,0.506324,2487.69,0.415749
2824177584763432,50,179.995,250,2585.9,3.50258,2487.78,5.05227
2824185586764378,50,179.995,250,2586.33,0.502424,2488.47,0.548756
