Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
1200741282012024,30,0,800,2560.56,0.815789,2495.22,1.25387
1200747708030628,30,72,800,2576.65,12.923,2495.4,14.8477
1200754134012741,30,144,800,2582.26,17.0127,2477.18,16.0058
1200760560030302,30,216,800,2566.83,11.1122,2470.46,9.79266
1200766986012450,30,288,800,2555.12,7.01437,2480.09,2.46125
1200773412040583,30,360,800,2559.68,13.841,2494.38,9.18052
1200799090013262,71.9927,0,800,2558.99,12.7338,2497.3,6.4774
1200805516028975,71.9927,72,800,2574.48,9.81862,2497.22,12.171
1200811942011831,71.9927,144,800,2579.74,14.1792,2479.99,10.6043
1200818368028276,71.9927,216,800,2564.78,11.6307,2472.63,8.4087
1200824794012837,71.9927,288,800,2552.48,4.91429,2481.97,2.85999
1200831220029125,71.9927,360,800,2557.28,10.4526,2496.79,6.15113
1200856896030263,113.995,0,800,2556.92,12.5704,2496.98,6.13968
1200863322014164,113.995,72,800,2572.73,7.75114,2496.06,11.1306
1200869748030753,113.995,144,800,2577.42,12.0216,2479.74,9.52866
1200876174013513,113.995,216,800,2563.14,10.0886,2472.07,6.91628
1200882600032814,113.995,288,800,2550.63,3.54911,2481.66,1.88619
1200889026011123,113.995,360,800,2555.1,9.44296,2496.44,4.78872
1200914704030541,155.996,0,800,2557.43,8.59404,2501.04,3.94547
1200921130012210,155.996,72,800,2573.29,6.57126,2500.8,8.45257
1200927556032219,155.996,144,800,2577.89,6.94067,2484.71,6.35298
1200933982011427,155.996,216,800,2564.17,5.10359,2476.35,5.86396
1200940408046976,155.996,288,800,2551.62,3.01809,2485.82,2.30458
1200946834013753,155.996,360,800,2556.53,6.66048,2501.18,2.76716
1200972510014195,197.998,0,800,2565.8,4.92678,2505.04,1.93195
1200978936043023,197.998,72,800,2582.01,6.53212,2503.87,6.3349
1200985362013328,197.998,144,800,2585.7,2.74,2489.49,3.84634
1200991788037549,197.998,216,800,2572.94,3.49065,2480.38,3.7074
1200998214012977,197.998,288,800,2560.25,0.640926,2490.11,1.57382
1201004640038098,197.998,360,800,2565.22,3.20417,2505.24,1.99108
1201030316038012,240,0,800,2570.67,2.6029,2503.86,1.4344
1201036742012493,240,72,800,2586.34,7.6435,2502.42,6.13604
1201043168031001,240,144,800,2589.89,4.90075,2488.79,3.9289
1201049594012946,240,216,800,2578.06,2.21506,2479.29,1.7139
1201056020041535,240,288,800,2565.33,4.84436,2489.65,5.42787
1201062446012151,240,360,800,2570.69,2.26542,2504.26,2.11507
1201088122013409,281.993,0,800,2560.17,11.5372,2505.09,6.02969
1201094548028330,281.993,72,800,2576.03,11.7624,2504.57,4.63928
1201100974012867,281.993,144,800,2580.32,6.82539,2490.92,3.71238
1201107400041791,281.993,216,800,2568.64,5.96834,2481.22,3.67522
1201113826014424,281.993,288,800,2555.84,2.65068,2491.24,0.892138
1201120252029165,281.993,360,800,2561.73,5.9287,2506.29,3.33059
1201145928037683,323.995,0,800,2554.38,11.9059,2505.86,6.05227
1201152354011755,323.995,72,800,2570.39,11.4455,2505.01,6.18371
1201158780033840,323.995,144,800,2575.11,7.64388,2491.68,5.80414
1201165206013709,323.995,216,800,2564.61,10.3698,2481.52,5.79691
1201171632042129,323.995,288,800,2550.88,4.08744,2491.15,1.75167
1201178058013946,323.995,360,800,2556.72,8.35669,2506.7,4.40353
1201203736040649,365.996,0,800,2553.92,17.6365,2506.48,8.39802
1201210162012297,365.996,72,800,2570.03,12.182,2507.09,5.80933
1201216588030386,365.996,144,800,2575.58,8.26766,2492.64,8.82444
1201223014011791,365.996,216,800,2566.32,12.5408,2482.23,7.32667
1201229440032831,365.996,288,800,2551.48,6.86833,2492,3.17902
1201235866013300,365.996,360,800,2557.84,13.3682,2507.66,5.1271
1201261542012542,407.998,0,800,2558.44,21.6774,2510.28,8.92033
1201267968036667,407.998,72,800,2575.35,9.0776,2510.47,4.40252
1201274394013439,407.998,144,800,2581.47,7.79739,2496.92,12.49
1201280820040048,407.998,216,800,2572.54,17.9962,2485.53,9.04288
1201287246011889,407.998,288,800,2557.22,7.8371,2497.68,9.99439
1201293672038737,407.998,360,800,2563.43,17.1452,2511.23,7.55247
1201319348031355,450,0,800,2556.99,26.4867,2509.42,11.0279
1201325774013912,450,72,800,2574.53,15.4216,2510.31,4.98866
1201332200032733,450,144,800,2581.57,7.70455,2496.28,12.8062
1201338626013705,450,216,800,2572.68,19.6041,2484.78,10.0222
1201345052032946,450,288,800,2556.35,14.4402,2495.62,15.3507
1201351478013547,450,360,800,2563.36,20.5826,2510.4,10.5926
1201377154011313,491.993,0,800,2550.17,28.6323,2509.78,10.5985
1201383580029185,491.993,72,800,2568.66,14.9885,2510.21,5.91651
1201390006013674,491.993,144,800,2576.13,8.37303,2496.38,12.9613
1201396432036995,491.993,216,800,2566.84,22.6237,2484.73,10.3523
1201402858013059,491.993,288,800,2551.52,16.1005,2496.06,13.4505
1201409284036500,491.993,360,800,2557.37,26.2232,2510.87,14.4085
