Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
292315477713173,756.993,0,450,-9.19785,0.0463882,-2.8157,0.0508385,-10.0535,0.0426433
292330137711695,756.993,0,150,-9.28676,0.0411906,-2.63732,0.0559147,-10.2447,0.0403796
292345397710221,756.993,4.99649,450,-9.2049,0.0339081,-2.76598,0.0432329,-10.1632,0.0456403
292360055710268,756.993,4.99649,150,-9.2942,0.0391409,-2.62658,0.0569435,-10.4133,0.0438274
292375315711961,756.993,9.99298,450,-9.2625,0.0385454,-2.7653,0.0474236,-10.2614,0.0431689
292389973712548,756.993,9.99298,150,-9.29162,0.0417587,-2.58923,0.061553,-10.6277,0.0446859
292405233713054,756.993,14.9988,450,-9.34473,0.0256839,-2.78936,0.0243062,-10.481,0.0656579
