Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1832698282113336,756.993,139.995,980,-10.7888,0.036652,-2.50026,0.0551808,-11.3092,0.0474713
1832702708110418,756.993,149.998,980,-10.6777,0.0347928,-2.31102,0.0445875,-11.6204,0.0470293
1832707134112855,756.993,160,980,-10.427,0.0352595,-2.17851,0.0539099,-11.8066,0.0461503
1832711560113205,756.993,169.993,980,-10.2411,0.0345749,-2.07008,0.0452409,-11.8648,0.0465741
1832715986110579,756.993,179.995,980,-10.1031,0.0386756,-1.9822,0.0393706,-11.8556,0.0381863
1832720412111278,756.993,189.998,980,-10.0025,0.0373557,-1.96781,0.0483453,-11.7681,0.0440227
1832724838112695,756.993,200,980,-9.94277,0.0329304,-1.98453,0.052628,-11.7534,0.0557704
1832729264110645,756.993,209.993,980,-9.89185,0.035072,-1.97763,0.0434668,-11.7315,0.0606797
1832733690113071,756.993,219.995,980,-9.84588,0.0343289,-2.07244,0.0450292,-11.7141,0.0448899
1832738116112822,756.993,219.512,980,-9.8425,0.0340957,-2.03724,0.0484963,-11.7209,0.0504203
1832797730112127,756.993,240,980,-9.69067,0.0393483,-2.28813,0.0461704,-11.6257,0.0637855
1832802156110560,756.993,239.502,980,-9.72873,0.0426917,-2.30141,0.0412022,-11.6,0.0472556
1832865774112199,756.993,259.995,980,-9.71571,0.0314219,-2.55944,0.0510463,-11.4518,0.0522247
1832870200112905,756.993,269.998,980,-9.70789,0.0386429,-2.61056,0.041809,-11.3257,0.0609387
1832874626111776,756.993,280,980,-9.70577,0.0394609,-2.68377,0.0529587,-11.318,0.0453106
1832879052111102,756.993,289.993,980,-9.69769,0.0343691,-2.71033,0.0580138,-11.2362,0.0464758
1832883478112156,756.993,299.995,980,-9.72365,0.0399707,-2.80516,0.0436526,-11.1485,0.0509378
1832887904111279,756.993,309.998,980,-9.82117,0.0398275,-2.85981,0.0482572,-11.1283,0.0537474
1832892330111349,756.993,320,980,-9.8683,0.0390261,-2.81431,0.0486732,-11.1701,0.0448346
1832896756112079,756.993,329.993,980,-9.86141,0.0426594,-2.79247,0.0593404,-11.1969,0.0743962
1832901182110713,756.993,339.995,980,-9.83098,0.0364343,-2.72625,0.040116,-11.2404,0.0509864
1832905608111438,756.993,349.998,980,-9.85817,0.0364446,-2.72848,0.0556928,-11.1907,0.0533953
1832910034111407,756.993,360,980,-9.92137,0.0357776,-2.73492,0.0545507,-11.1506,0.0488808
