Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
1887933069186541,756.993,229.998,150,-10.8126,0.0348866,-2.74389,0.0436693,-11.1546,0.0510066
1887937495187085,756.993,240,150,-10.9192,0.0382102,-2.6246,0.0557093,-11.2572,0.0550565
1887941921184197,756.993,249.993,150,-10.9025,0.0311521,-2.49879,0.0510361,-11.4548,0.0480984
1887946347185761,756.993,259.995,150,-10.831,0.0352462,-2.44012,0.0457213,-11.6066,0.0440893
1887950773184205,756.993,269.998,150,-10.7444,0.0339048,-2.33411,0.0530439,-11.6215,0.0463237
1887950773184205,756.993,269.998,150,-10.7444,0.0339048,-2.33411,0.0530439,-11.6215,0.0463237
