Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
445387505969318,756.993,314.994,1000,-8.97294,0.0372755,-2.52321,0.0440373,-9.11064,0.0564052
445390923969426,756.993,314.994,1000,-8.99745,0.036018,-2.48037,0.0617926,-9.12138,0.0528958
445398359970486,756.993,314.994,906,-9.07275,0.0386891,-2.52092,0.0502355,-9.29721,0.0569062
445401777970858,756.993,314.994,906,-9.10093,0.0370426,-2.52738,0.0490363,-9.28028,0.0571952
445409213969374,756.993,314.994,812,-9.23825,0.0409644,-2.74844,0.050557,-9.44655,0.0539483
445412631968139,756.993,314.994,812,-9.19611,0.0348593,-2.78931,0.0437702,-9.46142,0.0523321
445420067970555,756.993,314.994,718,-9.22851,0.0322928,-2.84915,0.0555204,-9.45908,0.0501069
445423485967867,756.993,314.994,718,-9.22132,0.0326842,-2.86182,0.0454287,-9.50376,0.0543586
445430921968675,756.993,314.994,624,-9.24892,0.0404909,-2.95013,0.049396,-9.50406,0.0662306
445434339967692,756.993,314.994,624,-9.25526,0.0403577,-2.93938,0.0485873,-9.43262,0.0548213
445441775970528,756.993,314.994,530,-9.25999,0.0394355,-2.89055,0.048967,-9.49663,0.0458911
445445193968488,756.993,314.994,530,-9.22626,0.0403749,-2.90487,0.0421737,-9.42616,0.0646157
445452629970136,756.993,314.994,436,-9.28846,0.0353536,-2.93651,0.0546632,-9.41787,0.0500957
445456047968996,756.993,314.994,436,-9.25997,0.037945,-2.88419,0.0602527,-9.41306,0.0441608
445463485968808,756.993,314.994,342,-9.21734,0.0395463,-2.85367,0.05314,-9.40896,0.0502975
445466903968772,756.993,314.994,342,-9.21319,0.0317708,-2.9004,0.0427747,-9.4204,0.0645404
445474339968812,756.993,314.994,248,-9.11384,0.0394703,-2.82386,0.040522,-9.40071,0.0553542
445477757970229,756.993,314.994,248,-9.09201,0.0330323,-2.84728,0.0546407,-9.37983,0.0543107
445485193968313,756.993,314.994,154,-8.92295,0.0357677,-2.78305,0.0440033,-9.42843,0.0643631
445488611969885,756.993,314.994,154,-8.92123,0.0443368,-2.76941,0.0425321,-9.42797,0.0525116
