Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
616646425567088,30,0,250,29.4508,0.363737,-29.7699,0.575449
616650445566617,30,19.9953,250,32.2671,0.759267,-32.5335,0.650926
616654465567802,30,40,250,35.0781,1.01237,-35.2705,1.08804
616658485569456,30,59.9953,250,37.71,1.55877,-37.8037,1.69422
616662505569393,30,80,250,40.3209,3.29507,-40.3648,1.76476
616666525568334,30,99.9953,250,42.9614,5.29188,-42.9964,2.09662
616670545567431,30,120,250,44.6477,7.09471,-44.7633,4.50015
616674565568568,30,139.995,250,46.0429,6.2529,-46.2053,5.02526
616678585569141,30,160,250,46.5149,4.42001,-46.7922,5.49888
616682605568046,30,179.995,250,46.0683,1.8168,-46.4241,3.85224
616686625567875,30,200,250,44.9305,3.1005,-45.2173,2.19369
616690645568460,30,219.995,250,43.0464,2.5302,-43.4024,1.09935
616694665568961,30,240,250,40.7644,3.01728,-40.9267,1.9991
616698685567974,30,259.995,250,38.3422,3.079,-38.3975,1.47327
616702705568463,30,280,250,35.5911,6.20953,-35.5678,3.54072
616706725568940,30,299.995,250,32.9347,6.37622,-33.187,3.30703
616710745568398,30,320,250,30.5477,5.26004,-30.8407,4.37065
616714765567039,30,339.995,250,29.5874,3.74723,-29.8858,4.62796
616718785566148,30,360,250,30.4491,1.85829,-30.8738,3.74868
616745465566527,81.9927,0,250,28.2363,0.529211,-28.5177,0.331144
616749485568984,81.9927,19.9953,250,31.1402,2.02852,-31.3632,0.869
616753505569125,81.9927,40,250,33.1935,0.881634,-33.4045,0.681985
616757525566410,81.9927,59.9953,250,35.7413,1.05604,-35.8595,1.22239
616761545567595,81.9927,80,250,38.7225,2.47939,-38.6911,2.60877
616765565566980,81.9927,99.9953,250,41.1178,3.72903,-41.0368,1.56046
616769585566737,81.9927,120,250,42.8925,4.40465,-42.969,3.50546
616773605568294,81.9927,139.995,250,44.1757,4.4122,-44.474,3.49543
616777625566995,81.9927,160,250,44.5568,3.43536,-44.9049,3.97755
616781645567640,81.9927,179.995,250,44.2577,1.28084,-44.5974,2.55499
616785665568933,81.9927,200,250,42.983,2.33042,-43.4284,1.64164
616789685567730,81.9927,219.995,250,41.2646,1.39692,-41.4499,0.764389
616793705567332,81.9927,240,250,38.9911,1.26617,-39.1046,1.19975
616797725567281,81.9927,259.995,250,36.4123,2.13175,-36.4665,1.6305
616801745569186,81.9927,280,250,33.5118,3.39594,-33.5879,0.990771
616805765568571,81.9927,299.995,250,30.4296,4.20188,-30.5089,2.15461
616809785566516,81.9927,320,250,27.9905,2.93163,-28.2229,2.51581
616813805568433,81.9927,339.995,250,27.196,2.04881,-27.5142,2.62625
616817825567398,81.9927,360,250,28.3508,1.10727,-28.7387,2.2385
616844501567647,133.995,0,250,26.0046,0.480947,-26.3125,0.449972
616848521566264,133.995,19.9953,250,28.6793,1.01585,-29.007,0.804482
616852541566309,133.995,40,250,31.0086,0.641537,-31.2748,0.808166
616856561567602,133.995,59.9953,250,33.6199,0.79794,-33.7809,0.878371
616860581568859,133.995,80,250,36.2124,1.31376,-36.2694,1.18632
616864601567645,133.995,99.9953,250,38.695,2.39573,-38.7272,2.94662
616868621568662,133.995,120,250,40.4374,3.94811,-40.4801,4.43912
616872641566535,133.995,139.995,250,41.9404,2.60818,-42.1984,3.39891
616876661567780,133.995,160,250,42.5371,2.37239,-42.7446,3.31379
616880681567273,133.995,179.995,250,42.0287,0.904571,-42.3017,1.69958
616884701567030,133.995,200,250,40.7466,3.02435,-41.1975,1.54212
616888721567183,133.995,219.995,250,39.1301,1.21343,-39.318,0.750837
616892741569220,133.995,240,250,36.8268,1.0833,-37.0044,0.776565
616896761567597,133.995,259.995,250,34.2192,1.17414,-34.42,0.732602
616900781569322,133.995,280,250,31.5888,1.99251,-31.8015,1.02905
616904801567843,133.995,299.995,250,29.2114,2.50557,-29.4244,1.30778
616908821567000,133.995,320,250,26.9511,1.95351,-27.2181,1.527
616912841567705,133.995,339.995,250,26.0625,1.44999,-26.4272,1.79037
616916861567991,133.995,360,250,26.948,0.861406,-27.3051,1.44292
616943539568281,185.996,0,250,25.9998,0.390268,-26.2905,0.426404
616947559569070,185.996,19.9953,250,27.8064,3.14804,-28.0761,1.91622
616951579566607,185.996,40,250,29.8502,0.367106,-30.1364,0.417287
616955599566844,185.996,59.9953,250,32.3597,0.634006,-32.6107,0.578531
616959619566241,185.996,80,250,34.9717,0.862569,-35.1755,1.2924
616963639566466,185.996,99.9953,250,37.2277,1.79287,-37.2723,3.23363
616967659566739,185.996,120,250,39.0709,1.74465,-39.0329,3.84476
616971679566556,185.996,139.995,250,40.4822,1.22143,-40.7158,3.43709
616975699568797,185.996,160,250,41.0443,1.44636,-41.2825,2.80393
616979719568374,185.996,179.995,250,40.6574,0.603918,-40.9458,0.618782
616983739566811,185.996,200,250,39.3785,3.74249,-39.8276,1.48959
616987759566676,185.996,219.995,250,37.7177,1.3755,-37.9008,0.652633
616991779569421,185.996,240,250,35.4231,0.627525,-35.6257,0.598279
616995799569347,185.996,259.995,250,32.7321,1.0504,-32.9395,1.95902
616999819568252,185.996,280,250,30.1452,0.824984,-30.4827,1.52292
617003839567169,185.996,299.995,250,27.8031,0.873587,-28.0541,0.612931
617007859566602,185.996,320,250,26.0559,0.711701,-26.3713,0.619828
