Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1192312727092960,0,0,0,-230.16,0.159543,-1235.75,0.733457,-499.899,0.300393
1192315731092283,0,0,0,-230.044,0.165441,-1236.33,0.668874,-499.934,0.344788
1192318735090610,0,0,0,-230.041,0.22769,-1233.97,0.695156,-498.901,0.300264
1192321739090748,0,0,0,-229.976,0.197554,-1233.42,0.74872,-498.902,0.311718
1192324741092262,0,0,0,-230.384,0.175358,-1232.92,0.400964,-498.561,0.271169
1192327743091112,0,0,0,-230.482,0.164052,-1233.97,0.339058,-498.817,0.249559
1192330747090807,0,0,0,-230.525,0.175571,-1232.51,0.405025,-498.411,0.284922
1192333749090917,0,0,0,-230.526,0.20531,-1232.33,0.416962,-498.609,0.289793
1192336751091231,0,0,0,-230.361,0.178131,-1232.64,0.418693,-498.377,0.265435
1192339753091557,0,0,0,-230.352,0.162016,-1232.36,0.348953,-498.267,0.237602
1192342755091919,0,0,0,-230.48,0.173184,-1232.89,0.370214,-498.488,0.252964
1192345757091873,0,0,0,-230.359,0.1758,-1232.45,0.392991,-498.427,0.237656
1192348759090591,0,0,0,-230.34,0.190586,-1232.05,0.451233,-498.541,0.247206
1192351763092842,0,0,0,-230.439,0.164887,-1232.11,0.4767,-498.412,0.261199
1192354767090149,0,0,0,-230.309,0.14801,-1231.82,0.378921,-498.451,0.273205
1192357771090960,0,0,0,-230.291,0.237801,-1232.31,0.44829,-498.547,0.321049
1192360773090818,0,0,0,-230.357,0.152876,-1232.28,0.612987,-498.48,0.300329
1192363775090904,0,0,0,-230.124,0.166517,-1232.45,0.46656,-498.588,0.277395
1192366779093419,0,0,0,-230.141,0.161877,-1232.75,0.634159,-498.856,0.354427
1192369781093013,0,0,0,-230.148,0.193892,-1223.26,0.370405,-494.86,0.2394
1192372783091815,0,0,0,-230.098,0.202412,-1222.78,0.417584,-494.853,0.237462
1192375785092309,0,0,0,-229.991,0.171003,-1222.74,0.613582,-494.557,0.363989
1192378787090847,0,0,0,-229.896,0.188075,-1222.73,0.386042,-494.805,0.262152
1192381789090669,0,0,0,-229.988,0.155671,-1221.84,0.417111,-494.474,0.267413
1192384791091763,0,0,0,-229.851,0.186072,-1219.85,0.76991,-493.681,0.356976
1192387793092521,0,0,0,-230.294,0.188859,-1224.76,0.8985,-495.367,0.334696
1192390797090644,0,0,0,-230.055,0.183769,-1223.72,0.546629,-494.979,0.28782
1192393799093058,0,0,0,-230.385,0.164658,-1232.42,0.682402,-498.984,0.344049
1192396801093420,0,0,0,-230.349,0.209085,-1231.84,0.620582,-498.63,0.381225
1192399803091358,0,0,0,-230.398,0.190899,-1229.93,0.796141,-497.688,0.383862
1192402805090400,0,0,0,-230.308,0.168138,-1229.74,1.27598,-497.465,0.528149
1192405807090822,0,0,0,-229.931,0.227673,-1221.96,0.787338,-494.804,0.294503
1192408809091748,0,0,0,-230.255,0.201024,-1231.25,2.09768,-497.954,0.875563
1192411811091366,0,0,0,-230.305,0.163953,-1231.72,1.01313,-498.279,0.47707
1192414813093144,0,0,0,-230.244,0.210769,-1231.77,0.687985,-498.581,0.375111
1192417815093434,0,0,0,-230.3,0.238409,-1229.15,1.67035,-497.51,0.642676
1192420819090993,0,0,0,-230.368,0.175824,-1229.55,1.72084,-497.327,0.69769
1192423821090851,0,0,0,-230.42,0.192304,-1228.64,1.73089,-497.124,0.779657
1192426825091314,0,0,0,-230.325,0.195266,-1232.41,0.776928,-498.365,0.3611
1192429827091760,0,0,0,-230.484,0.158857,-1232.84,0.618247,-498.763,0.306024
1192432831093206,0,0,0,-230.559,0.198562,-1236.06,0.684398,-499.973,0.345465
1192435835091089,0,0,0,-230.456,0.167857,-1235.14,0.736523,-499.971,0.347704
1192438839092992,0,0,0,-230.623,0.191689,-1232.09,0.714464,-498.725,0.363
1192441841093186,0,0,0,-230.551,0.211884,-1233.07,0.66894,-498.65,0.285215
1192444843092144,0,0,0,-230.645,0.217482,-1231.7,0.72331,-498.252,0.377554
1192447845091186,0,0,0,-230.446,0.249473,-1230.58,0.76264,-497.923,0.370374
1192450849092189,0,0,0,-230.627,0.186455,-1232.4,0.729057,-498.576,0.354971
1192453851092851,0,0,0,-230.542,0.222823,-1232.48,0.73342,-498.488,0.318615
1192456853092493,0,0,0,-230.784,0.182557,-1232.11,0.707647,-498.152,0.357314
1192459855093311,0,0,0,-230.621,0.194538,-1230.24,0.775675,-497.404,0.385445
1192462859090738,0,0,0,-230.516,0.197095,-1228.32,0.664784,-496.426,0.314445
1192465861091544,0,0,0,-230.412,0.198798,-1228.43,0.72262,-496.919,0.313385
1192468863092146,0,0,0,-230.605,0.231545,-1230.24,0.616536,-497.438,0.334139
1192471867092933,0,0,0,-230.629,0.217831,-1232.61,0.714212,-498.493,0.356789
1192474871090852,0,0,0,-230.445,0.214847,-1232.77,0.55091,-498.631,0.255061
1192477873091298,0,0,0,-230.377,0.206125,-1224.17,2.5139,-495.131,1.06241
1192480875091456,0,0,0,-230.251,0.175245,-1224.4,0.326808,-495.174,0.220584
1192483879092255,0,0,0,-230.426,0.204378,-1224.23,0.366084,-494.998,0.313867
1192486883091650,0,0,0,-230.33,0.211395,-1226.22,0.380197,-496.233,0.293712
1192489887093120,0,0,0,-229.891,0.193637,-1226.23,0.496522,-495.949,0.30093
1192492891093211,0,0,0,-230.048,0.222201,-1222.79,0.707809,-494.443,0.476826
1192495895093218,0,0,0,-229.716,0.192064,-1215.02,0.431649,-491.226,0.28578
