Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
958105467395639,756.993,314.994,1000,-12.4074,0.041928,-2.03344,0.0488279,-12.235,0.105145
958108885396416,756.993,314.994,1000,-12.4465,0.0453174,-2.01194,0.0441054,-12.2785,0.106408
958113515394547,756.993,314.994,990,-12.4307,0.04078,-1.99034,0.0418022,-12.29,0.103677
958116933396116,756.993,314.994,990,-12.4171,0.0421263,-2.00413,0.0615251,-12.2323,0.117354
958121563396142,756.993,314.994,980,-12.4345,0.0550843,-1.99868,0.0491527,-12.2549,0.118119
958124981396823,756.993,314.994,980,-12.4302,0.0414189,-2.0459,0.0468445,-12.229,0.0978495
958129611396862,756.993,314.994,970,-12.4419,0.0401041,-2.00088,0.0555664,-12.2707,0.0976992
958133029394267,756.993,314.994,970,-12.4297,0.0366198,-1.97373,0.0405062,-12.2108,0.104945
958137659395817,756.993,314.994,960,-12.4825,0.0351626,-2.02311,0.0489087,-12.2961,0.102688
958141077395911,756.993,314.994,960,-12.5034,0.0412409,-2.01191,0.0415069,-12.2104,0.104654
958145707396981,756.993,314.994,950,-12.521,0.0346374,-2.0979,0.045531,-12.2075,0.102308
958149125395790,756.993,314.994,950,-12.5137,0.0393106,-2.02606,0.0428014,-12.2876,0.104507
958153755395036,756.993,314.994,940,-12.5155,0.0412902,-2.0407,0.0388589,-12.2507,0.106722
958157173396557,756.993,314.994,940,-12.5276,0.036844,-2.04343,0.052265,-12.2499,0.0791725
958161803397112,756.993,314.994,930,-12.5534,0.0366876,-2.02615,0.0550222,-12.2582,0.10766
958165221397145,756.993,314.994,930,-12.5361,0.0340771,-2.08379,0.0461738,-12.2854,0.103975
958169851394375,756.993,314.994,920,-12.5624,0.0338801,-2.09515,0.0472517,-12.2399,0.0885341
958173269395873,756.993,314.994,920,-12.5885,0.040849,-2.0697,0.0558511,-12.2332,0.102413
958177899395791,756.993,314.994,910,-12.575,0.0375827,-2.0426,0.0403649,-12.1702,0.106519
958181317397060,756.993,314.994,910,-12.5717,0.0393819,-2.05249,0.0544785,-12.1878,0.0980328
958185947395537,756.993,314.994,900,-12.6072,0.0392018,-2.0836,0.0431279,-12.2249,0.0833055
958189365394708,756.993,314.994,900,-12.5889,0.0385406,-2.08409,0.0464472,-12.1764,0.0881926
958193995394774,756.993,314.994,890,-12.5664,0.0393927,-2.05152,0.0480943,-12.2063,0.0927875
958197413396008,756.993,314.994,890,-12.5932,0.0368323,-2.09691,0.0427896,-12.1722,0.0922733
