Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bphi [nT],BphiStdDev [nT],Bz [nT],BzStdDev [nT],Brho [nT],BrhoStdDev [nT]
527757418539008,0,0,575,-8.21828,0.0361078,-3.22883,0.0480526,-10.7274,0.0452887
527761838539157,0,9.99298,575,-8.26123,0.0385583,-3.23651,0.0496017,-10.7903,0.0404344
527766258539618,0,19.9953,575,-8.22147,0.0403035,-3.25716,0.0436999,-10.793,0.0613661
527770678540547,0,29.9977,575,-8.24288,0.0438287,-3.21181,0.0448117,-10.8458,0.0598701
527775098538968,0,40,575,-8.23145,0.0457112,-3.1701,0.0523671,-10.846,0.0446808
527779518540917,0,49.993,575,-8.28468,0.0416981,-3.21256,0.0497589,-10.9237,0.0443262
527783938538426,0,59.9953,575,-8.26462,0.0379867,-3.19432,0.0466518,-10.9472,0.0436173
527788358540375,0,69.9977,575,-8.28244,0.0396679,-3.24163,0.0453472,-10.946,0.0470754
527792778539348,0,80,575,-8.28966,0.0380434,-3.19451,0.0453157,-10.9946,0.0487421
527797198539653,0,89.993,575,-8.27751,0.0314809,-3.23263,0.0554585,-11.0687,0.0691258
527801618539358,0,99.9953,575,-8.23583,0.0387775,-3.21628,0.0546044,-11.089,0.0567146
527806038540311,0,109.998,575,-8.19577,0.041446,-3.2869,0.060677,-11.1368,0.045808
527810458539728,0,120,575,-8.18693,0.0407104,-3.24845,0.0427867,-11.142,0.0589552
527814878540454,0,129.993,575,-8.11576,0.0424445,-3.22944,0.0403955,-11.1681,0.0624371
527819298538563,0,139.995,575,-8.07423,0.0434967,-3.17839,0.0437126,-11.1216,0.0482176
527823718539660,0,149.998,575,-8.00966,0.0382757,-3.15787,0.0395409,-11.1157,0.0455534
527828138539245,0,160,575,-7.98939,0.0491459,-3.15891,0.0435037,-11.1619,0.0484406
527832558541494,0,169.993,575,-7.93766,0.0384982,-3.15725,0.0459752,-11.0966,0.0525062
527836978540803,0,179.995,575,-7.91545,0.0359076,-3.14324,0.0456036,-11.1199,0.0435952
527841398538840,0,189.998,575,-7.84581,0.0377842,-3.1821,0.0445645,-11.1236,0.0478009
527845818540189,0,200,575,-7.84395,0.0363216,-3.12455,0.0442083,-11.0263,0.0488587
527850238540218,0,209.993,575,-7.78226,0.0420431,-3.06796,0.0456321,-10.9463,0.0567232
527854658540799,0,219.995,575,-7.81257,0.0386487,-3.09893,0.0474361,-10.9725,0.0534518
527859078541272,0,229.998,575,-7.81816,0.0368254,-3.09771,0.0510482,-10.9306,0.0487307
527863498540329,0,240,575,-7.85176,0.0629527,-3.06703,0.0440479,-10.9216,0.0422284
527867918540430,0,249.993,575,-7.85612,0.0418986,-3.04309,0.0434333,-10.8715,0.0545583
